ncppb_number,ncppb_number_compact,current_name,name_as_received,alternative_names,pathovar,host,country,other_collection_numbers,ncppb_catalogue_url,catalogue_sequence_links,sequencing_type,year_added,type_strain_of_species,pathotype_strain,other_references,notes,raw_record_text
NCPPB 186,NCPPB186,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae,pv. vasculorum,Thysanolaena maxima,Mauritius,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=186,,,1946,No,No,,"Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.?","NCPPB No. 186: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas thysanolaenae Country: Mauritius Host: Thysanolaena maxima Year Added: 1946 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type A(Dookun, Stead & Autrey 2000)new pv.? Other references:"
NCPPB 187,NCPPB187,Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978,pv. vasculorum,Roystonea regia,Mauritius,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=187,,,1946,No,No,,"Fatty acid Type B(Dookun, Stead & Autrey 2000)","NCPPB No. 187: Catalogue name: Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Country: Mauritius Host: Roystonea regia Year Added: 1946 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type B(Dookun, Stead & Autrey 2000) Other references:"
NCPPB 195,NCPPB195,Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995,Xanthomonas vesicatoria (Doidge 1920) Dowson 1939,,,,Israel,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=195,,,1947,No,No,,,NCPPB No. 195: Catalogue name: Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995 Name as received: Xanthomonas vesicatoria (Doidge 1920) Dowson 1939 Country: Israel Year Added: 1947 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 196,NCPPB196,Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939,Xanthomonas campestris (Pammel 1895) Dowson 1939,,pv. campestris,Brassica oleracea var. capitata,Mauritius,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=196,,,1947,No,No,,,NCPPB No. 196: Catalogue name: Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939 Name as received: Xanthomonas campestris (Pammel 1895) Dowson 1939 Country: Mauritius Host: Brassica oleracea var. capitata Year Added: 1947 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 200,NCPPB200,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,Gossypium sp.,Sudan,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=200,,,1947,No,No,,The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.,NCPPB No. 200: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: Sudan Host: Gossypium sp. Year Added: 1947 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. Other references:
NCPPB 205,NCPPB205,Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995,Xanthomonas hyacinthi,Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978,,Hyacinthus orientalis.,Netherlands,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=205,,,1948,No,No,,,NCPPB No. 205: Catalogue name: Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995 Name as received: Xanthomonas hyacinthi Other name: Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978 Country: Netherlands Host: Hyacinthus orientalis. Year Added: 1948 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 206,NCPPB206,Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017,Xanthomonas vasculorum (Cobb 1893) Dowson 1939,Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas vasicola,pv. vasculorum,Zea mays,South Africa,ICMP 326; LMG 8284; CFBP 7162,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=206,,,1948,No,No,"This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162","Fatty acid Type C (Dookun, Stead & Autrey 2000)","NCPPB No. 206: Catalogue name: Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017 Name as received: Xanthomonas vasculorum (Cobb 1893) Dowson 1939 Other name: Xanthomonas campestris pv. vasculorum (Cobb 1893) Dye 1978 Xanthomonas vasicola Country: South Africa Host: Zea mays Year Added: 1948 Type strain of the species: No Pathotype strain: No Notes: Fatty acid Type C (Dookun, Stead & Autrey 2000) Other references: This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162"
NCPPB 208,NCPPB208,Xanthomonas albilineans (Ashby 1929) Dowson 1943,X. albilineans var. paspali. See Orian (1962),,,Paspalum dilatatum,Mauritius,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=208,,,1948,No,No,This isolate was isolated by G. Orian PC5,,NCPPB No. 208: Catalogue name: Xanthomonas albilineans (Ashby 1929) Dowson 1943 Name as received: X. albilineans var. paspali. See Orian (1962) Country: Mauritius Host: Paspalum dilatatum Year Added: 1948 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by G. Orian PC5
NCPPB 210,NCPPB210,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,,India,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=210,,,1948,No,No,This isolate was isolated by M.K. Patel,The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.,NCPPB No. 210: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: India Year Added: 1948 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. Other references: This isolate was isolated by M.K. Patel
NCPPB 211,NCPPB211,Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.,Xanthomonas citri (Hasse 1915) Dowson,Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979,pv. citri,,India,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=211,,,1948,No,No,,Type A(Asiatic Canker),NCPPB No. 211: Catalogue name: Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov. Name as received: Xanthomonas citri (Hasse 1915) Dowson Other name: Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979 Country: India Year Added: 1948 Type strain of the species: No Pathotype strain: No Notes: Type A(Asiatic Canker) Other references:
NCPPB 212,NCPPB212,Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.,,,pv. mangiferaeindicae,,India,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=212,,,1948,No,No,,Partial gene (gyrB) sequence indicates this is Xanthomonas citri.,NCPPB No. 212: Catalogue name: Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov. Country: India Year Added: 1948 Type strain of the species: No Pathotype strain: No Notes: Partial gene (gyrB) sequence indicates this is Xanthomonas citri. Other references:
NCPPB 220,NCPPB220,Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.,Xanthomonas phaseoli (Smith 1897) Dowson 1939,Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978,pv. phaseoli,,USA,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=220,,,1948,No,No,The source of this isolate was ex C. Elliott,gyrB 100% match with NCPPB 3035,NCPPB No. 220: Catalogue name: Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas phaseoli (Smith 1897) Dowson 1939 Other name: Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Country: USA Year Added: 1948 Type strain of the species: No Pathotype strain: No Notes: gyrB 100% match with NCPPB 3035 Other references: The source of this isolate was ex C. Elliott
NCPPB 226,NCPPB226,Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.,Xanthomonas citri (Hasse 1915) Dowson,Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979,pv. citri,,New Zealand,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=226,,,1949,No,No,,Type A(Asiatic Canker),NCPPB No. 226: Catalogue name: Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov. Name as received: Xanthomonas citri (Hasse 1915) Dowson Other name: Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979 Country: New Zealand Year Added: 1949 Type strain of the species: No Pathotype strain: No Notes: Type A(Asiatic Canker) Other references:
NCPPB 230,NCPPB230,Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995,Xanthomonas carotae Kendrick 1934,Xanthomonas campestris pv. carotae (Kendrick 1934) Dye 1978,pv. carotae,,USA,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=230,,,1949,No,No,,,NCPPB No. 230: Catalogue name: Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995 Name as received: Xanthomonas carotae Kendrick 1934 Other name: Xanthomonas campestris pv. carotae (Kendrick 1934) Dye 1978 Country: USA Year Added: 1949 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 232,NCPPB232,Xanthomonas hortorum pv. vitians Morinière et al. 2020,X. lactucaescariolae,Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978,pv. vitians,,USA,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=232,,,1949,No,No,,,NCPPB No. 232: Catalogue name: Xanthomonas hortorum pv. vitians Morinière et al. 2020 Name as received: X. lactucaescariolae Other name: Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978 Country: USA Year Added: 1949 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 240,NCPPB240,Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939,Xanthomonas campestris (Pammel 1895) Dowson 1939,,pv. campestris,Brassica napus,UK,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=240,,,1941,No,No,This isolate was isolated by W.J. Dowson The source of this isolate was .,,NCPPB No. 240: Catalogue name: Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939 Name as received: Xanthomonas campestris (Pammel 1895) Dowson 1939 Country: UK Host: Brassica napus Year Added: 1941 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by W.J. Dowson The source of this isolate was .
NCPPB 241,NCPPB241,Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995,Xanthomonas begoniae Takimoto 1934,Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978,pv. begoniae,,USA,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=241,,,1944,No,No,The source of this isolate was ex W.J. Dowson,,NCPPB No. 241: Catalogue name: Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995 Name as received: Xanthomonas begoniae Takimoto 1934 Other name: Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978 Country: USA Year Added: 1944 Type strain of the species: No Pathotype strain: No Other references: The source of this isolate was ex W.J. Dowson
NCPPB 243,NCPPB243,Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023,,,pv. uppalii,Ipomea muricata,India,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=243,,,1948,No,No,,,NCPPB No. 243: Catalogue name: Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023 Country: India Host: Ipomea muricata Year Added: 1948 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 273,NCPPB273,Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995,Xanthomonas pruni,Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978,pv. pruni,,USA,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=273,,,1949,No,No,The source of this isolate was ex A.C. Brown B67,,NCPPB No. 273: Catalogue name: Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995 Name as received: Xanthomonas pruni Other name: Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978 Country: USA Year Added: 1949 Type strain of the species: No Pathotype strain: No Other references: The source of this isolate was ex A.C. Brown B67
NCPPB 279,NCPPB279,Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939,Xanthomonas campestris (Pammel 1895) Dowson 1939,,pv. campestris,Brassica oleracea var. capitata,Malawi,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=279,,,1950,No,No,This isolate was isolated by P.O. Wiehe,,NCPPB No. 279: Catalogue name: Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939 Name as received: Xanthomonas campestris (Pammel 1895) Dowson 1939 Country: Malawi Host: Brassica oleracea var. capitata Year Added: 1950 Type strain of the species: No Pathotype strain: No Other references: This isolate was isolated by P.O. Wiehe
NCPPB 290,NCPPB290,Xanthomonas albilineans (Ashby 1929) Dowson 1943,Xanthomonas albilineans,,,Saccharum officinarum,Guyana,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=290,,,1951,No,No,The donor reference is 38/2,,NCPPB No. 290: Catalogue name: Xanthomonas albilineans (Ashby 1929) Dowson 1943 Name as received: Xanthomonas albilineans Country: Guyana Host: Saccharum officinarum Year Added: 1951 Type strain of the species: No Pathotype strain: No Other references: The donor reference is 38/2
NCPPB 293,NCPPB293,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,Gossypium sp.,South Africa,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=293,,,1951,No,No,This isolate was isolated by R.A. Lelliott,The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.,NCPPB No. 293: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: South Africa Host: Gossypium sp. Year Added: 1951 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. Other references: This isolate was isolated by R.A. Lelliott
NCPPB 301,NCPPB301,Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.,Xanthomonas phaseoli (Smith 1897) Dowson 1939,Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978,pv. phaseoli,,Canada,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=301,,,1951,No,No,,gyrB 100% match with NCPPB 3035,NCPPB No. 301: Catalogue name: Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas phaseoli (Smith 1897) Dowson 1939 Other name: Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Country: Canada Year Added: 1951 Type strain of the species: No Pathotype strain: No Notes: gyrB 100% match with NCPPB 3035 Other references:
NCPPB 302,NCPPB302,Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.,Xanthomonas phaseoli (Smith 1897) Dowson 1939,Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978,pv. phaseoli,,Canada,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=302,,,1951,No,No,The donor reference is XP 8 The source of this isolate was .,gyrB 100% match with NCPPB 3035,NCPPB No. 302: Catalogue name: Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas phaseoli (Smith 1897) Dowson 1939 Other name: Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Country: Canada Year Added: 1951 Type strain of the species: No Pathotype strain: No Notes: gyrB 100% match with NCPPB 3035 Other references: The donor reference is XP 8 The source of this isolate was .
NCPPB 305,NCPPB305,Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995,Xanthomonas pelargonii,Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978,pv. pelargonii,,Denmark,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=305,,,1951,No,No,,,NCPPB No. 305: Catalogue name: Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995 Name as received: Xanthomonas pelargonii Other name: Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978 Country: Denmark Year Added: 1951 Type strain of the species: No Pathotype strain: No Other references:
NCPPB 315,NCPPB315,Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.,Xanthomonas malvacearum (Smith 1901) Dowson 1939,Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978,pv. malvacearum,Gossypium sp.,Uganda,,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=315,,,1952,No,No,The donor reference is XS52/5,The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.,NCPPB No. 315: Catalogue name: Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov. Name as received: Xanthomonas malvacearum (Smith 1901) Dowson 1939 Other name: Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978 Country: Uganda Host: Gossypium sp. Year Added: 1952 Type strain of the species: No Pathotype strain: No Notes: The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used. Other references: The donor reference is XS52/5
NCPPB 347,NCPPB347,Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978,Pseudomonas campestris var. armoraciae (McCulloch 1929) Krasilnikov 1949,,pv. armoraciae,Iberis sp.,Tanzania,ICMP 7; LMG 535,https://ncppb.fera.co.uk/furtherinfo.cfm?ncppb_no=347,,,1954,No,Yes,"This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace",Reported not to be pathogenic to Armoracia,"NCPPB No. 347: Catalogue name: Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978 Name as received: Pseudomonas campestris var. armoraciae (McCulloch 1929) Krasilnikov 1949 Country: Tanzania Host: Iberis sp. Year Added: 1954 Type strain of the species: No Pathotype strain: Yes Notes: Reported not to be pathogenic to Armoracia Other references: This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace"
