prefix	rule_name	confidence	all_fields_raw_rows	prior_accepted_rows	clear_noise_rows	non_target_organism_rows	target_organism_rows	query_no_hit_rows	supports_review_rows	non_target_rate	accepted_rate	current_policy_recommendation	field_strategy_recommendation	recommendation_reason
NYAUDU	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
OREGAN	general_code_candidate	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
PDD	contextual_reference_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
PERSLEY	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
PNG	uppercase_general_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
PUKATEA	general_code_candidate	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
PXO	contextual_reference_code	medium	1	1	0	0	1	0	0	0.0000	1.0000	manual_review_only	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
RAEMAKERS	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
RHYN	contextual_reference_code	medium	1	1	0	0	1	0	0	0.0000	1.0000	keep_default	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
RHYN	general_code_candidate	low	1	1	0	0	1	0	0	0.0000	1.0000	keep_default	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
SAL	contextual_reference_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
SAMSON	contextual_reference_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
SCHNEIDER	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
SRINIVASAN	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
THORNBERRY	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
UN	contextual_reference_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
VILJOEN	person_or_local_reference_code	low	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
WSK	contextual_reference_code	medium	1	0	1	1	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XA	uppercase_general_code	medium	1	0	1	1	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XCVE	contextual_reference_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XD	contextual_reference_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XL	uppercase_general_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XN	contextual_reference_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XPL	contextual_reference_code	medium	1	0	0	0	0	1	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
