prefix	rule_name	confidence	all_fields_raw_rows	prior_accepted_rows	clear_noise_rows	non_target_organism_rows	target_organism_rows	query_no_hit_rows	supports_review_rows	non_target_rate	accepted_rate	current_policy_recommendation	field_strategy_recommendation	recommendation_reason
XB	contextual_reference_code	medium	74	0	74	74	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
SES	general_code_candidate	low	64	0	64	64	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XA	contextual_reference_code	medium	53	0	49	49	0	4	0	0.9245	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ORELLANA	person_or_local_reference_code	low	50	2	48	48	2	0	0	0.9600	0.0400	fallback_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
SAM	contextual_reference_code	medium	47	1	46	46	1	0	0	0.9787	0.0213	fallback_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
RC	uppercase_general_code	medium	43	0	43	43	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
CAJ	general_code_candidate	low	41	1	40	40	1	0	0	0.9756	0.0244	fallback_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
ZO	contextual_reference_code	medium	41	0	41	41	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XCC	general_code_candidate	low	37	0	24	24	13	0	13	0.6486	0.0000	manual_review_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
VIG	contextual_reference_code	medium	36	0	36	36	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ICPB	known_collection_prefix	high	35	0	0	0	0	35	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XB	uppercase_general_code	medium	32	0	31	31	1	0	1	0.9688	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XV-E	contextual_reference_code	medium	32	0	32	32	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ZK	contextual_reference_code	medium	29	0	29	29	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
XG	general_code_candidate	low	28	0	28	28	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
CS	contextual_reference_code	medium	27	0	27	27	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
BEHR	person_or_local_reference_code	low	25	0	25	25	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
WHRI	contextual_reference_code	medium	24	23	0	0	23	1	0	0.0000	0.9583	manual_review_only	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
KAM	general_code_candidate	low	23	0	23	23	0	0	0	1.0000	0.0000	disable_default	disable_default_do_not_replace_with_biosample	All Fields hits are dominated by non-target records and have no accepted productivity.
ARG	contextual_reference_code	medium	18	10	8	8	10	0	0	0.4444	0.5556	manual_review_only	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
RC	contextual_reference_code	medium	18	0	18	18	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
ISBF	contextual_reference_code	medium	17	0	0	0	0	17	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
RIC	general_code_candidate	low	17	1	16	16	1	0	0	0.9412	0.0588	fallback_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
IBSBF	contextual_reference_code	medium	16	0	1	1	0	15	0	0.0625	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
IMI	known_collection_prefix	high	16	0	0	0	0	16	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
SLETTEN	person_or_local_reference_code	low	16	0	0	0	0	16	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
XCB	contextual_reference_code	medium	16	0	16	16	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XS	contextual_reference_code	medium	16	0	16	16	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XV	contextual_reference_code	medium	15	1	10	10	1	4	0	0.6667	0.0667	manual_review_only	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
DSM	known_collection_prefix	high	14	5	2	4	5	5	2	0.2857	0.3571	keep_default	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	Known collection IDs remain useful; test Attribute/Text Word under organism filter before full rerun.
PP	contextual_reference_code	medium	14	0	13	13	0	1	0	0.9286	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
ARUM	general_code_candidate	low	13	0	13	13	0	0	0	1.0000	0.0000	disable_default	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
BO	contextual_reference_code	medium	8	0	8	8	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
LX	contextual_reference_code	medium	8	0	8	8	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XCP	contextual_reference_code	medium	8	2	6	6	2	0	0	0.7500	0.2500	manual_review_only	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
BRYAN	person_or_local_reference_code	low	7	0	7	7	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
DSMZ	known_collection_prefix	high	7	0	5	5	0	2	0	0.7143	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
PHAS	contextual_reference_code	medium	7	1	6	6	1	0	0	0.8571	0.1429	manual_review_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
XF	contextual_reference_code	medium	7	0	7	7	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
EGLI	person_or_local_reference_code	low	6	0	0	0	0	6	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
HACC	contextual_reference_code	medium	6	0	0	0	0	6	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
ISPAVE-B	known_collection_prefix	high	6	0	0	0	0	6	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
KIB	contextual_reference_code	medium	6	0	6	6	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
PDDCC	known_collection_prefix	high	6	0	0	0	0	6	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
UKP	contextual_reference_code	medium	6	0	0	0	0	6	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
ITCC	known_collection_prefix	high	5	1	0	0	1	4	0	0.0000	0.2000	keep_default	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	Known collection IDs remain useful; test Attribute/Text Word under organism filter before full rerun.
LRA	contextual_reference_code	medium	5	0	5	5	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
NETO	contextual_reference_code	medium	5	0	4	4	0	1	0	0.8000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XCP	general_code_candidate	low	5	1	4	4	1	0	0	0.8000	0.2000	manual_review_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
XCP	uppercase_general_code	medium	5	1	4	4	1	0	0	0.8000	0.2000	manual_review_only	fallback_only_text_word_and_organism	Some accepted rows exist, but noise is too high for default search.
BAKER	person_or_local_reference_code	low	4	0	4	4	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
BS	contextual_reference_code	medium	4	0	4	4	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
CATTON	person_or_local_reference_code	low	4	3	0	0	3	1	0	0.0000	0.7500	keep_default	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
CCOS	contextual_reference_code	medium	4	3	0	0	3	1	0	0.0000	0.7500	keep_default	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
CCUG	known_collection_prefix	high	4	0	0	2	0	2	2	0.5000	0.0000	keep_strict_profile	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
CECT	contextual_reference_code	medium	4	0	1	1	0	3	0	0.2500	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
CHAND	person_or_local_reference_code	low	4	1	3	3	1	0	0	0.7500	0.2500	manual_review_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
IBSBF	uppercase_general_code	medium	4	1	0	0	1	3	0	0.0000	0.2500	keep_default	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
MILLER	person_or_local_reference_code	low	4	2	2	2	2	0	0	0.5000	0.5000	manual_review_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
NZRCC	contextual_reference_code	medium	4	0	0	0	0	4	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
WALLIN	person_or_local_reference_code	low	4	0	0	0	0	4	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
CIAT	uppercase_general_code	medium	3	0	0	0	0	3	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
CIP	known_collection_prefix	high	3	0	0	2	0	1	2	0.6667	0.0000	keep_strict_profile	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
CPBF	contextual_reference_code	medium	3	3	0	0	3	0	0	0.0000	1.0000	keep_default	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
CSL	contextual_reference_code	medium	3	0	0	0	0	3	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
DOWSON	person_or_local_reference_code	low	3	0	0	0	0	3	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
H	source_context_single_letter_code	low	3	0	3	3	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
IBSP	known_collection_prefix	high	3	1	0	0	1	2	0	0.0000	0.3333	keep_default	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	Known collection IDs remain useful; test Attribute/Text Word under organism filter before full rerun.
IVIA	contextual_reference_code	medium	3	0	0	0	0	3	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
KEMP	person_or_local_reference_code	low	3	1	2	2	1	0	0	0.6667	0.3333	manual_review_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
MOFFETT	person_or_local_reference_code	low	3	0	0	0	0	3	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
NCTC	known_collection_prefix	high	3	0	0	3	0	0	3	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
PESTI	person_or_local_reference_code	low	3	0	0	0	0	3	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
PHYL	contextual_reference_code	medium	3	1	2	2	1	0	0	0.6667	0.3333	manual_review_only	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
PX	contextual_reference_code	medium	3	0	3	3	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XM	contextual_reference_code	medium	3	0	3	3	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XR	contextual_reference_code	medium	3	0	3	3	0	0	0	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
CCM	contextual_reference_code	medium	2	0	1	2	0	0	1	1.0000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
COOPER	person_or_local_reference_code	low	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
CVCPB	contextual_reference_code	medium	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
DUFF	person_or_local_reference_code	low	2	2	0	0	2	0	0	0.0000	1.0000	keep_default	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
FENTON	person_or_local_reference_code	low	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
GBBC	contextual_reference_code	medium	2	2	0	0	2	0	0	0.0000	1.0000	keep_default	replace_all_fields_with_text_word_and_organism	The query has accepted productivity; field restriction should be tested in pilot.
GRASSO	person_or_local_reference_code	low	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
IBBF	contextual_reference_code	medium	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
IIHXCC	uppercase_general_code	medium	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
KISHUN	person_or_local_reference_code	low	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
KOIZUMI	person_or_local_reference_code	low	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
LOZANO	person_or_local_reference_code	low	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
MIHAIL	person_or_local_reference_code	low	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
NAYUDU	person_or_local_reference_code	low	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Low-confidence identifiers should not be converted into default fielded searches.
RCIIHXCP	contextual_reference_code	medium	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
SBF	contextual_reference_code	medium	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
VDM	contextual_reference_code	medium	2	0	1	1	0	1	0	0.5000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
VKM	known_collection_prefix	high	2	1	0	0	1	1	0	0.0000	0.5000	keep_default	replace_all_fields_with_text_word_and_organism_then_pilot_attribute	Known collection IDs remain useful; test Attribute/Text Word under organism filter before full rerun.
XCN	contextual_reference_code	medium	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XE	contextual_reference_code	medium	2	0	1	1	0	1	0	0.5000	0.0000	manual_review_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
XG	contextual_reference_code	medium	2	0	0	0	0	2	0	0.0000	0.0000	no_hit_evidence_only	manual_review_only	Insufficient evidence for default search; keep only as review evidence.
