ncppb_number	identifier_raw	identifier_normalized	identifier_type	clause_type	clause_order	source_start	source_end	normalization_status	validation_status	identifier_strength	risk_level	search_eligible	review_reason	collision_strain_count	collision_strains
NCPPB 899	NCPPB 899	NCPPB899	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 899
NCPPB 900	NCPPB 900	NCPPB900	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 900
NCPPB 901	NCPPB 901	NCPPB901	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 901
NCPPB 902	NCPPB 902	NCPPB902	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 902
NCPPB 916	NCPPB 916	NCPPB916	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 916
NCPPB 917	NCPPB 917	NCPPB917	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 917
NCPPB 918	NCPPB 918	NCPPB918	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 918
NCPPB 922	NCPPB 922	NCPPB922	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 922
NCPPB 923	NCPPB 923	NCPPB923	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 923
NCPPB 924	NCPPB 924	NCPPB924	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 924
NCPPB 926	NCPPB 926	NCPPB926	ncppb_number	catalogue_primary_key	0			generated_from_catalogue_number	auto_validated	primary	lowest	yes		1	NCPPB 926
