comparison	ncppb_number	record_status	field	change_class	old_value	new_value
v1_v3	NCPPB 1633	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995
v2_v3	NCPPB 1638	changed	current_name	value_changed	Xanthomonas sp. Dowson 1939	Xanthomonas cucurbitae Dowson 1939
v2_v3	NCPPB 1638	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas campestris
v1_v3	NCPPB 1638	changed	current_name	value_changed	Xanthomonas sp. Dowson 1939	Xanthomonas cucurbitae Dowson 1939
v1_v3	NCPPB 1638	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas campestris
v1_v3	NCPPB 1638	changed	notes	value_changed	Partial gene sequencing of gyrB is identical to X. cucurbitae (Parkinson et al. 2009). Pathovar unspecified. Fatty acid profile typical of Xanthomonas.	Partial gene sequencing of gyrB is identical to X. cucurbitae (Parkinson et al. 2009). Fatty acid profile typical of Xanthomonas.
v2_v3	NCPPB 1646	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v1_v3	NCPPB 1646	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v2_v3	NCPPB 1654	changed	alternative_names	value_changed	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007
v1_v3	NCPPB 1654	changed	alternative_names	value_changed	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978 Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007
v2_v3	NCPPB 1668	changed	alternative_names	value_added		Xanthomonas cynarae Trébaol et al. 2000
v1_v3	NCPPB 1668	changed	alternative_names	value_added		Xanthomonas cynarae Trébaol et al. 2000
v2_v3	NCPPB 1671	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978	Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978, Xanthomonas axonopodis pv. sesbaniae (Patel et al. 1952) Vauterin et al. 1995
v1_v3	NCPPB 1671	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978	Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978, Xanthomonas axonopodis pv. sesbaniae (Patel et al. 1952) Vauterin et al. 1995
v2_v3	NCPPB 1672	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas campestris
v1_v3	NCPPB 1672	changed	alternative_names	probable_v3_truncation	Xanthomonas campestris (Pammel 1895) Dowson 1939 emend. Vauterin et al. 1995	Xanthomonas campestris
v2_v3	NCPPB 1680	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v1_v3	NCPPB 1680	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995
v2_v3	NCPPB 1682	added	__record__	added		
v1_v3	NCPPB 1682	added	__record__	added		
v2_v3	NCPPB 1683	removed	__record__	removed		
v1_v3	NCPPB 1683	removed	__record__	removed		
v2_v3	NCPPB 1697	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v1_v3	NCPPB 1697	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
v2_v3	NCPPB 1698	changed	alternative_names	v3_value_expanded	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007
