query_id	ncppb_number	query_track	query_tier	identifier_raw	identifier_normalized	identifier_type	identifier_strength	expected_genus	retrieval_strategy	query_variants_json	local_match_variants_json	ncbi_database	query_term	page_size	max_records
916ce1792e039bb6f8e2	NCPPB 3562	ncppb_number	exact_full_identifier	NCPPB 3562	NCPPB3562	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3562"",""NCPPB3562"",""NCPPB:3562""]"	"[""NCPPB 3562"",""NCPPB3562"",""NCPPB:3562""]"	biosample	"(""NCPPB 3562""[Text Word] OR ""NCPPB3562""[Text Word] OR ""NCPPB:3562""[Text Word])"	100	500
dfb3ffe2df7f53345a12	NCPPB 3563	ncppb_number	exact_full_identifier	NCPPB 3563	NCPPB3563	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3563"",""NCPPB3563"",""NCPPB:3563""]"	"[""NCPPB 3563"",""NCPPB3563"",""NCPPB:3563""]"	biosample	"(""NCPPB 3563""[Text Word] OR ""NCPPB3563""[Text Word] OR ""NCPPB:3563""[Text Word])"	100	500
70a960498f491c5c9525	NCPPB 3566	ncppb_number	exact_full_identifier	NCPPB 3566	NCPPB3566	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3566"",""NCPPB3566"",""NCPPB:3566""]"	"[""NCPPB 3566"",""NCPPB3566"",""NCPPB:3566""]"	biosample	"(""NCPPB 3566""[Text Word] OR ""NCPPB3566""[Text Word] OR ""NCPPB:3566""[Text Word])"	100	500
85d1adc837c9637c15a5	NCPPB 3567	ncppb_number	exact_full_identifier	NCPPB 3567	NCPPB3567	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3567"",""NCPPB3567"",""NCPPB:3567""]"	"[""NCPPB 3567"",""NCPPB3567"",""NCPPB:3567""]"	biosample	"(""NCPPB 3567""[Text Word] OR ""NCPPB3567""[Text Word] OR ""NCPPB:3567""[Text Word])"	100	500
5f156424ea8dbae56a86	NCPPB 3568	ncppb_number	exact_full_identifier	NCPPB 3568	NCPPB3568	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3568"",""NCPPB3568"",""NCPPB:3568""]"	"[""NCPPB 3568"",""NCPPB3568"",""NCPPB:3568""]"	biosample	"(""NCPPB 3568""[Text Word] OR ""NCPPB3568""[Text Word] OR ""NCPPB:3568""[Text Word])"	100	500
084757a078fd7863d07e	NCPPB 3569	ncppb_number	exact_full_identifier	NCPPB 3569	NCPPB3569	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3569"",""NCPPB3569"",""NCPPB:3569""]"	"[""NCPPB 3569"",""NCPPB3569"",""NCPPB:3569""]"	biosample	"(""NCPPB 3569""[Text Word] OR ""NCPPB3569""[Text Word] OR ""NCPPB:3569""[Text Word])"	100	500
0319ef0623ea008edd8b	NCPPB 3570	ncppb_number	exact_full_identifier	NCPPB 3570	NCPPB3570	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3570"",""NCPPB3570"",""NCPPB:3570""]"	"[""NCPPB 3570"",""NCPPB3570"",""NCPPB:3570""]"	biosample	"(""NCPPB 3570""[Text Word] OR ""NCPPB3570""[Text Word] OR ""NCPPB:3570""[Text Word])"	100	500
c12964423dfbe845c2c1	NCPPB 3573	ncppb_number	exact_full_identifier	NCPPB 3573	NCPPB3573	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3573"",""NCPPB3573"",""NCPPB:3573""]"	"[""NCPPB 3573"",""NCPPB3573"",""NCPPB:3573""]"	biosample	"(""NCPPB 3573""[Text Word] OR ""NCPPB3573""[Text Word] OR ""NCPPB:3573""[Text Word])"	100	500
5b2cfc3c978af98cff25	NCPPB 3582	ncppb_number	exact_full_identifier	NCPPB 3582	NCPPB3582	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3582"",""NCPPB3582"",""NCPPB:3582""]"	"[""NCPPB 3582"",""NCPPB3582"",""NCPPB:3582""]"	biosample	"(""NCPPB 3582""[Text Word] OR ""NCPPB3582""[Text Word] OR ""NCPPB:3582""[Text Word])"	100	500
7bd76cabb3c7d8ec76f3	NCPPB 3583	ncppb_number	exact_full_identifier	NCPPB 3583	NCPPB3583	ncppb_number	primary	Xanthomonas	full_ncppb_identifier_variants_then_structured_exact_local_validation	"[""NCPPB 3583"",""NCPPB3583"",""NCPPB:3583""]"	"[""NCPPB 3583"",""NCPPB3583"",""NCPPB:3583""]"	biosample	"(""NCPPB 3583""[Text Word] OR ""NCPPB3583""[Text Word] OR ""NCPPB:3583""[Text Word])"	100	500
