ncppb_number	snapshot_status	v1_sequence_category	v2_sequence_category	sequence_category_changed	v1_biosample_accessions	v2_biosample_accessions	biosample_accessions_changed	v1_assembly_accessions	v2_assembly_accessions	assembly_accessions_changed	v1_sra_run_accessions	v2_sra_run_accessions	sra_accessions_changed	v2_ncppb_track_matches	v2_other_references_track_matches
NCPPB 3796	present_in_both	complete_genome_available	taxonomy_review_required_before_sequence_use	yes	SAMN42175583	SAMN42175583	no	GCF_041463605.1		yes	SRR30037663; SRR29651789		yes	SAMN42175583	
NCPPB 3797	present_in_both	complete_genome_available	taxonomy_review_required_before_sequence_use	yes	SAMN42175584	SAMN42175584	no	GCF_041463635.1		yes	SRR30037662; SRR29651788		yes	SAMN42175584	
NCPPB 3799	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3800	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3801	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3829	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3830	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3831	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3832	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3870	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3875	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3876	present_in_both	ambiguous_candidate_records_need_review	no_confirmed_public_data	yes			no			no			no		
NCPPB 3877	present_in_both	ambiguous_candidate_records_need_review	no_confirmed_public_data	yes			no			no			no		
NCPPB 3878	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3880	present_in_both	ambiguous_candidate_records_need_review	no_confirmed_public_data	yes			no			no			no		
NCPPB 3883	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN57360827; SAMN22552831	SAMN57360827; SAMN22552831	no	GCF_020813155.1	GCF_020813155.1	no	SRR38178865; SRR29823151	SRR38178865; SRR29823151	no	SAMN57360827; SAMN22552831	
NCPPB 3884	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN57360826; SAMN22552832	SAMN57360826; SAMN22552832	no	GCF_020813085.1	GCF_020813085.1	no	SRR38178866; SRR29823150	SRR38178866; SRR29823150	no	SAMN57360826; SAMN22552832	
NCPPB 3885	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3886	present_in_both	complete_genome_available	taxonomy_review_required_before_sequence_use	yes	SAMN42175585	SAMN42175585	no	GCF_041463755.1		yes	SRR30037661; SRR29651787		yes	SAMN42175585	
NCPPB 3887	present_in_both	complete_genome_available	taxonomy_review_required_before_sequence_use	yes	SAMN42175586	SAMN42175586	no	GCF_041463645.1		yes	SRR30037660; SRR29651786		yes	SAMN42175586	
NCPPB 3888	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN22555468	SAMN22555468	no	GCF_020783765.1	GCF_020783765.1	no	SRR22272566	SRR22272566	no	SAMN22555468	
NCPPB 3890	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3925	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3926	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3927	present_in_both	draft_assembly_available	draft_assembly_available	no	SAMN43286079	SAMN43286079	no	GCF_041521265.1	GCF_041521265.1	no	SRR30327315	SRR30327315	no	SAMN43286079	
NCPPB 3931	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3932	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3942	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3943	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3944	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
NCPPB 3947	present_in_both	no_confirmed_public_sequence_data	no_confirmed_public_data	no			no			no			no		
