query_id	ncppb_number	query_track	query_tier	searched_identifier	ncbi_uid	biosample_accession	organism	taxid	title	strain	isolate	culture_collection	bio_material	sample_name	identity_aliases	identifiers	host	geographic_location	collection_date	isolation_source	attributes_json	raw_xml_cache_path	source_url	status	error
9a5a419bbd06149334ec; 47f404d74fab4ca80a9e	NCPPB 670	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 670	3097370	SAMN03097370	Xanthomonas citri pv. fuscans	366649	Microbe sample from Xanthomonas citri pv. fuscans	NCPPB 670		NCPPB:670				BioSample: SAMN03097370; NCPPB670; SRA: SRS954099	Phaseolus vulgaris	Uganda	1958	Infected bean plant	"{""collection_date"":[""1958""],""culture_collection"":[""NCPPB:670""],""geo_loc_name"":[""Uganda""],""host"":[""Phaseolus vulgaris""],""isolation_source"":[""Infected bean plant""],""pathovar"":[""fuscans""],""sample_type"":[""missing""],""strain"":[""NCPPB 670""]}"	.cache/ncbi/v2_1/efetch_735d8f8ccf46cf9f5e2f29e314c8634be72cb116fa0e8a003a1726550bbc0b46.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03097370	ok	
9a5a419bbd06149334ec; bc297b7ad471c301eec9	NCPPB 2877	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 2877	3164131	SAMN03164131	Xanthomonas cannabis pv. cannabis	1885894	Xanthomonas campestris pv. cannabis str. NCPPB 2877	NCPPB 2877		NCPPB:2877				BioSample: SAMN03164131; Xcannabis_NCPPB2877; SRA: SRS1768447	Cannabis sativa	Romania: Lovrin, Timis County	1974-07	missing	"{""Tax ID"":[""1885894""],""collected_by"":[""I. Sandru""],""collection_date"":[""1974-07""],""culture_collection"":[""NCPPB:2877""],""geo_loc_name"":[""Romania: Lovrin, Timis County""],""host"":[""Cannabis sativa""],""isolation_source"":[""missing""],""pathovar"":[""cannabis""],""sample_type"":[""missing""],""strain"":[""NCPPB 2877""],""type-material"":[""type strain of Xanthomonas cannabis""]}"	.cache/ncbi/v2_1/efetch_1d87dd683a4b2a45cb6cf73549ea1a6c05b4fa06096e52901c1da51e76c76b7b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN03164131	ok	
9a5a419bbd06149334ec; aee375fe4450d4449203	NCPPB 2918	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 2918	57360828	SAMN57360828	Xanthomonas campestris	339	Microbe sample from Xanthomonas campestris	NCPPB 2918		NCPPB:2918	J.F. Bradbury			BioSample: SAMN57360828; NCPPB_2918; SRA: SRS28844359	Crambe	Malawi	1973		"{""biomaterial_provider"":[""J.F. Bradbury""],""collected_by"":[""J.F. Bradbury""],""collection_date"":[""1973""],""culture_collection"":[""NCPPB:2918""],""geo_loc_name"":[""Malawi""],""host"":[""Crambe""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 2918""]}"	.cache/ncbi/v2_1/efetch_825ecc5bb14f6df0c57e704db5b70c5926b96686ad03393d6efd1aa18548fc76.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN57360828	ok	
9a5a419bbd06149334ec; 358e4810b411370fbe86	NCPPB 3883	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 3883	57360827	SAMN57360827	Xanthomonas campestris	339	Microbe sample from Xanthomonas campestris	NCPPB 3883		NCPPB:3883	C.N. Hodge			BioSample: SAMN57360827; NCPPB_3883; SRA: SRS28844358	Crambe hispanica subsp. abyssinica	USA	1990		"{""biomaterial_provider"":[""C.N. Hodge""],""collected_by"":[""J.D. Mihail""],""collection_date"":[""1990""],""culture_collection"":[""NCPPB:3883""],""geo_loc_name"":[""USA""],""host"":[""Crambe hispanica subsp. abyssinica""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 3883""]}"	.cache/ncbi/v2_1/efetch_825ecc5bb14f6df0c57e704db5b70c5926b96686ad03393d6efd1aa18548fc76.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN57360827	ok	
9a5a419bbd06149334ec; 9b00424acf478d7b317a	NCPPB 3884	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 3884	57360826	SAMN57360826	Xanthomonas campestris	339	Microbe sample from Xanthomonas campestris	NCPPB 3884		NCPPB:3884	C.N. Hodge			BioSample: SAMN57360826; NCPPB_3884; SRA: SRS28844357	Crambe hispanica subsp. abyssinica	USA	1990		"{""biomaterial_provider"":[""C.N. Hodge""],""collected_by"":[""J.D. Mihail""],""collection_date"":[""1990""],""culture_collection"":[""NCPPB:3884""],""geo_loc_name"":[""USA""],""host"":[""Crambe hispanica subsp. abyssinica""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 3884""]}"	.cache/ncbi/v2_1/efetch_825ecc5bb14f6df0c57e704db5b70c5926b96686ad03393d6efd1aa18548fc76.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN57360826	ok	
9a5a419bbd06149334ec; 1aaa8b1f7071f7fa18d4	NCPPB 942	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 942	57360824	SAMN57360824	Xanthomonas campestris pv. barbareae	461407	Microbe sample from Xanthomonas campestris pv. barbareae	NCPPB 942		NCPPB:942				BioSample: SAMN57360824; NCPPB_942; SRA: SRS28844355	Barbarea vulgaris	USA	1939		"{""collected_by"":[""W.H. Burkholder""],""collection_date"":[""1939""],""culture_collection"":[""NCPPB:942""],""geo_loc_name"":[""USA""],""host"":[""Barbarea vulgaris""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 942""]}"	.cache/ncbi/v2_1/efetch_825ecc5bb14f6df0c57e704db5b70c5926b96686ad03393d6efd1aa18548fc76.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN57360824	ok	
9a5a419bbd06149334ec; e90c2e88a09c71a8aa7d	NCPPB 3442	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 3442	42161516	SAMN42161516	Xanthomonas sp. NCPPB 3442	3698924	Genome sequencing of Xanthomonas sp. NCPPB 3442	NCPPB 3442		NCPPB:3442	J.R. Neto			BioSample: SAMN42161516; 3442; SRA: SRS21840235	Cordia goeldiana	Brazil	1982		"{""biomaterial_provider"":[""J.R. Neto""],""collected_by"":[""ex C.F. Robbs ENA 3123""],""collection_date"":[""1982""],""culture_collection"":[""NCPPB:3442""],""geo_loc_name"":[""Brazil""],""host"":[""Cordia goeldiana""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 3442""]}"	.cache/ncbi/v2_1/efetch_8ec2141c87acd40792a90a4e277782ac1e620c234591cd9898396a29132fc936.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161516	ok	
9a5a419bbd06149334ec; 9fcb2294b84fd9facb07	NCPPB 3441	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 3441	42161515	SAMN42161515	Xanthomonas sp. NCPPB 3441	3698925	Genome sequencing of Xanthomonas sp. NCPPB 3441	NCPPB 3441		NCPPB:3441				BioSample: SAMN42161515; 3441; SRA: SRS21840234	Cordia goeldiana	Brazil	1985		"{""collected_by"":[""J.R. Neto IBSBF 511""],""collection_date"":[""1985""],""culture_collection"":[""NCPPB:3441""],""geo_loc_name"":[""Brazil""],""host"":[""Cordia goeldiana""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 3441""]}"	.cache/ncbi/v2_1/efetch_8ec2141c87acd40792a90a4e277782ac1e620c234591cd9898396a29132fc936.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161515	ok	
9a5a419bbd06149334ec; 0b03e0d477391f877005	NCPPB 3218	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 3218	42161514	SAMN42161514	Xanthomonas sp. NCPPB 3218	487553	Genome sequencing of Xanthomonas sp. NCPPB 3218	NCPPB 3218		NCPPB:3218	J.F. Bradbury			BioSample: SAMN42161514; 3218; SRA: SRS21840231	Syzygium aromaticum	Indonesia	1980		"{""biomaterial_provider"":[""J.F. Bradbury""],""collected_by"":[""C.P. Bennett Y3""],""collection_date"":[""1980""],""culture_collection"":[""NCPPB:3218""],""geo_loc_name"":[""Indonesia""],""host"":[""Syzygium aromaticum""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 3218""]}"	.cache/ncbi/v2_1/efetch_8ec2141c87acd40792a90a4e277782ac1e620c234591cd9898396a29132fc936.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161514	ok	
9a5a419bbd06149334ec; c5380c65ec0aef063045	NCPPB 3174	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 3174	42161513	SAMN42161513	Xanthomonas sp. NCPPB 3174	487551	Genome sequencing of Xanthomonas sp. NCPPB 3174	NCPPB 3174		NCPPB:3174	J.F. Bradbury			BioSample: SAMN42161513; 3174; SRA: SRS21840232	Setaria italica	India	1977		"{""biomaterial_provider"":[""J.F. Bradbury""],""collected_by"":[""J.F. Bradbury""],""collection_date"":[""1977""],""culture_collection"":[""NCPPB:3174""],""geo_loc_name"":[""India""],""host"":[""Setaria italica""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 3174""]}"	.cache/ncbi/v2_1/efetch_8ec2141c87acd40792a90a4e277782ac1e620c234591cd9898396a29132fc936.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161513	ok	
9a5a419bbd06149334ec; f8f79cf002f22ff2038b	NCPPB 2933	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 2933	42161512	SAMN42161512	Xanthomonas sp. NCPPB 2933	487548	Genome sequencing of Xanthomonas sp. NCPPB 2933	NCPPB 2933		NCPPB:2933	J.F. Bradbury			BioSample: SAMN42161512; 2933; SRA: SRS21840230	Calendula officinalis	United Kingdom	1974		"{""biomaterial_provider"":[""J.F. Bradbury""],""collected_by"":[""J.F. Bradbury B6132""],""collection_date"":[""1974""],""culture_collection"":[""NCPPB:2933""],""geo_loc_name"":[""United Kingdom""],""host"":[""Calendula officinalis""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 2933""]}"	.cache/ncbi/v2_1/efetch_8ec2141c87acd40792a90a4e277782ac1e620c234591cd9898396a29132fc936.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161512	ok	
9a5a419bbd06149334ec; 62607a5ffcc1035c3214	NCPPB 2654	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 2654	42161507	SAMN42161507	Xanthomonas sp. NCPPB 2654	487541	Genome sequencing of Xanthomonas sp. NCPPB 2654	NCPPB 2654		NCPPB:2654	F. Catton			BioSample: SAMN42161507; 2654; SRA: SRS21840227	Phaseolus vulgaris	United Kingdom	1974		"{""biomaterial_provider"":[""F. Catton""],""collected_by"":[""F.W. Catton C783""],""collection_date"":[""1974""],""culture_collection"":[""NCPPB:2654""],""geo_loc_name"":[""United Kingdom""],""host"":[""Phaseolus vulgaris""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 2654""]}"	.cache/ncbi/v2_1/efetch_8ec2141c87acd40792a90a4e277782ac1e620c234591cd9898396a29132fc936.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161507	ok	
9a5a419bbd06149334ec; 1a87ca88ff213f9a7612	NCPPB 2250	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 2250	42161504	SAMN42161504	Xanthomonas sp. NCPPB 2250	487538	Genome sequencing of Xanthomonas sp. NCPPB 2250	NCPPB 2250		NCPPB:2250	J.F. Bradbury			BioSample: SAMN42161504; 2250; SRA: SRS21840219	Zingiber officinale	Mauritius	1967		"{""biomaterial_provider"":[""J.F. Bradbury""],""collected_by"":[""J.F. Bradbury B3516a""],""collection_date"":[""1967""],""culture_collection"":[""NCPPB:2250""],""geo_loc_name"":[""Mauritius""],""host"":[""Zingiber officinale""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 2250""]}"	.cache/ncbi/v2_1/efetch_8ec2141c87acd40792a90a4e277782ac1e620c234591cd9898396a29132fc936.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161504	ok	
9a5a419bbd06149334ec; 330e65fb7c4feed8d411	NCPPB 1826	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 1826	42161503	SAMN42161503	Xanthomonas sp. NCPPB 1826	487537	Genome sequencing of Xanthomonas sp. NCPPB 1826	NCPPB 1826		NCPPB:1826	G.E. Jones			BioSample: SAMN42161503; 1826; SRA: SRS21840213	Prunus domestica	United Kingdom	1966		"{""biomaterial_provider"":[""G.E. Jones""],""collected_by"":[""G.E. Jones C555""],""collection_date"":[""1966""],""culture_collection"":[""NCPPB:1826""],""geo_loc_name"":[""United Kingdom""],""host"":[""Prunus domestica""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 1826""]}"	.cache/ncbi/v2_1/efetch_8ec2141c87acd40792a90a4e277782ac1e620c234591cd9898396a29132fc936.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161503	ok	
9a5a419bbd06149334ec; e7aa9ca4575c2cfe85b2	NCPPB 901	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 901	42161496	SAMN42161496	Xanthomonas sp. NCPPB 901	487572	Genome sequencing of Xanthomonas sp. NCPPB 901	NCPPB 901		NCPPB:901	A.C. Hayward			BioSample: SAMN42161496; 901; SRA: SRS21840216	Gossypium sp.	India	Not collected		"{""biomaterial_provider"":[""A.C. Hayward""],""collected_by"":[""ex N.B. Kulkarni""],""collection_date"":[""Not collected""],""culture_collection"":[""NCPPB:901""],""geo_loc_name"":[""India""],""host"":[""Gossypium sp.""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 901""]}"	.cache/ncbi/v2_1/efetch_94bc73f4953fbbd6003a6f71ebdfb4c8230335def592901b6432b2f2b09cab5b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161496	ok	
9a5a419bbd06149334ec; 25c26b4212825c1ce543	NCPPB 4466	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 4466	42161493	SAMN42161493	Xanthomonas sp. NCPPB 4466	3698923	Genome sequencing of Xanthomonas dyei pv. lobeliae NCPPB 4466	NCPPB 4466		NCPPB:4466				BioSample: SAMN42161493; 4466; SRA: SRS21840240	Lobelia erinus	Not collected	Not collected		"{""collection_date"":[""Not collected""],""culture_collection"":[""NCPPB:4466""],""geo_loc_name"":[""Not collected""],""host"":[""Lobelia erinus""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 4466""]}"	.cache/ncbi/v2_1/efetch_94bc73f4953fbbd6003a6f71ebdfb4c8230335def592901b6432b2f2b09cab5b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161493	ok	
9a5a419bbd06149334ec; 0319ef0623ea008edd8b	NCPPB 3570	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 3570	42161487	SAMN42161487	Xanthomonas sp. NCPPB 3570	487555	Genome sequencing of Xanthomonas sp. NCPPB 3570	NCPPB 3570		NCPPB:3570				BioSample: SAMN42161487; 3570; SRA: SRS21840222	Xanthosoma sagittifolium	Venezuela:Maracay	Not collected		"{""collected_by"":[""G. E. Trujillo P.""],""collection_date"":[""Not collected""],""culture_collection"":[""NCPPB:3570""],""geo_loc_name"":[""Venezuela:Maracay""],""host"":[""Xanthosoma sagittifolium""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 3570""]}"	.cache/ncbi/v2_1/efetch_94bc73f4953fbbd6003a6f71ebdfb4c8230335def592901b6432b2f2b09cab5b.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161487	ok	
9a5a419bbd06149334ec; eca1b01b2ccd419040fe	NCPPB 2866	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	NCPPB; NCPPB 2866	42161511	SAMN42161511	Xanthomonas sp. NCPPB 2866	487545	Genome sequencing of Xanthomonas sp. NCPPB 2866	NCPPB 2866		NCPPB:2866	F. Catton			BioSample: SAMN42161511; 2866; SRA: SRS21840229	Chrysanthemum x morifolium	Netherlands	1975		"{""Tax ID"":[""487545""],""biomaterial_provider"":[""F. Catton""],""collected_by"":[""F.W. Catton 212,75,6""],""collection_date"":[""1975""],""culture_collection"":[""NCPPB:2866""],""geo_loc_name"":[""Netherlands""],""host"":[""Chrysanthemum x morifolium""],""sample_type"":[""Cell culture""],""strain"":[""NCPPB 2866""]}"	.cache/ncbi/v2_1/efetch_8ec2141c87acd40792a90a4e277782ac1e620c234591cd9898396a29132fc936.xml	https://www.ncbi.nlm.nih.gov/biosample/SAMN42161511	ok	
