ncppb_number	biosample_accession	ncbi_uid	discovery_tracks	discovery_tiers	organism	taxid	biosample_host	biosample_geographic_location	biosample_collection_date	biosample_collection_year	biosample_isolation_source	matched_identifier	matched_identifier_type	identifier_strength	matched_field	evidence_class	identity_match_status	taxonomy_status	pathovar_status	identity_review_required	taxonomy_review_required	manual_review_required	decision	original_decision	reviewer_decision	reviewer_notes	reviewer_approved_for_downstream	review_reason	conflicting_ncppb_numbers	source_url
NCPPB 4373	SAMN17386100	17386100	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386100
NCPPB 4373	SAMN17386099	17386099	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386099
NCPPB 4373	SAMN17386098	17386098	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386098
NCPPB 4373	SAMN17386097	17386097	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386097
NCPPB 4373	SAMN17386096	17386096	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386096
NCPPB 4373	SAMN17386095	17386095	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386095
NCPPB 4373	SAMN17386094	17386094	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386094
NCPPB 4373	SAMN17386093	17386093	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386093
NCPPB 4373	SAMN17386092	17386092	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386092
NCPPB 4373	SAMN17386091	17386091	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386091
NCPPB 4373	SAMN17386090	17386090	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386090
NCPPB 4373	SAMN17386089	17386089	other_references	expected_genus	Xanthomonas campestris	339	Brassica oleracea var. botrytis	Australia: Queensland	2000	2000						no_exact_identifier	no_exact_identifier	same_genus_different_species	observed_pathovar_unresolved	no	no	no	reject	reject			no	no_exact_identifier		https://www.ncbi.nlm.nih.gov/biosample/SAMN17386089
