ncppb_number	biosample_accession	ncbi_uid	discovery_tracks	discovery_tiers	organism	taxid	biosample_host	biosample_geographic_location	biosample_collection_date	biosample_collection_year	biosample_isolation_source	matched_identifier	matched_identifier_type	identifier_strength	matched_field	evidence_class	identity_match_status	taxonomy_status	pathovar_status	identity_review_required	taxonomy_review_required	manual_review_required	decision	original_decision	reviewer_decision	reviewer_notes	reviewer_approved_for_downstream	review_reason	conflicting_ncppb_numbers	source_url
NCPPB 4037	SAMN22552836	22552836	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Nemesia sp.	United Kingdom	not collected			NCPPB 4037	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN22552836
NCPPB 1946	SAMN22552835	22552835	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. raphani	359385	Raphanus sativus	USA	not collected			NCPPB 1946	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN22552835
NCPPB 528	SAMN22552834	22552834	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	Brassica oleracea var. gemmifera	United Kingdom	not collected			NCPPB 528	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN22552834
NCPPB 2918	SAMN22552833	22552833	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Crambe sp.	Malawi	not collected			NCPPB 2918	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN22552833
NCPPB 3884	SAMN22552832	22552832	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Crambe hispanica subsp. abyssinica	USA	not collected			NCPPB 3884	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN22552832
NCPPB 3883	SAMN22552831	22552831	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Crambe hispanica subsp. abyssinica	USA	not collected			NCPPB 3883	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN22552831
NCPPB 2986	SAMN22552830	22552830	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. aberrans	461406	Brassica oleracea var. capitata	Australia	not collected			NCPPB 2986	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN22552830
NCPPB 347	SAMN22552829	22552829	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. armoraciae	329463	Iberis sp.	Tanzania	not collected			NCPPB 347	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN22552829
NCPPB 2586	SAMN22552828	22552828	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	Brassica juncea	India	not collected			NCPPB 2586	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	not_applicable_no_expected_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN22552828
NCPPB 889	SAMN20080225	20080225	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas vasicola pv. vasculorum	325776	Saccharum officinarum	South Africa	not collected		missing	NCPPB 889	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN20080225
NCPPB 4390	SAMN20034693	20034693	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas vasicola pv. musacearum	454958	Musa sp.	Rwanda	2005	2005		NCPPB 4390	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN20034693
NCPPB 4378	SAMN20034692	20034692	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas vasicola pv. musacearum	454958	Musa sp.	Uganda	2005	2005		NCPPB 4378	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN20034692
NCPPB 795	SAMN20034691	20034691	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas vasicola pv. vasculorum	325776	Saccharum officinarum	Madagascar	Not collected			NCPPB 795	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN20034691
NCPPB 2352	SAMN42284549	42284549	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. maculifoliigardeniae	487832	Ixora coccinea	USA	1969	1969		NCPPB 2352	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42284549
NCPPB 972	SAMN42284548	42284548	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. maculifoliigardeniae	487832	Gardenia sp.	USA	Not collected			NCPPB 972	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42284548
NCPPB 971	SAMN42284547	42284547	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. maculifoliigardeniae	487832	Gardenia sp.	USA	Not collected			NCPPB 971	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42284547
NCPPB 646	SAMN42284537	42284537	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. khayae	487831	Khaya senegalensis	Sudan	1957	1957		NCPPB 646	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42284537
NCPPB 536	SAMN42284536	42284536	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. khayae	487831	Khaya senegalensis	Sudan	Not collected			NCPPB 536	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42284536
NCPPB 2063	SAMN42284474	42284474	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cajani	487827	Cajanus cajan	Sudan	1966	1966		NCPPB 2063	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42284474
NCPPB 573	SAMN42284473	42284473	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cajani	487827	Cajanus cajan	India	1950	1950		NCPPB 573	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42284473
NCPPB 485	SAMN42284446	42284446	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. betlicola	487825	Piper betle	India	1953	1953		NCPPB 485	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42284446
NCPPB 1629	SAMN42283062	42283062	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. bauhiniae	487824	Bauhinia racemosa	India	1961	1961		NCPPB 1629	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42283062
NCPPB 2368	SAMN42280123	42280123	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. pedalii	487836	Pedalium murex	India	1967	1967		NCPPB 2368	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42280123
NCPPB 840	SAMN42280122	42280122	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. patelii	473413	Crotalaria juncea	India	1959	1959		NCPPB 840	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42280122
NCPPB 2228	SAMN42280121	42280121	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. biophyti	487826	Biophytum sensitivum	India	1967	1967		NCPPB 2228	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42280121
NCPPB 2832	SAMN42278575	42278575	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. aracearum	487848	Xanthosoma sagittifolium	Guadeloupe	1972	1972		NCPPB 2832	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42278575
NCPPB 584	SAMN42278574	42278574	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. tamarindi	473416	Tamarindus indica	India	1950	1950		NCPPB 584	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42278574
NCPPB 2066	SAMN42278573	42278573	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. phyllanthi	473414	Phyllanthus niruri	Sudan	1965	1965		NCPPB 2066	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42278573
NCPPB 1337	SAMN42278572	42278572	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. nakataecorchori	487835	Corchorus aestuans var. aestuans	India	1961	1961		NCPPB 1337	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	pathovar_mismatch	no	yes	yes	accept	accept			no	pathovar_mismatch		https://www.ncbi.nlm.nih.gov/biosample/SAMN42278572
NCPPB 993	SAMN42278571	42278571	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. lespedezae	473412	Lespedeza	USA	1944	1944		NCPPB 993	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42278571
NCPPB 2230	SAMN42278570	42278570	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. fascicularis	487830	Corchorus fascicularis	India	1967	1967		NCPPB 2230	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42278570
NCPPB 885	SAMN42278569	42278569	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. desmodiirotundifolii	473410	Desmodium rotundifolium	India	Not collected			NCPPB 885	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42278569
NCPPB 577	SAMN42278567	42278567	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. desmodiigangetici	473409	Pleurolobus gangeticus	India	1943	1943		NCPPB 577	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42278567
NCPPB 481	SAMN42278566	42278566	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. biophyti	487826	Biophytum sensitivum	India	1967	1967		NCPPB 481	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	pathovar_mismatch	no	yes	yes	accept	accept			no	pathovar_mismatch		https://www.ncbi.nlm.nih.gov/biosample/SAMN42278566
NCPPB 2058	SAMN42278565	42278565	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. vignaeradiatae	487841	Vigna radiata	Sudan	1966	1966		NCPPB 2058	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42278565
NCPPB 637	SAMN42180202	42180202	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cyamopsidis	473407	Cyamopsis tetragonoloba	India	Not collected			NCPPB 637	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42180202
NCPPB 3758	SAMN42180201	42180201	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cyamopsidis	473407	Cyamopsis tetragonoloba	Brazil	1990	1990		NCPPB 3758	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42180201
NCPPB 3204	SAMN42180200	42180200	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cyamopsidis	473407	Cyamopsis tetragonoloba	Sudan	1979	1979		NCPPB 3204	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42180200
NCPPB 2998	SAMN42180199	42180199	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cyamopsidis	473407	Cyamopsis tetragonoloba	USA	1968	1968		NCPPB 2998	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42180199
NCPPB 2997	SAMN42180198	42180198	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cyamopsidis	473407	Cyamopsis tetragonoloba	USA	1968	1968		NCPPB 2997	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42180198
NCPPB 2494	SAMN42180197	42180197	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cyamopsidis	473407	Cyamopsis tetragonoloba	India	Not collected			NCPPB 2494	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42180197
NCPPB 2914	SAMN42180190	42180190	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. rhynchosiae	473424	Rhynchosiae phaseoloides	Barbados	1972	1972		NCPPB 2914	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42180190
NCPPB 2060	SAMN42180189	42180189	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. rhynchosiae	473424	Rhynchosia minima	Sudan	1966	1966		NCPPB 2060	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42180189
NCPPB 1827	SAMN42180188	42180188	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. rhynchosiae	473424	Rhynchosia minima	Sudan	1965	1965		NCPPB 1827	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42180188
NCPPB 581	SAMN42178463	42178463	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. poinsettiicola	375353	Euphorbia pulcherrima	India	1950	1950		NCPPB 581	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178463
NCPPB 3948	SAMN42178462	42178462	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. poinsettiicola	375353	Euphorbia cyathophora	Australia	Not collected			NCPPB 3948	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178462
NCPPB 1939	SAMN42178461	42178461	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. poinsettiicola	375353	Euphorbia pulcherrima	USA	1960	1960		NCPPB 1939	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178461
NCPPB 2973	SAMN42178454	42178454	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cassiae	473405	Senna tora	India	1962	1962		NCPPB 2973	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178454
NCPPB 1475	SAMN42178453	42178453	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cassiae	473405	Senna tora	India	1963	1963		NCPPB 1475	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178453
NCPPB 645	SAMN42178452	42178452	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cassiae	473405	Senna alexandrina	Sudan	1957	1957		NCPPB 645	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178452
NCPPB 478	SAMN42178451	42178451	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. cassiae	473405	Senna tora	India	Not collected			NCPPB 478	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178451
NCPPB 113	SAMN42178446	42178446	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. ricini	473415	Ricinus communis	Uganda	Not collected			NCPPB 113	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178446
NCPPB 2369	SAMN42178445	42178445	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. ricini	473415	Ricinus communis	India	1969	1969		NCPPB 2369	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178445
NCPPB 1684	SAMN42178444	42178444	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. ricini	473415	Ricinus communis	Kenya	1964	1964		NCPPB 1684	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178444
NCPPB 1473	SAMN42178443	42178443	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. ricini	473415	Ricinus communis	Zimbabwe	1963	1963		NCPPB 1473	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178443
NCPPB 1324	SAMN42178442	42178442	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. ricini	473415	Ricinus communis	Hong Kong	1962	1962		NCPPB 1324	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178442
NCPPB 1063	SAMN42178441	42178441	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. ricini	473415	Ricinus communis	Ethiopia	1961	1961		NCPPB 1063	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178441
NCPPB 535	SAMN42178440	42178440	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. ricini	473415	Ricinus communis	Sudan	1957	1957		NCPPB 535	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178440
NCPPB 488	SAMN42178439	42178439	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. ricini	473415	Ricinus communis	India	Not collected			NCPPB 488	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178439
NCPPB 3662	SAMN42178438	42178438	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. ricini	473415	Ricinus communis	Brazil	1978	1978		NCPPB 3662	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	same_pathovar	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN42178438
NCPPB 3887	SAMN42175586	42175586	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. fici	487866	Unknown	India	1993	1993		NCPPB 3887	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	same_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN42175586
NCPPB 3886	SAMN42175585	42175585	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. fici	487866	Ficus religiosa	India	1993	1993		NCPPB 3886	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	same_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN42175585
NCPPB 3797	SAMN42175584	42175584	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. fici	487866	Unknown	Australia	1991	1991		NCPPB 3797	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	same_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN42175584
NCPPB 3796	SAMN42175583	42175583	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. fici	487866	Unknown	Australia	1991	1991		NCPPB 3796	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	same_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN42175583
NCPPB 3795	SAMN42175582	42175582	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. fici	487866	Ficus microcarpa var. hillii	Australia	1991	1991		NCPPB 3795	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	same_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN42175582
NCPPB 2372	SAMN42175581	42175581	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. fici	487866	Ficus religiosa	India	1968	1968		NCPPB 2372	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	same_pathovar	no	yes	yes	accept	accept			no	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN42175581
NCPPB 1946	SAMN17385960	17385960	ncppb_number; other_references	expected_genus:Xanthomonas	Xanthomonas campestris	339	Raphanus sativus	USA	1940	1940		NCPPB 1946	ncppb_number	primary	identity_aliases	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN17385960
NCPPB 2986	SAMN17385948	17385948	ncppb_number; other_references	expected_genus:Xanthomonas	Xanthomonas campestris	339	Brassica oleracea var. capitata	Australia: Queensland, Redland Bay	1975	1975	leaf	NCPPB 2986	ncppb_number	primary	identity_aliases	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	observed_pathovar_unresolved	no	no	no	accept	accept			no			https://www.ncbi.nlm.nih.gov/biosample/SAMN17385948
