ncppb_number	presence_pattern	v1_present	v2_present	v3_present	v1_v2_status	v2_v3_status	v1_v3_status	v1_v2_changed_fields	v2_v3_changed_fields	v1_v3_changed_fields	v1_current_name	v2_current_name	v3_current_name	latest_catalogue_url
NCPPB 989	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/989
NCPPB 990	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978	https://ncppb.fera.co.uk/furtherinfo/990
NCPPB 993	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. lespedezae (Ayers et al. 1939) Vauterin et al. 1995	Xanthomonas axonopodis pv. lespedezae (Ayers et al. 1939) Vauterin et al. 1995	Xanthomonas axonopodis pv. lespedezae (Ayers et al. 1939) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/993
NCPPB 994	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/994
NCPPB 1009	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	https://ncppb.fera.co.uk/furtherinfo/1009
NCPPB 1014	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. vitiswoodrowii (Patel & Kulkarni 1951) Dye 1978	Xanthomonas campestris pv. vitiswoodrowii (Patel & Kulkarni 1951) Dye 1978	Xanthomonas campestris pv. vitiswoodrowii (Patel & Kulkarni 1951) Dye 1978	https://ncppb.fera.co.uk/furtherinfo/1014
NCPPB 1025	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1025
NCPPB 1043	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		country	country	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1043
NCPPB 1046	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1046
NCPPB 1048	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1048
NCPPB 1050	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans (Ashby 1929) Dowson 1943	https://ncppb.fera.co.uk/furtherinfo/1050
NCPPB 1056	v1+v2+v3	yes	yes	yes	changed	changed	changed	alternative_names	alternative_names	alternative_names	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1056
NCPPB 1058	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1058
NCPPB 1059	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	https://ncppb.fera.co.uk/furtherinfo/1059
NCPPB 1060	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1060
NCPPB 1061	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978	https://ncppb.fera.co.uk/furtherinfo/1061
NCPPB 1062	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		current_name; alternative_names	current_name; alternative_names	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas euvesicatoria Jones et al. 2006	https://ncppb.fera.co.uk/furtherinfo/1062
NCPPB 1063	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1063
NCPPB 1067	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1067
NCPPB 1068	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1068
NCPPB 1117	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1117
NCPPB 1124	v1+v2+v3	yes	yes	yes	changed	changed	changed	name_as_received	alternative_names	name_as_received; alternative_names	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	https://ncppb.fera.co.uk/furtherinfo/1124
NCPPB 1128	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1128
NCPPB 1129	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1129
NCPPB 1131	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1131
NCPPB 1132	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1132
NCPPB 1135	v1+v2+v3	yes	yes	yes	changed	changed	changed	name_as_received	alternative_names	name_as_received; alternative_names	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	https://ncppb.fera.co.uk/furtherinfo/1135
NCPPB 1136	v1+v2+v3	yes	yes	yes	changed	changed	changed	name_as_received	alternative_names	name_as_received; alternative_names	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	https://ncppb.fera.co.uk/furtherinfo/1136
NCPPB 1138	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1138
NCPPB 1141	v1+v2+v3	yes	yes	yes	changed	changed	changed	name_as_received	alternative_names	name_as_received; alternative_names	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	https://ncppb.fera.co.uk/furtherinfo/1141
NCPPB 1143	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1143
NCPPB 1144	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1144
NCPPB 1145	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1145
NCPPB 1146	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1146
NCPPB 1147	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1147
NCPPB 1148	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. martyniicola (Moniz & Patel 1958) Vauterin et al. 1995	Xanthomonas axonopodis pv. martyniicola (Moniz & Patel 1958) Vauterin et al. 1995	Xanthomonas axonopodis pv. martyniicola (Moniz & Patel 1958) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1148
NCPPB 1149	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. vitiscarnosae (Moniz and Patel 1958) Dye 1978	Xanthomonas campestris pv. vitiscarnosae (Moniz and Patel 1958) Dye 1978	Xanthomonas campestris pv. vitiscarnosae (Moniz and Patel 1958) Dye 1978	https://ncppb.fera.co.uk/furtherinfo/1149
NCPPB 1150	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	https://ncppb.fera.co.uk/furtherinfo/1150
NCPPB 1151	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	https://ncppb.fera.co.uk/furtherinfo/1151
NCPPB 1152	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	https://ncppb.fera.co.uk/furtherinfo/1152
NCPPB 1153	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	https://ncppb.fera.co.uk/furtherinfo/1153
NCPPB 1154	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	https://ncppb.fera.co.uk/furtherinfo/1154
NCPPB 1155	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas dyei pv. laureliae (Dye 1963) Young et al. 2010	Xanthomonas dyei pv. laureliae (Dye 1963) Young et al. 2010	Xanthomonas dyei pv. laureliae (Dye 1963) Young et al. 2010	https://ncppb.fera.co.uk/furtherinfo/1155
NCPPB 1158	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1158
NCPPB 1159	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1159
NCPPB 1160	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1160
NCPPB 1161	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1161
NCPPB 1235	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1235
NCPPB 1241	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1241
NCPPB 1244	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans (Ashby 1929) Dowson 1943	https://ncppb.fera.co.uk/furtherinfo/1244
NCPPB 1324	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1324
NCPPB 1325	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	https://ncppb.fera.co.uk/furtherinfo/1325
NCPPB 1326	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	https://ncppb.fera.co.uk/furtherinfo/1326
NCPPB 1332	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1332
NCPPB 1334	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023	https://ncppb.fera.co.uk/furtherinfo/1334
NCPPB 1336	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1336
NCPPB 1337	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1337
NCPPB 1381	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	https://ncppb.fera.co.uk/furtherinfo/1381
NCPPB 1393	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1393
NCPPB 1394	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas vasicola Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1394
NCPPB 1395	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas vasicola Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1395
NCPPB 1396	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas vasicola Vauterin et al. 1995	Xanthomonas vasicola Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1396
NCPPB 1402	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1402
NCPPB 1420	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1420
NCPPB 1421	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1421
NCPPB 1422	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1422
NCPPB 1423	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1423
NCPPB 1426	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1426
NCPPB 1431	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1431
NCPPB 1433	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1433
NCPPB 1438	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas euvesicatoria Vauterin et al. 1995 (Invalid name)	Xanthomonas euvesicatoria Vauterin et al. 1995 (Invalid name)	Xanthomonas euvesicatoria Vauterin et al. 1995 (Invalid name)	https://ncppb.fera.co.uk/furtherinfo/1438
NCPPB 1439	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1439
NCPPB 1447	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/1447
NCPPB 1451	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. vitistrifoliae (Padhya et al. 1965) Dye 1978	Xanthomonas campestris pv. vitistrifoliae (Padhya et al. 1965) Dye 1978	Xanthomonas campestris pv. vitistrifoliae (Padhya et al. 1965) Dye 1978	https://ncppb.fera.co.uk/furtherinfo/1451
NCPPB 1452	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/1452
