ncppb_number	presence_pattern	v1_present	v2_present	v3_present	v1_v2_status	v2_v3_status	v1_v3_status	v1_v2_changed_fields	v2_v3_changed_fields	v1_v3_changed_fields	v1_current_name	v2_current_name	v3_current_name	latest_catalogue_url
NCPPB 2864	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		current_name; name_as_received; alternative_names	current_name; name_as_received; alternative_names	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas arboricola Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/2864
NCPPB 2865	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		current_name; name_as_received; alternative_names	current_name; name_as_received; alternative_names	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas arboricola Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/2865
NCPPB 2866	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		current_name; name_as_received; alternative_names	current_name; name_as_received; alternative_names; notes	Xanthomonas sp. Dowson 1939	Xanthomonas sp. Dowson 1939	Xanthomonas arboricola Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/2866
NCPPB 2876	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas campestris pv. cannabis Severin 1978	https://ncppb.fera.co.uk/furtherinfo/2876
NCPPB 2877	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		current_name; alternative_names	current_name; alternative_names; type_strain_of_species; pathotype_strain; notes	Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas cannabis (ex Severin 1978) McKnight et al. 2026	https://ncppb.fera.co.uk/furtherinfo/2877
NCPPB 2879	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas campestris pv. cannabis Severin 1978	https://ncppb.fera.co.uk/furtherinfo/2879
NCPPB 2885	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/2885
NCPPB 2894	v1+v2+v3	yes	yes	yes	unchanged	changed	changed		alternative_names	alternative_names	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	https://ncppb.fera.co.uk/furtherinfo/2894
NCPPB 2896	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/2896
NCPPB 2898	v1+v2+v3	yes	yes	yes	unchanged	unchanged	unchanged				Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	https://ncppb.fera.co.uk/furtherinfo/2898
