ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 1447	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	Romania	Juglans regia	1963	No	No			https://ncppb.fera.co.uk/furtherinfo/1447	5
NCPPB 1451	Xanthomonas campestris pv. vitistrifoliae (Padhya et al. 1965) Dye 1978			India	Vitis trifolia	1963	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1451	5
NCPPB 1452	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.	X. triumfettae	Xanthomonas campestris pv. thirumalacharii (Padhya & Patel 1964) Dye 1978	India	Triumfetta pilosa	1963	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1452	5
NCPPB 1453	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023		Xanthomonas campestris pv. spermacoces (Srinivasan & Patel 1956) Dye 1978	India	Spermacoce hispida	1963	No	No			https://ncppb.fera.co.uk/furtherinfo/1453	5
NCPPB 1454	Xanthomonas euvesicatoria pv. tribuli (Srinivasan and Patel 1956) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. tribuli (Srinivasan and Patel 1956) Dye 1978	India	Tribulus terrestris	1963	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1454	5
NCPPB 1455	Xanthomonas campestris pv. lantanae (Srinivasan & Patel 1957) Dye 1978			India	Lantana camara var. aculeata	1963	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1455	5
NCPPB 1457	Xanthomonas euvesicatoria pv. coriandri (Srinivasan et al. 1961) Harrison et al. 2023		Xanthomonas campestris pv. coriandri (Srinivasan et al. 1961) Dye 1978	India	Coriandrum sativum	1963	No	No			https://ncppb.fera.co.uk/furtherinfo/1457	5
NCPPB 1469	Xanthomonas fragariae Kennedy and King 1962	Xanthomonas fragariae Kennedy and King 1962		USA	Fragaria chiloensis var. ananassa	1963	Yes	No	WGS (NCPPB March 2024) indicates this X. fragariae strain is in a phylogenetic group that does not match any other X. fragariae strains in the NCPPB.		https://ncppb.fera.co.uk/furtherinfo/1469	5
NCPPB 1471	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	Hong Kong	Citrus paradisi	1963	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/1471	5
NCPPB 1472	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979, Xanthomonas axonopodis pv. citri (Hasse 1915) Vauterin et al. 1995, Xanthomonas citri subsp. citri (Hasse 1915) Gabriel et al. 1989	Hong Kong	Citrus grandis	1963	No	No	Type A(Asiatic Canker)		https://ncppb.fera.co.uk/furtherinfo/1472	5
NCPPB 1473	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas ricini (Yoshi & T akimoto 1928) Dowson 1939	Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978	Zimbabwe	Ricinus communis.	1963	No	No	White strain		https://ncppb.fera.co.uk/furtherinfo/1473	6
NCPPB 1475	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	Xanthomonas phaseoli f.sp. cassiae	Xanthomonas campestris pv. cassiae (Kulkarni et al. 1951) Dye 1978	India	Cassia tora	1963	No	No			https://ncppb.fera.co.uk/furtherinfo/1475	6
NCPPB 1482	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Australia	Gossypium sp	1963	No	No	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/1482	6
NCPPB 1495	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007	UK	Phaseolus vulgaris (seed).	1963	No	No	Produces brown pigment, gyrB 100% match to NCPPB 381		https://ncppb.fera.co.uk/furtherinfo/1495	6
NCPPB 1560	Xanthomonas dyei Young et al. 2010		Xanthomonas campestris	UK	Lobelia erinus	1964	No	No	Partial gene sequencing of gyrB (Parkinson 2009) places this organism in a clade with Xanthomonas dyei strains. Pathovar unspecified.		https://ncppb.fera.co.uk/furtherinfo/1560	6
NCPPB 1562	Pantoea stewartii subsp. indologenes Mergaert et al. 1993	Xanthomonas annamalaiensis (cotype).	Erwinia herbicola (Lohnis 1911 ) Dye 1964	India	Pennisetum glaucum	1963	No	No			https://ncppb.fera.co.uk/furtherinfo/1562	6
NCPPB 1568	Xanthomonas sp. Dowson 1939		Xanthomonas jasminii Rangaswami & Eswaran 1961	India	Jasminium sambac	1963	No	No	Xanthomonas sp. (NCPPB).Illegitimate name.		https://ncppb.fera.co.uk/furtherinfo/1568	6
NCPPB 1585	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	X. oryzae Ishyama 1922	Xanthomonas campestris pv. oryzicola (Fang et al. 1957) Dye 1978	Malaysia	Oryza sativa	1964	No	Yes	Causes leaf streak of rice (Bradbury pers. Comm.).		https://ncppb.fera.co.uk/furtherinfo/1585	6
NCPPB 1593	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. argemones (Srinivasan et al. 1961) Dye 1978	India	Argemone mexicana	1964	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1593	6
NCPPB 1594	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Vauterin et al. 1995	Xanthomonas nakataecorchorii Padhya & Patel 1963	Xanthomonas axonopodis pv. nakataecorchorii (Padhya & Patel 1963) Dye 1978	India	Corchorus acutangulus	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1594	6
NCPPB 1595	Xanthomonas euvesicatoria pv. physalidis (Srinivasan et al. 1962) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. physalidis (Srinivasan et al. 1962) Dye 1978	India	Physalis minima	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1595	6
NCPPB 1596	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023		Xanthomonas campestris pv. spermacoces (Srinivasan & Patel 1956) Dye 1978	India	Spermacoce hispida.	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1596	6
NCPPB 1607	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978	Australia	Prunus persica	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1607	6
NCPPB 1610	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	UK	Pelargonium hortorum	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1610	6
NCPPB 1612	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023		Xanthomonas campestris pv. blepharidis (Srinivasan & Patel 1956) Dye 1978	India	Boerhaavia repens	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1612	6
NCPPB 1615	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	UK	Pelargonium hortorum	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1615	6
NCPPB 1616	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	Xanthomonas campestris pv. vesicatoria (Doidge 1920) Dye 1978	Zambia	Solanum lycopersicum	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1616	6
NCPPB 1622	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas hyacinthi	Xanthomonas campestris pv. hyacinthi (Wakker 1883) Dye 1978	UK	Hyacinthus orientalis	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1622	6
NCPPB 1628	Xanthomonas euvesicatoria pv. alangii (Padhya & Patel 1962) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. alangii (Padhya & Patel 1962) Dye 1978	India	Alangium lamarckii	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1628	6
NCPPB 1629	Xanthomonas axonopodis pv. bauhiniae (Padhya et al. 1965) Vauterin et al. 1995	Xanthomonas bauhiniae Padhya et al. 1965	Xanthomonas campestris pv. bauhiniae (Padhya et al. 1965) Dye 1978	India	Bauhinia racemosa	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1629	6
NCPPB 1630	Xanthomonas arboricola pv. celebensis (Gaumann 1923) Vauterin et al. 1995	Xanthomonas celebensis	Xanthomonas campestris pv. celebensis (Gaumann 1923) Dye 1978	New Zealand	Musa sp.	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1630	6
NCPPB 1632	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	X. oryzicola Fang et al. 1957	Xanthomonas campestris pv. oryzicola (Fang et al. 1957) Dye 1978			1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1632	6
NCPPB 1633	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	X. sinensis	Xanthomonas campestris pv. vignicola (Burkholder 1944) Dye 1978, Xanthomonas axonopodis pv. vignicola (Burkholder 1944) Vauterin et al.1995	USA		1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1633	6
NCPPB 1638	Xanthomonas cucurbitae Dowson 1939		Xanthomonas campestris	Uganda	Cucurbita pepo var. melopepo	1964	No	No	Partial gene sequencing of gyrB is identical to X. cucurbitae (Parkinson et al. 2009). Fatty acid profile typical of Xanthomonas.		https://ncppb.fera.co.uk/furtherinfo/1638	6
NCPPB 1645	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		Kenya	Brassica oleracea	1964	No	No	ex Kale; Race 1 (Vicente et al. 2001)		https://ncppb.fera.co.uk/furtherinfo/1645	6
NCPPB 1646	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Australia	Phaseolus vulgaris.	1964	No	No	gyrB 100% match with NCPPB 3035		https://ncppb.fera.co.uk/furtherinfo/1646	6
NCPPB 1648	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		Tonga	Brassica oleracea var. capitata	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1648	6
NCPPB 1654	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas fuscans subsp. fuscans Schaad et al. 2007	South Africa	Phaseolus vulgaris	1964	No	No	Produces brown pigment, gyrB 100% match to NCPPB 381		https://ncppb.fera.co.uk/furtherinfo/1654	6
NCPPB 1659	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	UK	Juglans regia	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1659	6
NCPPB 1668	Xanthomonas hortorum pv. cynarae Morinière et al. (2020)	Xanthomonas sp.	Xanthomonas cynarae Trébaol et al. 2000		Cynara scolymus	1964	No	No	Fatty acid profile typical of Xanthomonas. Close to X.hortorum pv.hederae		https://ncppb.fera.co.uk/furtherinfo/1668	6
NCPPB 1671	Xanthomonas citri pv. sesbaniae (Patel et al. 1952) Constantin et al. 2016 comb. nov.	Xanthomonas sesbaniae Patel et al. 1952	Xanthomonas campestris pv. sesbaniae (Patel et al. 1952) Dye 1978, Xanthomonas axonopodis pv. sesbaniae (Patel et al. 1952) Vauterin et al. 1995	India	Sesbania aculeata	1964	No	No			https://ncppb.fera.co.uk/furtherinfo/1671	6
NCPPB 1672	Xanthomonas sp. Dowson 1939		Xanthomonas campestris	Tanzania	Saccharum officinarum	1964	No	No	Causes 'red stripe' symptoms. Pathovar unspecified. Fatty acid profile typical of xanthomonas = X.c.vasculorum E	Hayward, A.C. 1962. Occ. pap. Maurit. Sug. Res. Inst. No 13 (1962)	https://ncppb.fera.co.uk/furtherinfo/1672	6
NCPPB 1680	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Tanzania	Phaseolus vulgaris	1964	No	No	gyrB 100% match with NCPPB 3035		https://ncppb.fera.co.uk/furtherinfo/1680	6
NCPPB 1682	Pantoea anthophila Brady et al. 2009	Xanthomonas balsamivorum (cotype)	Erwinia herbicola (Lohnis 1911) Dye 1964	India	Impatiens balsamina	1964	No	No	WGS confirms this strain is Pantoea anthophila (NCPPB March 2025).		https://ncppb.fera.co.uk/furtherinfo/1682	6
NCPPB 1684	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas ricini (Yoshi & T akimoto 1928) Dowson 1939	Xanthomonas campestris pv. ricini (Yoshi & T akimoto 1928) Dye 1978	Kenya	Ricinus communis	1965	No	No	White strain.		https://ncppb.fera.co.uk/furtherinfo/1684	6
NCPPB 1685	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		Australia	Brassica oleracea var. capitata	1965	No	No			https://ncppb.fera.co.uk/furtherinfo/1685	6
NCPPB 1697	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Azerbaijan	Gossypium hirsutum	1965	No	No	Group 2. The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/1697	6
NCPPB 1698	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Uganda	Gossypium sp	1965	No	No	Group 2. The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/1698	6
NCPPB 1699	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Thailand	Gossypium sp.	1965	No	No	LOPAT Gp I. The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward (1964b); Hunter et al. (1968	https://ncppb.fera.co.uk/furtherinfo/1699	6
NCPPB 1700	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Uganda	Gossypium sp.	1965	No	No	Group 1. The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward (1964b); Hunter et al. (1968	https://ncppb.fera.co.uk/furtherinfo/1700	6
NCPPB 1701	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Uganda	Gossypium sp.	1965	No	No	Group 2. The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward (1964b); Hunter et al. (1968	https://ncppb.fera.co.uk/furtherinfo/1701	6
NCPPB 1711	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939		Canada	Brassica rapa	1965	No	No	Race 5 (Vicente et al. 2001)		https://ncppb.fera.co.uk/furtherinfo/1711	6
NCPPB 1712	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	Sudan	Gossypium hirsutum	1965	No	No	Group 2 Lysogenic. The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/1712	6
NCPPB 1713	Xanthomonas citri (ex Hasse 1915) Gabriel et al. 1989	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995, Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978	Zimbabwe	Dolichos lablab	1965	No	No	Partial gene sequence (gyrB) indicates that this is two bp different to NCPPB 554 X. citri pv. glycines		https://ncppb.fera.co.uk/furtherinfo/1713	6
NCPPB 1714	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	X. phaseoli var. sojense.	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995	Zambia	Glycine javanica	1965	No	No			https://ncppb.fera.co.uk/furtherinfo/1714	6
NCPPB 1715	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978			Zambia	Zinnia sp.	1965	No	No			https://ncppb.fera.co.uk/furtherinfo/1715	6
NCPPB 1717	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.	X. phaseoli f.sp. sojense	Xanthomonas campestris pv. glycines (Nakano 1919) Dye 1978, Xanthomonas axonopodis pv. glycines (Nakano 1919) Vauterin et al. 1995	Zimbabwe	Glycine max	1965	No	No			https://ncppb.fera.co.uk/furtherinfo/1717	6
NCPPB 1737	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Zimbabwe	Saccharum officinarum	1965	No	No			https://ncppb.fera.co.uk/furtherinfo/1737	6
NCPPB 1738	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans		Zimbabwe	Saccharum officinarum	1965	No	No			https://ncppb.fera.co.uk/furtherinfo/1738	6
NCPPB 1754	Xanthomonas euvesicatoria Jones et al. 2006		Xanthomonas campestris	India	Celsia coramandeliana	1965	No	No	Whole genome sequencing (NCPPB July 2025) indicates this organism is likely to be a pathovar of X. euvesicatoria.		https://ncppb.fera.co.uk/furtherinfo/1754	6
NCPPB 1755	Xanthomonas euvesicatoria pv. ionidii (Padhya & Patel 1963) Harrison et al. 2023		Xanthomonas campestris pv. ionidii (Padhya & Patel 1963) Dye 1978	India	Ionidium sufruticosum	1965	No	No			https://ncppb.fera.co.uk/furtherinfo/1755	7
NCPPB 1756	Xanthomonas euvesicatoria pv. physalidis (Srinivasan et al. 1962) Constantin et al. 2016 comb. nov.		Xanthomonas campestris pv. physalidis (Srinivasan et al. 1962) Dye 1978	India	Physalis minima	1965	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1756	7
NCPPB 1757	Xanthomonas euvesicatoria pv. blepharidis (Srinivasan & Patel 1956) Harrison et al. 2023		Xanthomonas campestris pv. blepharidis (Srinivasan & Patel 1956) Dye 1978	India	Blepharis boarhaavifolia	1965	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1757	7
NCPPB 1758	Xanthomonas euvesicatoria pv. coriandri (Srinivasan et al. 1961) Harrison et al. 2023		Xanthomonas campestris pv. coriandri (Srinivasan et al. 1961) Dye 1978	India	Coriandrum sativum	1965	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1758	7
NCPPB 1759	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	X. feroniae.		India	Feronia elephantacum	1965	No	No	Ngoc et al. (2010) place this strain in X. citri		https://ncppb.fera.co.uk/furtherinfo/1759	7
NCPPB 1760	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023		Xanthomonas campestris pv. spermacoces (Srinivasan & Patel 1956) Dye 1978	India	Spermacoce hispida	1965	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1760	7
NCPPB 1765	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas pelargonii	Xanthomonas campestris pv. pelargonii (Brown 1923) Dye 1978	UK	Pelargonium hortorum	1965	No	No			https://ncppb.fera.co.uk/furtherinfo/1765	7
NCPPB 1774	Xanthomonas sp. Dowson 1939			UK	Root surface of Solanum tuberosum.	1964	No	No	Associated with plant material; not known to be pathogenic.Not a Xanthomonad. Re: Phylogenetic structure of Xanthomonas determined by comparison of gyrB sequences. Int.J.of Syst. and evol. Microbiology (2009),59,264-274.		https://ncppb.fera.co.uk/furtherinfo/1774	7
NCPPB 1785	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978, Xanthomonas axonopodis pv. malvacearum (Smith 1901) Vauterin et al. 1995, Xanthomonas citri subsp. malvacearum (Smith 1901) Schaad et al. 2007	India	Gossypium hirsutum	1966	No	No	The group classification of Hayward (1964b) and the race classification of Hunter et al. (1968) is used.	Hayward, A.C. 1964. J. Gen. Microbiol. 35: 287; Hunter, R.E., Brinkerhoff, L.A., Bird, L.S. 1968. P	https://ncppb.fera.co.uk/furtherinfo/1785	7
NCPPB 1786	Xanthomonas euvesicatoria pv. coracanae (Desai et al. 1965) Constantin et al. 2016 comb. nov.	Xanthomonas coracanae Desai et al. 1965	Xanthomonas campestris pv. coracanae (Desai et al. 1965) Dye 1978, Xanthomonas axonopodis pv. coracanae (Desai et al. 1965) Vauterin et al. 1995	India	Eleusine coracana	1966	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1786	7
NCPPB 1787	Xanthomonas euvesicatoria pv. vernoniae (Patel et al. 1968) Harrison et al. 2023		Xanthomonas campestris pv. vernoniae (Patel et al. 1968) Dye 1978	India	Vernonia cinerea (Cyanthillium cinereum)	1966	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1787	7
NCPPB 1811	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978, Xanthomonas axonopodis pv. phaseoli (Smith 1897) Vauterin et al.1995	Romania	Phaseolus vulgaris	1966	No	No	gyrB 100% match with NCPPB 3035		https://ncppb.fera.co.uk/furtherinfo/1811	7
NCPPB 1821	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	X. phaseoli f. sp. alfalfae.	Xanthomonas campestris pv. alfalfae (Riker et al. 1935) Dye 1978, Xanthomonas axonopodis pv. alfalfae (Riker et al. 1935) Vauterin et al. 1995, Xanthomonas alfalfae subsp. alfalfae (ex Riker et al. 1935) Schaad et al. 2007	Japan	Medicago sativa	1966	No	No			https://ncppb.fera.co.uk/furtherinfo/1821	7
NCPPB 1822	Xanthomonas fragariae Kennedy and King 1962	Xanthomonas fragariae Kennedy and King 1962		USA	Fragaria chiloensis var. ananassa	1966	No	No	WGS (NCPPB March 2024) indicates this X. fragariae strain is in the same phylogenetic group as NCPPB 4055, NCPPB 3743, NCPPB 3028, NCPPB 2949 and NCPPB 2473..		https://ncppb.fera.co.uk/furtherinfo/1822	7
NCPPB 1826	Xanthomonas sp. Dowson 1939		Xanthomonas campestris	UK	Prunus domestica	1966	No	No	Partial gene sequencing of gyrB (Parkinson et al. 2009) places this strain in Xanthomonas arboricola. Not virulent on plum fruitlets (Jones pers. comm.). Pathovar unspecified. Fatty acid profile typical of Xanthomonas but close to X. citri pv. glycines		https://ncppb.fera.co.uk/furtherinfo/1826	7
NCPPB 1827	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	Xanthomonas phaseoli f.sp.rhynchosiae Sabet et al. 1969	Xanthomonas campestris pv. rhynchosiae (Sabet et al. 1969) Dye 1978, Xanthomonas axonopodis pv. rhynchosiae (Sabet et al. 1969) Vauterin et al.1995	Sudan	Rhynchosia memnonia	1966	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1827	7
NCPPB 1828	Xanthomonas euvesicatoria pv. euphorbiae (Sabet et al.1969) Harrison et al. 2023		Xanthomonas campestris pv. euphorbiae (Sabet et al.1969) Dye 1978	Sudan	Euphorbia acalyphoides	1966	No	Yes			https://ncppb.fera.co.uk/furtherinfo/1828	7
