ncppb_number	current_name	name_as_received	alternative_names	country	host	year_added	type_strain_of_species	pathotype_strain	notes	reference	ncppb_catalogue_url	source_page
NCPPB 2898	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas corylina	Xanthomonas campestris pv. corylina (Miller et al. 1940) Dye 1978	UK	Corylus avellana	1976	No	No			https://ncppb.fera.co.uk/furtherinfo/2898	10
NCPPB 2904	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens Jones et al. 1917	Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978	UK	Lolium multiflorum	1976	No	No			https://ncppb.fera.co.uk/furtherinfo/2904	10
NCPPB 2910	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995	Nigeria	Manihot esculenta	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2910	10
NCPPB 2914	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	Xanthomonas phaseoli f.sp.rhynchosiae Sabet et al. 1969	Xanthomonas campestris pv. rhynchosiae (Sabet et al. 1969) Dye 1978, Xanthomonas axonopodis pv. rhynchosiae (Sabet et al. 1969) Vauterin et al.1995	Barbados	Rhynchosiae phaseoloides	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2914	10
NCPPB 2918	Xanthomonas sp. Dowson 1939		Xanthomonas campestris	Malawi	Crambe sp.	1977	No	No	Pathovar unspecified. Fatty acid profile typical of xanthomonas. No good match.		https://ncppb.fera.co.uk/furtherinfo/2918	10
NCPPB 2919	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946	Xanthomonas campestris pv. manihotis (Berthet & Bondar 1915) Dye 1978, Xanthomonas axonopodis pv. manihotis (Bondar 1912) Vauterin et al. 1995	Zaire	Manihot esculenta	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2919	11
NCPPB 2920	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas translucens Jones et al. 1917	Xanthomonas campestris pv. translucens (Jones et al. 1917) Dye 1978	Mexico	Triticum durum x Secale cereale.	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2920	11
NCPPB 2921	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	Xanthomonas oryzicola Fang et al. 1957	Xanthomonas campestris pv. oryzicola (Fang et al. 1957) Dye 1978	Malaysia	Oryza sativa	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2921	11
NCPPB 2922	Xanthomonas sp. Dowson 1939	Xanthomonas sp.		Rhodesia	Matthiola incana, stock	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2922	11
NCPPB 2925	Xanthomonas sp. Dowson 1939		Xanthomonas campestris	Denmark	Oryza sativa	1977	No	No	Pathovar unspecified. Fatty acid profile not typical of xanthomonas. No match. Probably not a Xanthomonad. Re: Phylogenetic structure of Xanthomonas determined by comparison of gyrB sequences. Int.J.of Syst. and evol. Microbiology (2009),59,264-274. Possibly a Sphingomonas.		https://ncppb.fera.co.uk/furtherinfo/2925	11
NCPPB 2927	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	Xanthomonas campestris pv. juglandis (Pierce 1901) Dye 1978	Iran	Juglans regia	1977	No	No	Produces fluorescent pigment.		https://ncppb.fera.co.uk/furtherinfo/2927	11
NCPPB 2928	Xanthomonas campestris pv. azadirachtae (Desai et al.1966) Dye 1978			India	Azadirachta indica	1977	No	No			https://ncppb.fera.co.uk/furtherinfo/2928	11
NCPPB 2930	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	Xanthomonas holcicola Elliott 1930	Xanthomonas campestris pv. holcicola (Elliott 1930) Dye 1978	Solomon Isles	Sorghum vulgare	1977	No	No	Does not react with Xvh specific PCR primers - Fatty Acid Profiling indicates this is probably a Sphingomonas sp.		https://ncppb.fera.co.uk/furtherinfo/2930	11
