ncppb_number	ncppb_current_name	confirmed_biosample_accessions	provisional_biosample_accessions	preferred_resource_type	preferred_biosample_accession	preferred_sequence_accessions	preferred_sequence_scope	preferred_assembly_level	sequence_bioproject_accessions	phylogeny_readiness	download_tool	download_command	qc_required	identity_review_required	taxonomy_review_required	selection_block_reason	selection_reason
NCPPB 2835	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2836	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2837	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2838	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2839	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2840	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2856	Xanthomonas sp. Dowson 1939	SAMN42161508		assembly	SAMN42161508	GCF_056675635.1	whole_genome_assembly	Contig	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_056675635.1 --include genome --filename NCPPB_2856_GCF_056675635.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2857	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36346974		assembly	SAMN36346974	GCA_035026865.1	whole_genome_assembly	Contig	PRJNA988133	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_035026865.1 --include genome --filename NCPPB_2857_GCA_035026865.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2859	Stenotrophomonas sp.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2864	Xanthomonas sp. Dowson 1939	SAMN42161509		assembly	SAMN42161509	GCF_056675615.1	whole_genome_assembly	Contig	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_056675615.1 --include genome --filename NCPPB_2864_GCF_056675615.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2865	Xanthomonas sp. Dowson 1939	SAMN42161510		assembly	SAMN42161510	GCF_041475785.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041475785.1 --include genome --filename NCPPB_2865_GCF_041475785.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2866	Xanthomonas sp. Dowson 1939	SAMN42161511		assembly	SAMN42161511	GCF_041475745.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041475745.1 --include genome --filename NCPPB_2866_GCF_041475745.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2876	Xanthomonas campestris pv. cannabis Severin 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2877	Xanthomonas campestris pv. cannabis Severin 1978	SAMN03164131		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 2879	Xanthomonas campestris pv. cannabis Severin 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2885	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2894	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2896	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2898	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2904	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2910	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2914	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	SAMN42180190		assembly	SAMN42180190	GCF_053571525.1	whole_genome_assembly	Contig	PRJNA1130015	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053571525.1 --include genome --filename NCPPB_2914_GCF_053571525.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2918	Xanthomonas sp. Dowson 1939	SAMN57360828; SAMN22552833		assembly	SAMN22552833	GCF_020813055.1	whole_genome_assembly	Contig	PRJNA774128	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020813055.1 --include genome --filename NCPPB_2918_GCF_020813055.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2919	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2920	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2921	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2922	Xanthomonas sp. Dowson 1939	SAMN43286070; SAMN42485110		assembly	SAMN43286070	GCF_041520885.1	whole_genome_assembly	Contig	PRJNA485808	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041520885.1 --include genome --filename NCPPB_2922_GCF_041520885.1.zip	yes	no	yes	taxonomy_review_required	Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2925	Xanthomonas sp. Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2927	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2928	Xanthomonas campestris pv. azadirachtae (Desai et al.1966) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2930	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN41764005		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 2931	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2932	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	SAMN19988982		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 2933	Xanthomonas sp. Dowson 1939	SAMN42161512		assembly	SAMN42161512	GCF_056725225.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_056725225.1 --include genome --filename NCPPB_2933_GCF_056725225.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2934	Xanthomonas sp. Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2935	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2936	Xanthomonas euvesicatoria pv. argemones (Srinivasan et al. 1961) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2938	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb.nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2949	Xanthomonas fragariae Kennedy and King 1962	SAMN39942673		sra_wgs_reads	SAMN39942673	SRR27965829	whole_genome_shotgun_reads		PRJNA991941	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR27965829 && fasterq-dump SRR27965829 --split-files --outdir fastq/NCPPB_2949	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 2953	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2955	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2959	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990	SAMN05560300; SAMN43284582; SAMD00253073; SAMEA5613906		assembly	SAMN05560300	GCF_002940065.1	whole_genome_assembly	Scaffold	PRJNA338640	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_002940065.1 --include genome --filename NCPPB_2959_GCF_002940065.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2960	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2963	Xanthomonas populi subsp. populi (ex Ridé 1958) van den Mooter & Swings 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2965	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2967	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2968	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	SAMN23026081; SAMN05003920; SAMN02903176		assembly	SAMN23026081	GCF_020880415.1	whole_genome_assembly	Contig	PRJNA779265	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020880415.1 --include genome --filename NCPPB_2968_GCF_020880415.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2969	Xanthomonas albilineans (Ashby 1929) Dowson 1943	SAMN37985479; SAMN37985478; SAMN37985477; SAMN37985476; SAMN37985475; SAMN37985474; SAMN37985473; SAMN37985472; SAMN37985471; SAMN37985470; SAMN37985469; SAMN05526486		assembly	SAMN05526486	GCF_002939705.1	whole_genome_assembly	Scaffold	PRJNA338244	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_002939705.1 --include genome --filename NCPPB_2969_GCF_002939705.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2970	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	SAMN22552843		assembly	SAMN22552843	GCF_020813015.2	whole_genome_assembly	Contig	PRJNA774128	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020813015.2 --include genome --filename NCPPB_2970_GCF_020813015.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2973	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	SAMN42178454		assembly	SAMN42178454	GCF_053646635.1	whole_genome_assembly	Complete Genome	PRJNA1129911	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_053646635.1 --include genome --filename NCPPB_2973_GCF_053646635.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2977	Xanthomonas citri pv. thirumalacharii (Padhya & Patel 1964) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2978	Xanthomonas campestris pv. zantedeschiae (Joubert & Truter 1972) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2982	Xanthomonas cissicola (Takimoto 1939) Rudra and Gupta 2021			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2983	Xanthomonas campestris pv. phormiicola (Takimoto 1933) Dye 1978	SAMN22555472		assembly	SAMN22555472	GCF_020783715.1	whole_genome_assembly	Contig	PRJNA774146	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020783715.1 --include genome --filename NCPPB_2983_GCF_020783715.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2985	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	SAMEA6962649; SAMN24251549; SAMN09704270		assembly	SAMEA6962649	GCF_903978215.1	whole_genome_assembly	Complete Genome	PRJEB38812	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_903978215.1 --include genome --filename NCPPB_2985_GCF_903978215.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2986	Xanthomonas campestris pv. aberrans (Knosel 1961) Dye 1978	SAMN22552830; SAMN17385948; SAMN36368323		assembly	SAMN22552830	GCF_020813115.1	whole_genome_assembly	Contig	PRJNA774128	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_020813115.1 --include genome --filename NCPPB_2986_GCF_020813115.1.zip	yes	no	yes	taxonomy_review_required	Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 2987	Xanthomonas populi (ex Ridé 1958) van den Mooter & Swings 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 2997	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	SAMN42180198		sra_wgs_reads	SAMN42180198	SRR29655432; SRR30037605	whole_genome_shotgun_reads		PRJNA1130018	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR29655432 && fasterq-dump SRR29655432 --split-files --outdir fastq/NCPPB_2997 ; prefetch SRR30037605 && fasterq-dump SRR30037605 --split-files --outdir fastq/NCPPB_2997	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 2998	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	SAMN42180199		sra_wgs_reads	SAMN42180199	SRR29655431; SRR30037604	whole_genome_shotgun_reads		PRJNA1130018	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR29655431 && fasterq-dump SRR29655431 --split-files --outdir fastq/NCPPB_2998 ; prefetch SRR30037604 && fasterq-dump SRR30037604 --split-files --outdir fastq/NCPPB_2998	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 3002	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	SAMN40354541; SAMN02440720		assembly	SAMN40354541	GCF_040202795.2	whole_genome_assembly	Complete Genome	PRJNA991976	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_040202795.2 --include genome --filename NCPPB_3002_GCF_040202795.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 3003	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	SAMN05559875		assembly	SAMN05559875	GCF_002940645.1	whole_genome_assembly	Scaffold	PRJNA338534	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_002940645.1 --include genome --filename NCPPB_3003_GCF_002940645.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 3005	Xanthomonas marantae Zagatto & Pereira 1963	SAMN41997674		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 3020	Xanthomonas graminis pv. graminis Tambong et al. 2024			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3022	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3024	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3026	Xylophilus ampelinus (Panagopoulos 1969) Willems et al. 1987			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3027	Xylophilus ampelinus (Panagopoulos 1969) Willems et al. 1987			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3028	Xanthomonas fragariae Kennedy and King 1962	SAMN39942674		sra_wgs_reads	SAMN39942674	SRR27965828	whole_genome_shotgun_reads		PRJNA991941	raw_wgs_reads_require_assembly_and_qc	NCBI SRA Toolkit	prefetch SRR27965828 && fasterq-dump SRR27965828 --split-files --outdir fastq/NCPPB_3028	yes	no	no		No confirmed assembly; selected WGS genomic run(s) from the BioSample with the most reported bases.
NCPPB 3035	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN41997685; SAMN03142817		assembly	SAMN41997685	GCF_041228065.2	whole_genome_assembly	Complete Genome	PRJNA774146	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041228065.2 --include genome --filename NCPPB_3035_GCF_041228065.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 3040	Xanthomonas graminis pv. graminis Tambong et al. 2024			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3041	Xanthomonas graminis pv. graminis Tambong et al. 2024			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3058	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3059	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	SAMEA247356; SAMEA4156338		none						confirmed_biosample_metadata_only			not_applicable	no	yes		Confirmed strain identity is present, but no linked assembly or WGS genomic run is available.
NCPPB 3060	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3061	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3062	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3066	Xanthomonas graminis pv. graminis Tambong et al. 2024			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3078	Xanthomonas arboricola Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3079	Xanthomonas euvesicatoria pv. paulliniae (Robbs, Medieros & Kimura 1982) Harrison et al. 2023	SAMN19988983		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 3082	Xanthomonas euvesicatoria pv. paulliniae (Robbs, Medieros & Kimura 1982) Harrison et al. 2023			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3086	Xanthomonas axonopodis pv. desmodiilaxiflori (Pant & Kulkarni 1977) Vauterin et al. 1995	SAMN42278568		assembly	SAMN42278568	GCF_041475625.1	whole_genome_assembly	Complete Genome	PRJNA742925	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041475625.1 --include genome --filename NCPPB_3086_GCF_041475625.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 3092	Xanthomonas axonopodis pv. clitoriae (Pandit & Kulkarni 1979) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3110	Xanthomonas citri pv. anacardii (Ah-You et al. 2007) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3114	Xanthomonas citri pv. merremiae (Pant & Kulkarni 1976) Harrison et al. 2023	SAMN19988993		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 3119	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3125	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3135	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3136	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3140	Xanthomonas phaseoli pv. passiflorae (Pereira 1969) Harrison et al. 2023			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3155	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3156	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3161	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3162	Xanthomonas vasicola pv. holcicola (Elliott 1930) Vauterin et al. 1995	SAMN22555461		none						taxonomy_review_required_before_use			not_applicable	no	yes	taxonomy_review_required	Linked sequence exists, but taxonomy review blocks automatic downstream selection.
NCPPB 3168	Xanthomonas cucurbitae (ex Bryan 1926) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3169	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3170	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3172	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3173	Xanthomonas euvesicatoria pv. coracanae (Desai et al. 1965) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3174	Xanthomonas sp. Dowson 1939	SAMN42161513		assembly	SAMN42161513	GCF_056725205.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_056725205.1 --include genome --filename NCPPB_3174_GCF_056725205.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 3176	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3177	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3178	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3182	Xanthomonas campestris pv. amaranthicola (Patel et al. 1952) Dye 1978			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3187	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3191	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 3192	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
