ncppb_number	ncppb_current_name	confirmed_biosample_accessions	provisional_biosample_accessions	preferred_resource_type	preferred_biosample_accession	preferred_sequence_accessions	preferred_sequence_scope	preferred_assembly_level	sequence_bioproject_accessions	phylogeny_readiness	download_tool	download_command	qc_required	identity_review_required	taxonomy_review_required	selection_block_reason	selection_reason
NCPPB 1638	Xanthomonas sp. Dowson 1939	SAMN42161501		assembly	SAMN42161501	GCF_041475635.1	whole_genome_assembly	Complete Genome	PRJNA1129555	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_041475635.1 --include genome --filename NCPPB_1638_GCF_041475635.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1645	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	SAMN36368322		assembly	SAMN36368322	GCA_035023525.1	whole_genome_assembly	Contig	PRJNA988133	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCA_035023525.1 --include genome --filename NCPPB_1645_GCA_035023525.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1646	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.		SAMN03175008	none						identity_review_required_before_use			not_applicable	yes	no		Only provisional BioSample identity evidence is available; do not include in a tree before review.
NCPPB 1648	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1654	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	SAMN03142402		assembly	SAMN03142402	GCF_000775185.1	whole_genome_assembly	Contig	PRJNA264775	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000775185.1 --include genome --filename NCPPB_1654_GCF_000775185.1.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
NCPPB 1659	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1668	Xanthomonas hortorum pv. cynarae Morinière et al. (2020)			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1671	Xanthomonas citri pv. sesbaniae (Patel et al. 1952) Constantin et al. 2016 comb. nov.			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1672	Xanthomonas sp. Dowson 1939			none						no_confirmed_public_sequence			not_applicable	no	no		No confirmed Assembly or WGS SRA run is linked to this strain.
NCPPB 1680	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	SAMN03257737		assembly	SAMN03257737	GCF_000808695.2	whole_genome_assembly	Contig	PRJNA269952	assembly_available_qc_required	NCBI Datasets CLI	datasets download genome accession GCF_000808695.2 --include genome --filename NCPPB_1680_GCF_000808695.2.zip	yes	no	no		Selected the highest assembly level, then preferred RefSeq and higher contig N50.
