query_id	ncppb_number	query_track	query_tier	searched_identifier	reported_count	retrieved_uid_count	truncated	quoted_phrase_not_found_count	status	error
2b6fa3944466d469afd1	NCPPB 4716	other_references	expected_genus	NE-16	1	1	no	0	ok	
2b7e0b20264c3ae3ae1f	NCPPB 1832	ncppb_number	exact_full_identifier	NCPPB 1832	0	0	no	3	ok	
2ba6450955a9aab315e9	NCPPB 4713	other_references	expected_genus	IL-1(1)YDC	2	2	no	0	ok	
2bc5fa9e705fe6045cdc	NCPPB 3218	other_references	expected_genus	B8718	0	0	no	0	ok	
2bc63700c21b739dc042	NCPPB 2336	ncppb_number	exact_full_identifier	NCPPB 2336	0	0	no	3	ok	
2bcb694a189d664a172f	NCPPB 4391	ncppb_number	exact_full_identifier	NCPPB 4391	1	1	no	1	ok	
2c2f1af07778d07e3e7a	NCPPB 1839	other_references	expected_genus	ENA-250	0	0	no	0	ok	
2c4fc81496be8d178e9f	NCPPB 480	ncppb_number	exact_full_identifier	NCPPB 480	0	0	no	3	ok	
2c528218abd67874e836	NCPPB 4718	ncppb_number	exact_full_identifier	NCPPB 4718	0	0	no	3	ok	
2caa876d1bcc3148e8da	NCPPB 2817	ncppb_number	exact_full_identifier	NCPPB 2817	0	0	no	3	ok	
2d1ce93b88f04639831e	NCPPB 3119	ncppb_number	exact_full_identifier	NCPPB 3119	0	0	no	3	ok	
2d98b58d6b22cd40599f	NCPPB 1595	ncppb_number	exact_full_identifier	NCPPB 1595	0	0	no	3	ok	
2dc3677fc8a7e3d6b789	NCPPB 1755	other_references	expected_genus	HACC-180	0	0	no	0	ok	
2dc986457f45e62d4fdb	NCPPB 2497	other_references	expected_genus	B4539	0	0	no	0	ok	
2de6a48c05ce9a063a4d	NCPPB 1712	other_references	expected_genus	B1334	0	0	no	0	ok	
2deb1e72ebc7618449f5	NCPPB 1929	ncppb_number	exact_full_identifier	NCPPB 1929	0	0	no	3	ok	
2e07e843c5ed5454d8df	NCPPB 4434	ncppb_number	exact_full_identifier	NCPPB 4434	0	0	no	3	ok	
2e0d9fabe629bdc8f62c	NCPPB 2933	other_references	expected_genus	B6132	0	0	no	0	ok	
2e1b1b3b5fbd4f246304	NCPPB 4379	other_references	expected_genus	KY44	0	0	no	0	ok	
2e46a9310980adf2ab07	NCPPB 1829	ncppb_number	exact_full_identifier	NCPPB 1829	0	0	no	3	ok	
2e6575c3ac7da26585b3	NCPPB 4183	ncppb_number	exact_full_identifier	NCPPB 4183	0	0	no	3	ok	
2e699dc0a0d2e7f1429b	NCPPB 3646	ncppb_number	exact_full_identifier	NCPPB 3646	0	0	no	3	ok	
2e9c315ba24e93e25806	NCPPB 585	ncppb_number	exact_full_identifier	NCPPB 585	1	1	no	0	ok	
2eaa396348a2150f4d62	NCPPB 4754	ncppb_number	exact_full_identifier	NCPPB 4754	0	0	no	3	ok	
2f0ad865a502999cb50d	NCPPB 555	ncppb_number	exact_full_identifier	NCPPB 555	0	0	no	3	ok	
2f375de87d715de7d2f0	NCPPB 3776	ncppb_number	exact_full_identifier	NCPPB 3776	0	0	no	3	ok	
2f722989c7e1d52df606	NCPPB 3953	ncppb_number	exact_full_identifier	NCPPB 3953	0	0	no	3	ok	
2ffaa806e3a0fe4ee390	NCPPB 969	ncppb_number	exact_full_identifier	NCPPB 969	0	0	no	3	ok	
308d78ef14e62606129c	NCPPB 186	ncppb_number	exact_full_identifier	NCPPB 186	0	0	no	3	ok	
30a5010251a28f53a19a	NCPPB 3062	other_references	expected_genus	R704	0	0	no	0	ok	
31541f7b3b9fc9052b82	NCPPB 3799	ncppb_number	exact_full_identifier	NCPPB 3799	0	0	no	3	ok	
31c4145b7dfd52e4401d	NCPPB 917	other_references	expected_genus	B130	0	0	no	0	ok	
31ebdf3c52661e50c99e	NCPPB 1593	ncppb_number	exact_full_identifier	NCPPB 1593	0	0	no	3	ok	
31fe0449cdd6066546fc	NCPPB 3301	ncppb_number	exact_full_identifier	NCPPB 3301	0	0	no	3	ok	
32456e4a078132b1d0aa	NCPPB 3801	ncppb_number	exact_full_identifier	NCPPB 3801	0	0	no	3	ok	
326325b757ef1d357cce	NCPPB 2436	other_references	expected_genus	SBF-913	0	0	no	0	ok	
32903208f9dd9923696f	NCPPB 2898	other_references	expected_genus	A724A	0	0	no	0	ok	
32942874e5870b4d057e	NCPPB 3200	other_references	expected_genus	B8059	0	0	no	0	ok	
32a9b1502949f361e150	NCPPB 230	ncppb_number	exact_full_identifier	NCPPB 230	0	0	no	3	ok	
3306f189e9f7bb857517	NCPPB 887	other_references	expected_genus	B315	0	0	no	0	ok	
330df7bd56e6dc7afd64	NCPPB 2587	ncppb_number	exact_full_identifier	NCPPB 2587	0	0	no	3	ok	
330e65fb7c4feed8d411	NCPPB 1826	ncppb_number	exact_full_identifier	NCPPB 1826	1	1	no	1	ok	
3347194ad2b0a3649609	NCPPB 3656	ncppb_number	exact_full_identifier	NCPPB 3656	0	0	no	3	ok	
3373ef3b48e7a308642b	NCPPB 1452	ncppb_number	exact_full_identifier	NCPPB 1452	0	0	no	3	ok	
348b9227b192569beab2	NCPPB 3442	other_references	expected_genus	ENA 3123	1	1	no	0	ok	
348c8b823184a1f872a1	NCPPB 2928	other_references	expected_genus	B5643	0	0	no	0	ok	
