ncppb_number	snapshot_status	ncppb_current_name	expected_genus	scope_status	catalogue_host	catalogue_country	ncbi_biosample_match_count	ncbi_assembly_count	ncbi_sra_run_count	ncbi_bioproject_count	ncbi_sequence_resource_count	ncbi_record_match_count	ncbi_eligible_assembly_count	ncbi_eligible_sra_run_count	ncbi_eligible_sequence_resource_count	ncbi_taxonomy_blocked_resource_count	has_confirmed_ncbi_data	ncbi_data_status	sequence_availability_category	phylogeny_readiness	manual_review_required	confirmed_biosample_accessions	linked_assembly_accessions	linked_sra_run_accessions	assembly_accessions	sra_run_accessions	bioproject_accessions	taxonomy_blocked_biosample_accessions
NCPPB 571	present_in_both	Xanthomonas campestris pv. badrii (Patel et al.1950) Dye 1978	Xanthomonas	current_xanthomonas	Xanthium strumarium	India	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN14601050	GCF_012848175.1	SRR11568976	GCF_012848175.1	SRR11568976	PRJNA622823	
NCPPB 573	present_in_both	Xanthomonas axonopodis pv. cajani (Kulkarni et al. 1950) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Cajanus cajan	India	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN42284473	GCF_053614595.1	SRR29694809; SRR30037371	GCF_053614595.1	SRR29694809; SRR30037371	PRJNA1131453	
NCPPB 575	present_in_both	Xanthomonas euvesicatoria pv. clerodendri (Patel et al. 1952) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Clerodendron sp	India	1	1	1	3	2	6	0	0	0	6	yes	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_sequence_use	taxonomy_review_required_before_use	yes	SAMN19988990	GCF_019201225.1	SRR15305412				SAMN19988990
NCPPB 577	present_in_both	Xanthomonas axonopodis pv. desmodiigangetici (Patel & Moniz 1948) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Desmodium gangeticum	India	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42278567	GCF_041464215.1	SRR29692759; SRR30016544	GCF_041464215.1	SRR29692759; SRR30016544	PRJNA742925	
NCPPB 578	present_in_both	Xanthomonas euvesicatoria pv. erythrinae (Patel et al. 1952) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Erythrina indica	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 579	present_in_both	Xanthomonas euvesicatoria pv. lawsoniae (Patel et al. 1951) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Lawsonia inermis	India	1	1	1	3	2	6	0	0	0	6	yes	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_sequence_use	taxonomy_review_required_before_use	yes	SAMN19988991	GCF_019201185.1	SRR15305414				SAMN19988991
NCPPB 581	present_in_both	Xanthomonas axonopodis pv. poinsettiicola (Patel et al. 1951) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Euphorbia pulcherrima	India	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42178463	GCF_041486685.1	SRR29654624; SRR30037949	GCF_041486685.1	SRR29654624; SRR30037949	PRJNA1129913	
NCPPB 582	present_in_both	Xanthomonas citri pv. sesbaniae (Patel et al. 1952) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Sesbania aegyptiaca (Egyptian riverhemp)	Unknown	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 584	present_in_both	Xanthomonas axonopodis pv. tamarindi (Patel et al. 1951) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Tamarindus indica	India	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42278574	GCF_041466645.1	SRR29692752	GCF_041466645.1	SRR29692752	PRJNA742925	
NCPPB 585	present_in_both	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Trichodesma zeylanicum	India	1	1	1	1	2	4	0	0	0	4	yes	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_sequence_use	taxonomy_review_required_before_use	yes	SAMN19988994	GCA_019201525.1	SRR15305424				SAMN19988994
