ncppb_number	snapshot_status	ncppb_current_name	expected_genus	scope_status	catalogue_host	catalogue_country	ncbi_biosample_match_count	ncbi_assembly_count	ncbi_sra_run_count	ncbi_bioproject_count	ncbi_sequence_resource_count	ncbi_record_match_count	ncbi_eligible_assembly_count	ncbi_eligible_sra_run_count	ncbi_eligible_sequence_resource_count	ncbi_taxonomy_blocked_resource_count	has_confirmed_ncbi_data	ncbi_data_status	sequence_availability_category	phylogeny_readiness	manual_review_required	confirmed_biosample_accessions	linked_assembly_accessions	linked_sra_run_accessions	assembly_accessions	sra_run_accessions	bioproject_accessions	taxonomy_blocked_biosample_accessions
NCPPB 2436	present_in_both	Xanthomonas campestris pv. arracaciae (Pereira et al.1971) Dye 1978	Xanthomonas	current_xanthomonas	Arracacia xanthorrhiza	Brazil	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2438	present_in_both	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Mangifera indica	South Africa	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2439	present_in_both	Xanthomonas campestris pv. zinniae (Hopkins & Dowson 1949) Dye 1978	Xanthomonas	current_xanthomonas	Zinnia elegans	Australia	2	1	3	3	4	9	1	3	4	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN56511370; SAMN22555466	GCF_020783815.1	SRR22272569; SRR37629089; SRR37789906	GCF_020783815.1	SRR37629089; SRR37789906; SRR22272569	PRJNA1437458; PRJNA774146	
NCPPB 2443	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Manihot esculenta	Colombia	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2444	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Manihot esculenta	Colombia	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2446	present_in_both	Xanthomonas oryzae pv. oryzae (Ishiyama 1922) Swings et al. 1990	Xanthomonas	current_xanthomonas	Oryza sativa	Japan	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2475	present_in_both	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	Xanthomonas	current_xanthomonas	Vitis vinifera	India	2	2	0	4	2	8	0	0	0	8	yes	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_sequence_use	taxonomy_review_required_before_use	yes	SAMN26688428; SAMEA3139044	GCF_000723725.2; GCF_053538855.1					SAMEA3139044; SAMN26688428
NCPPB 2490	present_in_both	Xanthomonas campestris pv. vitiswoodrowii (Patel & Kulkarni 1951) Dye 1978	Xanthomonas	current_xanthomonas	Vitis vinifera	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2492	present_in_both	Xanthomonas euvesicatoria pv. clerodendri (Patel et al. 1952) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Clerodendron sp.	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2493	present_in_both	Sphingomonas paucimobilis (Holmes et al.1977) Yabuchi et al. 1990	Sphingomonas	reclassified_outside_xanthomonas	Cucurbita sp. (gourd)	Brunei	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2494	present_in_both	Xanthomonas axonopodis pv. cyamopsidis (Patel et al.1953) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Cyamopsis tetragonolobus	India	1	0	2	1	2	4	0	2	2	0	yes	confirmed_sequence_available	raw_reads_only	raw_wgs_reads_require_assembly_and_qc	no	SAMN42180197		SRR29655433; SRR30037606		SRR29655433; SRR30037606	PRJNA1130018	
NCPPB 2495	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium hirsutum	USSR	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2496	present_in_both	Xanthomonas euvesicatoria pv. sesami (Sabet & Dowson 1960) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Sesamum indicum	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2497	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Alternathera philoxeroides	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2498	present_in_both	Xanthomonas euvesicatoria pv. convolvuli (Nagarkoti et al.1973) Harrison et al. 2023	Xanthomonas	current_xanthomonas	Convolvulus arvensis	India	1	1	1	3	2	6	0	0	0	6	yes	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_sequence_use	taxonomy_review_required_before_use	yes	SAMN19988981	GCF_019201245.1	SRR15305411				SAMN19988981
NCPPB 2499	present_in_both	Xanthomonas citri pv. aracearum (Berniac 1974) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Xanthosoma sagittifolium	West Indies	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2503	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas	current_xanthomonas	Saccharum officinarum	Martinique	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2517	present_in_both	Xanthomonas campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	Cheiranthus cheiri	UK	1	1	1	1	2	4	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN36368330	GCA_035023345.1	SRR25205298	GCA_035023345.1	SRR25205298	PRJNA988133	
NCPPB 2550	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas			0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2567	present_in_both	Xanthomonas cucurbitae (ex Bryan 1926) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Cucumis sativus (cucumber)	USA	1	1	8	3	9	13	1	8	9	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN10290145	GCF_009883735.1	SRR10176391; SRR10176392; SRR10200225; SRR10200226; SRR10200227; SRR10200228; SRR10200229; SRR10200230	GCF_009883735.1	SRR10176392; SRR10176391; SRR10200230; SRR10200229; SRR10200228; SRR10200227; SRR10200226; SRR10200225	PRJNA498325	
NCPPB 2572	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Capsicum frutescens	USA	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2573	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Solanum lycopersicum	USA	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2574	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Capsicum frutescens	USA	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2575	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Solanum lycopersicum	USA	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2576	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Solanum lycopersicum	USA	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2586	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Brassica juncea	India	2	2	3	4	5	11	2	3	5	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42161505; SAMN22552828	GCF_020813175.1; GCF_041475775.1	SRR29644170; SRR29823156; SRR30040119	GCF_041475775.1; GCF_020813175.1	SRR29644170; SRR30040119; SRR29823156	PRJNA1129555; PRJNA774128	
NCPPB 2587	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Prunus armeniaca	South Africa	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2588	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Prunus persica	South Africa	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2592	present_in_both	Xanthomonas euvesicatoria pv. betae (Robbs et al. 1981) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Beta vulgaris (red beet)	Brazil	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2593	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Capsicum frutescens	Brazil	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2594	present_in_both	Xanthomonas euvesicatoria pv. euvesicatoria (Jones et al. 2006) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Capsicum frutescens	Brazil	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03177544	GCF_001691375.1	SRR4714149	GCF_001691375.1	SRR4714149	PRJNA267091	
NCPPB 2595	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Solanum lycopersicum	Brazil	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2597	present_in_both	Xanthomonas cucurbitae (ex Bryan 1926) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Curcurbita maxima	New Zealand	1	1	0	3	1	5	1	0	1	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN05560221	GCF_002939885.1		GCF_002939885.1		PRJNA338616	
NCPPB 2605	present_in_both	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Begonia sp.	UK (Channel Isles)	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2614	present_in_both	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	Xanthomonas	current_xanthomonas	Vitis vinifera	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2615	present_in_both	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	Xanthomonas	current_xanthomonas	Vitis vinifera	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2616	present_in_both	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	Xanthomonas	current_xanthomonas	Vitis vinifera	India	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2632	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Lolium perenne	UK	1	1	2	4	3	8	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42161506	GCF_041228075.1	SRR29644169; SRR30016876	GCF_041228075.1	SRR29644169; SRR30016876	PRJNA1085284; PRJNA1129555	
NCPPB 2649	present_in_both	Xanthomonas vasicola pv. arecae (Rao & Mohan 1970) Dye 1978. emend. Studholme et al., 2020	Xanthomonas	current_xanthomonas	Areca catechu	India	1	1	0	3	1	5	1	0	1	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN03140274	GCF_000770355.2		GCF_000770355.2		PRJNA264725	
NCPPB 2654	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Phaseolus vulgaris (navy bean)	UK	2	2	2	4	4	10	2	2	4	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42161507; SAMN35699823	GCF_030287385.1; GCF_056725245.1	SRR29644168; SRR30040118	GCF_056725245.1; GCF_030287385.1	SRR29644168; SRR30040118	PRJNA1129555; PRJNA774146	
NCPPB 2665	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Phaseolus vulgaris	Italy	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN03142403	GCF_000775195.1	SRR2052428	GCF_000775195.1	SRR2052428	PRJNA264776	
NCPPB 2695	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	Lolium multiflorum	Switzerland	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2696	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	Dactylis glomerata	Switzerland	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2697	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	Lolium multiflorum	Switzerland	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2698	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	Lolium multiflorum	Switzerland	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2699	present_in_both	Xanthomonas graminis pv. arrhenatheri Tambong et al. 2024	Xanthomonas	current_xanthomonas	Arrhenatherum elatius	Switzerland	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2700	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	Dactylis glomerata	Switzerland	2	2	0	4	2	8	2	0	2	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN03892232; SAMN18876882	GCF_001269865.1; GCF_021903375.1		GCF_001269865.1; GCF_021903375.1		PRJNA290469; PRJNA720632	
NCPPB 2701	present_in_both	Xanthomonas graminis pv. graminis Tambong et al. 2024	Xanthomonas	current_xanthomonas	Festuca pratensis	Switzerland	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2817	present_in_both	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas	current_xanthomonas	Hordeum vulgare	Canada	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2819	present_in_both	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas	current_xanthomonas	Bromus inermis	Canada	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2820	present_in_both	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Hordeum vulgare	Canada	0	0	0	0	0	0	0	0	0	0	no	provisional_match_requires_review	ambiguous_needs_review	identity_review_required_before_use	yes							
NCPPB 2821	present_in_both	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Triticum durum	Canada	1	1	0	3	1	5	1	0	1	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN18753780	GCF_021903275.1		GCF_021903275.1		PRJNA720632	
NCPPB 2822	present_in_both	Xanthomonas translucens pv. secalis (Reddy et al. 1924) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Secale cereale	Canada	1	1	0	3	1	5	1	0	1	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN18753387	GCF_021903295.1		GCF_021903295.1		PRJNA720632	
NCPPB 2825	present_in_both	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Triticum sp. x Secale sp. (triticale)	Canada	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2826	present_in_both	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Triticum sp. x Secale sp. (triticale)	Canada	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2827	present_in_both	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas	current_xanthomonas	Agropyron repens	Canada	0	0	0	0	0	0	0	0	0	0	no	provisional_match_requires_review	ambiguous_needs_review	identity_review_required_before_use	yes							
NCPPB 2828	present_in_both	Xanthomonas translucens pv. undulosa (Smith et al. 1919) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Triticum aestivum	Canada	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2829	present_in_both	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Hordeum vulgare	Canada	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2831	present_in_both	Xanthomonas cerealis pv. cerealis Tambong et al. 2024	Xanthomonas	current_xanthomonas	Triticum durum.	Canada	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2832	present_in_both	Xanthomonas citri pv. aracearum (Berniac 1974) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Xanthosoma sagittifolium	Guadeloupe	1	0	1	1	1	3	0	1	1	0	yes	confirmed_sequence_available	raw_reads_only	raw_wgs_reads_require_assembly_and_qc	no	SAMN42278575		SRR29692760		SRR29692760	PRJNA742925	
NCPPB 2834	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium hirsutum	Tanzania	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2835	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium hirsutum	Tanzania	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2836	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas		Tanzania	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2837	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium hirsutum	Tanzania	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2838	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium hirsutum	Tanzania	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2839	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium hirsutum	Tanzania	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2840	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Gossypium hirsutum	Tanzania	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2856	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Chrysanthemum morifolium	Netherlands	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN42161508	GCF_056675635.1	SRR29644167	GCF_056675635.1	SRR29644167	PRJNA1129555	
NCPPB 2857	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas	current_xanthomonas	Brassica napus	UK	1	1	1	1	2	4	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN36346974	GCA_035026865.1	SRR25183327	GCA_035026865.1	SRR25183327	PRJNA988133	
NCPPB 2859	present_in_both	Stenotrophomonas sp.	Stenotrophomonas	reclassified_outside_xanthomonas	Corylus maxima	Turkey	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2864	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Chrysanthemum morifolium	Netherlands	1	1	1	3	2	6	1	1	2	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN42161509	GCF_056675615.1	SRR29644166	GCF_056675615.1	SRR29644166	PRJNA1129555	
NCPPB 2865	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Chrysanthemum morifolium	Netherlands	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42161510	GCF_041475785.1	SRR29644165; SRR30040143	GCF_041475785.1	SRR29644165; SRR30040143	PRJNA1129555	
NCPPB 2866	present_in_both	Xanthomonas sp. Dowson 1939	Xanthomonas	current_xanthomonas	Chrysanthemum morifolium	Netherlands	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	complete_genome_available	assembly_available_qc_required	no	SAMN42161511	GCF_041475745.1	SRR29644164; SRR30040142	GCF_041475745.1	SRR29644164; SRR30040142	PRJNA1129555	
NCPPB 2876	present_in_both	Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas	current_xanthomonas	Cannabis sativa	Romania	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2877	present_in_both	Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas	current_xanthomonas	Cannabis sativa	Romania	1	1	1	3	2	6	0	0	0	6	yes	linked_sequence_blocked_pending_taxonomy_review	taxonomy_review_required_before_sequence_use	taxonomy_review_required_before_use	yes	SAMN03164131	GCF_000802365.1	SRR4718189				SAMN03164131
NCPPB 2879	present_in_both	Xanthomonas campestris pv. cannabis Severin 1978	Xanthomonas	current_xanthomonas	Cannabis sativa	Romania	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2885	present_in_both	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Mangifera indica	Reunion	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2894	present_in_both	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Medicago sativa	Australia	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2896	present_in_both	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Corylus avellana	UK	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2898	present_in_both	Xanthomonas arboricola pv. corylina (Miller et al. 1940) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Corylus avellana	UK	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2904	present_in_both	Xanthomonas translucens pv. translucens (Jones et al. 1917) Vauterin et al. 1995	Xanthomonas	current_xanthomonas	Lolium multiflorum	UK	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2910	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas	current_xanthomonas	Manihot esculenta	Nigeria	0	0	0	0	0	0	0	0	0	0	no	no_confirmed_ncbi_match	no_confirmed_public_data	no_confirmed_public_sequence	no							
NCPPB 2914	present_in_both	Xanthomonas citri pv. rhynchosiae (Sabet et al. 1969) Constantin et al. 2016 comb. nov	Xanthomonas	current_xanthomonas	Rhynchosiae phaseoloides	Barbados	1	1	2	3	3	7	1	2	3	0	yes	confirmed_sequence_available	draft_assembly_available	assembly_available_qc_required	no	SAMN42180190	GCF_053571525.1	SRR29655369; SRR30037967	GCF_053571525.1	SRR29655369; SRR30037967	PRJNA1130015	
