ncppb_number	biosample_accession	ncbi_uid	discovery_tracks	discovery_tiers	organism	taxid	matched_identifier	matched_identifier_type	identifier_strength	matched_field	evidence_class	identity_match_status	taxonomy_status	identity_review_required	taxonomy_review_required	manual_review_required	decision	review_reason	conflicting_ncppb_numbers	source_url
NCPPB 670	SAMN03097370	3097370	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. fuscans	366649	NCPPB 670	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN03097370
NCPPB 2877	SAMN03164131	3164131	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas cannabis pv. cannabis	1885894	NCPPB 2877	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	no	yes	yes	accept	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN03164131
NCPPB 2918	SAMN57360828	57360828	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	NCPPB 2918	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360828
NCPPB 3883	SAMN57360827	57360827	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	NCPPB 3883	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360827
NCPPB 3884	SAMN57360826	57360826	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris	339	NCPPB 3884	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	compatible_synonym	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360826
NCPPB 942	SAMN57360824	57360824	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. barbareae	461407	NCPPB 942	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN57360824
NCPPB 3442	SAMN42161516	42161516	ncppb_number; other_references	expected_genus:Xanthomonas; exact_full_identifier; expected_genus	Xanthomonas sp. NCPPB 3442	3698924	NCPPB 3442	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161516
NCPPB 3441	SAMN42161515	42161515	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3441	3698925	NCPPB 3441	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161515
NCPPB 3218	SAMN42161514	42161514	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3218	487553	NCPPB 3218	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161514
NCPPB 3174	SAMN42161513	42161513	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3174	487551	NCPPB 3174	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161513
NCPPB 2933	SAMN42161512	42161512	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2933	487548	NCPPB 2933	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161512
NCPPB 2654	SAMN42161507	42161507	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2654	487541	NCPPB 2654	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161507
NCPPB 2250	SAMN42161504	42161504	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2250	487538	NCPPB 2250	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161504
NCPPB 1826	SAMN42161503	42161503	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 1826	487537	NCPPB 1826	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161503
NCPPB 901	SAMN42161496	42161496	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 901	487572	NCPPB 901	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161496
NCPPB 4466	SAMN42161493	42161493	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 4466	3698923	NCPPB 4466	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161493
NCPPB 3570	SAMN42161487	42161487	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3570	487555	NCPPB 3570	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161487
NCPPB 2866	SAMN42161511	42161511	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2866	487545	NCPPB 2866	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161511
NCPPB 2865	SAMN42161510	42161510	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2865	487544	NCPPB 2865	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161510
NCPPB 2864	SAMN42161509	42161509	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2864	487543	NCPPB 2864	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161509
NCPPB 2856	SAMN42161508	42161508	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 2856	487542	NCPPB 2856	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161508
NCPPB 1638	SAMN42161501	42161501	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 1638	487535	NCPPB 1638	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161501
NCPPB 3959	SAMN42161491	42161491	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3959	487567	NCPPB 3959	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161491
NCPPB 1132	SAMN56511359	56511359	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 1132	487528	NCPPB 1132	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511359
NCPPB 1131	SAMN56511358	56511358	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 1131	487527	NCPPB 1131	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511358
NCPPB 3200	SAMN42923733	42923733	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3200	487552	NCPPB 3200	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42923733
NCPPB 3086	SAMN42278568	42278568	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. desmodiilaxiflori	487829	NCPPB 3086	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42278568
NCPPB 900	SAMN56511391	56511391	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. vasculorum	325777	NCPPB 900	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511391
NCPPB 881	SAMN56511390	56511390	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas hortorum ATCC 19865	925777	NCPPB 881	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511390
NCPPB 557	SAMN56511389	56511389	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri	346	NCPPB 557	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	no	yes	yes	accept	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511389
NCPPB 556	SAMN56511388	56511388	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri	346	NCPPB 556	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	no	yes	yes	accept	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511388
NCPPB 4682	SAMN56511387	56511387	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	NCPPB 4682	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511387
NCPPB 4681	SAMN56511386	56511386	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	NCPPB 4681	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511386
NCPPB 4680	SAMN56511385	56511385	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	NCPPB 4680	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511385
NCPPB 4679	SAMN56511384	56511384	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	NCPPB 4679	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511384
NCPPB 4678	SAMN56511383	56511383	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. campestris	340	NCPPB 4678	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511383
NCPPB 4634	SAMN56511382	56511382	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	NCPPB 4634	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511382
NCPPB 4633	SAMN56511381	56511381	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	NCPPB 4633	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511381
NCPPB 4632	SAMN56511380	56511380	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	NCPPB 4632	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511380
NCPPB 4630	SAMN56511379	56511379	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	NCPPB 4630	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511379
NCPPB 4629	SAMN56511378	56511378	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	NCPPB 4629	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511378
NCPPB 4594	SAMN56511377	56511377	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas cannabis pv. phaseoli	1885902	NCPPB 4594	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	no	yes	yes	accept	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511377
NCPPB 4446	SAMN56511376	56511376	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei	743699	NCPPB 4446	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511376
NCPPB 4367	SAMN56511375	56511375	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei pv. dysoxyli	517755	NCPPB 4367	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511375
NCPPB 4364	SAMN56511374	56511374	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei pv. dysoxyli	517755	NCPPB 4364	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511374
NCPPB 4363	SAMN56511373	56511373	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei pv. dysoxyli	517755	NCPPB 4363	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511373
NCPPB 4350	SAMN56511372	56511372	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas codiaei	56463	NCPPB 4350	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511372
NCPPB 4013	SAMN56511371	56511371	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. asclepiadis	2887372	NCPPB 4013	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511371
NCPPB 2439	SAMN56511370	56511370	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. zinniae	83854	NCPPB 2439	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511370
NCPPB 2338	SAMN56511369	56511369	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei pv. eucalypti	487864	NCPPB 2338	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511369
NCPPB 2190	SAMN56511368	56511368	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. esculenti	487863	NCPPB 2190	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511368
NCPPB 2064	SAMN56511367	56511367	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri	346	NCPPB 2064	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511367
NCPPB 1933	SAMN56511366	56511366	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas arboricola pv. guizotiae	487867	NCPPB 1933	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	no	yes	yes	accept	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511366
NCPPB 1932	SAMN56511365	56511365	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas arboricola pv. guizotiae	487867	NCPPB 1932	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	no	yes	yes	accept	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN56511365
NCPPB 1713	SAMN56511364	56511364	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri	346	NCPPB 1713	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511364
NCPPB 1594	SAMN56511363	56511363	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. nakataecorchori	487835	NCPPB 1594	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511363
NCPPB 151	SAMN56511362	56511362	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. papavericola	487881	NCPPB 151	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511362
NCPPB 1337	SAMN56511361	56511361	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas axonopodis pv. nakataecorchori	487835	NCPPB 1337	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511361
NCPPB 1155	SAMN56511360	56511360	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas dyei pv. laureliae	487872	NCPPB 1155	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511360
NCPPB 1061	SAMN56511357	56511357	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. plantaginis	487888	NCPPB 1061	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511357
NCPPB 1059	SAMN56511356	56511356	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas campestris pv. papavericola	487881	NCPPB 1059	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN56511356
NCPPB 1759	SAMN49561544	49561544	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. bilvae	487854	NCPPB 1759	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	no	yes	yes	accept	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN49561544
NCPPB 3213	SAMN49561543	49561543	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas citri pv. bilvae	487854	NCPPB 3213	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_genus_different_species	no	yes	yes	accept	same_genus_different_species		https://www.ncbi.nlm.nih.gov/biosample/SAMN49561543
NCPPB 3761	SAMN42161490	42161490	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas sp. NCPPB 3761	487559	NCPPB 3761	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN42161490
NCPPB 1946	SAMN36368324	36368324	ncppb_number	expected_genus:Xanthomonas	Xanthomonas campestris pv. campestris	340	NCPPB 1946	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN36368324
NCPPB 3566	SAMN36346322	36346322	ncppb_number	expected_genus:Xanthomonas	Xanthomonas campestris pv. campestris	340	NCPPB 3566	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN36346322
NCPPB 4379	SAMN49535423	49535423	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas vasicola pv. musacearum	454958	NCPPB 4379	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN49535423
NCPPB 4381	SAMN49535422	49535422	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas vasicola pv. musacearum	454958	NCPPB 4381	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN49535422
NCPPB 4395	SAMN49535421	49535421	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas vasicola pv. musacearum	454958	NCPPB 4395	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN49535421
NCPPB 2251	SAMN49535420	49535420	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas vasicola pv. musacearum	454958	NCPPB 2251	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN49535420
NCPPB 2005	SAMN49535419	49535419	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas vasicola pv. musacearum	454958	NCPPB 2005	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN49535419
NCPPB 3709	SAMN19468006	19468006	ncppb_number	expected_genus:Xanthomonas; exact_full_identifier	Xanthomonas graminis pv. graminis	134874	NCPPB 3709	ncppb_number	primary	strain	structured_exact_identifier	confirmed_exact_ncppb_identifier	same_name	no	no	no	accept			https://www.ncbi.nlm.nih.gov/biosample/SAMN19468006
