ncppb_number	snapshot_status	v1_current_name	v2_current_name	v1_other_references	v2_other_references	name_changed	other_references_changed
NCPPB 186	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			no	no
NCPPB 187	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			no	no
NCPPB 195	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995			no	no
NCPPB 196	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939			no	no
NCPPB 200	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.			no	no
NCPPB 205	present_in_both	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995			no	no
NCPPB 206	present_in_both	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162	no	no
NCPPB 208	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans (Ashby 1929) Dowson 1943	This isolate was isolated by G. Orian PC5	This isolate was isolated by G. Orian PC5	no	no
NCPPB 210	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	This isolate was isolated by M.K. Patel	This isolate was isolated by M.K. Patel	no	no
NCPPB 211	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.			no	no
NCPPB 212	present_in_both	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.			no	no
NCPPB 220	present_in_both	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	The source of this isolate was ex C. Elliott	The source of this isolate was ex C. Elliott	no	no
NCPPB 226	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.			no	no
NCPPB 230	present_in_both	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995			no	no
NCPPB 232	present_in_both	Xanthomonas hortorum pv. vitians Morinière et al. 2020	Xanthomonas hortorum pv. vitians Morinière et al. 2020			no	no
NCPPB 240	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by W.J. Dowson The source of this isolate was .	This isolate was isolated by W.J. Dowson The source of this isolate was .	no	no
NCPPB 241	present_in_both	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	The source of this isolate was ex W.J. Dowson	The source of this isolate was ex W.J. Dowson	no	no
NCPPB 243	present_in_both	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023			no	no
NCPPB 273	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	The source of this isolate was ex A.C. Brown B67	The source of this isolate was ex A.C. Brown B67	no	no
NCPPB 279	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by P.O. Wiehe	This isolate was isolated by P.O. Wiehe	no	no
NCPPB 290	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans (Ashby 1929) Dowson 1943	The donor reference is 38/2	The donor reference is 38/2	no	no
NCPPB 293	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	This isolate was isolated by R.A. Lelliott	This isolate was isolated by R.A. Lelliott	no	no
NCPPB 301	present_in_both	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.			no	no
NCPPB 302	present_in_both	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	The donor reference is XP 8 The source of this isolate was .	The donor reference is XP 8 The source of this isolate was .	no	no
NCPPB 305	present_in_both	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995			no	no
NCPPB 315	present_in_both	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	The donor reference is XS52/5	The donor reference is XS52/5	no	no
NCPPB 347	present_in_both	Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978	Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978	This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace	This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace	no	no
NCPPB 348	present_in_both	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.			no	no
NCPPB 362	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995			no	no
NCPPB 381	present_in_both	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg	no	no
NCPPB 400	present_in_both	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	This isolate was isolated by E. Hellmers 69	This isolate was isolated by E. Hellmers 69	no	no
NCPPB 403	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by D.W. Dye Ql	This isolate was isolated by D.W. Dye Ql	no	no
NCPPB 404	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by D.W. Dye Q2	This isolate was isolated by D.W. Dye Q2	no	no
NCPPB 405	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	This isolate was isolated by D.W. Dye R1	This isolate was isolated by D.W. Dye R1	no	no
NCPPB 406	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	The donor reference is R This isolate was isolated by D.W. Dye R2	The donor reference is R This isolate was isolated by D.W. Dye R2	no	no
NCPPB 407	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	This isolate was isolated by D.W. Dye R3	This isolate was isolated by D.W. Dye R3	no	no
NCPPB 408	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	This isolate was isolated by D.W. Dye R4	This isolate was isolated by D.W. Dye R4	no	no
NCPPB 409	present_in_both	Xanthomonas citri (Hasse 1915) Gabriel et al. 1989	Xanthomonas citri (Hasse 1915) Gabriel et al. 1989	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5	no	no
NCPPB 410	present_in_both	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	This isolate was isolated by D.W. Dye R6	This isolate was isolated by D.W. Dye R6	no	no
NCPPB 411	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083	no	no
NCPPB 412	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	This isolate was isolated by D.W. Dye S6	This isolate was isolated by D.W. Dye S6	no	no
NCPPB 414	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	This isolate was isolated by D.W. Dye S10	This isolate was isolated by D.W. Dye S10	no	no
NCPPB 415	present_in_both	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	This isolate was isolated by D.W. Dye S12	This isolate was isolated by D.W. Dye S12	no	no
NCPPB 416	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl	no	no
NCPPB 418	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	This isolate was isolated by D.W. Dye T6	This isolate was isolated by D.W. Dye T6	no	no
NCPPB 419	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	This isolate was isolated by D.W. Dye T7	This isolate was isolated by D.W. Dye T7	no	no
NCPPB 420	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	This isolate was isolated by D.W. Dye T8	This isolate was isolated by D.W. Dye T8	no	no
NCPPB 421	present_in_both	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	This isolate was isolated by D.W. Dye T9	This isolate was isolated by D.W. Dye T9	no	no
NCPPB 422	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1	no	no
NCPPB 423	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	This isolate is also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3	This isolate is also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3	no	no
NCPPB 424	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	This isolate is also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4	This isolate is also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4	no	no
NCPPB 425	present_in_both	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	The donor reference is ZC1 The source of this isolate was ex B. Paine	The donor reference is ZC1 The source of this isolate was ex B. Paine	no	no
NCPPB 457	present_in_both	Xanthomonas axonopodis pv. axonopodis Starr & Garces 1950	Xanthomonas axonopodis pv. axonopodis Starr & Garces 1950	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103	This isolate is also in the collections; ATCC 19312, ICMP 50, LMG 982, DSMZ 3585 This isolate was isolated by M.P. Starr XA103	no	no
NCPPB 464	present_in_both	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978	This isolate is also in the collections; ICMP 359, LMG 9052 This isolate was isolated by K.A. Sabet Cor 9	This isolate is also in the collections; ICMP 359, LMG 9052 This isolate was isolated by K.A. Sabet Cor 9	no	no
NCPPB 465	present_in_both	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978	Xanthomonas campestris pv. olitorii (Sabet 1957) Dye 1978	This isolate was isolated by K.A. Sabet Cor 5	This isolate was isolated by K.A. Sabet Cor 5	no	no
NCPPB 466	present_in_both	Xanthomonas citri pv. punicae (Hingorani & Singh 1959) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. punicae (Hingorani & Singh 1959) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; ICMP 360, LMG 859 The source of this isolate was ex M.K. Hingorani	This isolate is also in the collections; ICMP 360, LMG 859 The source of this isolate was ex M.K. Hingorani	no	no
NCPPB 473	present_in_both	Xanthomonas citri pv. punicae (Hingorani & Singh 1959) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. punicae (Hingorani & Singh 1959) Constantin et al. 2016 comb. nov.	The source of this isolate was ex M.K. Hingorani	The source of this isolate was ex M.K. Hingorani	no	no
NCPPB 476	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	The source of this isolate was ex M.K. Desai	The source of this isolate was ex M.K. Desai	no	no
NCPPB 477	present_in_both	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023	Xanthomonas citri pv. trichodesmae (Patel et al.1952) Harrison et al. 2023	The source of this isolate was ex M.K. Desai	The source of this isolate was ex M.K. Desai	no	no
NCPPB 478	present_in_both	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	Xanthomonas axonopodis pv. cassiae (Kulkarni et al. 1951) Vauterin et al. 1995	The source of this isolate was ex M.K. Desai	The source of this isolate was ex M.K. Desai	no	no
NCPPB 479	present_in_both	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	Xanthomonas axonopodis pv. melhusii (Patel et al. 1952) Vauterin et al. 1995	This isolate was isolated by ex M.K. Desai	This isolate was isolated by ex M.K. Desai	no	no
NCPPB 480	present_in_both	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. alfalfae (ex Riker et al. 1935) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; CFBP 7121 The source of this isolate was ex M.K. Desai	This isolate is also in the collections; CFBP 7121 The source of this isolate was ex M.K. Desai	no	no
NCPPB 481	present_in_both	Xanthomonas axonopodis pv. desmodii (Patel 1949) Vauterin et al. 1995	Xanthomonas axonopodis pv. desmodii (Patel 1949) Vauterin et al. 1995	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105	This isolate is also in the collections; ATCC 11640, ICMP 315, LMG 692 This isolate was isolated by ICPB XD105 The source of this isolate was ex ICPB XD105 ex ICPB XD105	no	no
NCPPB 485	present_in_both	Xanthomonas axonopodis pv. betlicola (Patel et al. 1951) Vauterin et al. 1995	Xanthomonas axonopodis pv. betlicola (Patel et al. 1951) Vauterin et al. 1995	The donor reference is XB109 The source of this isolate was ex ICPB XB109	The donor reference is XB109 The source of this isolate was ex ICPB XB109	no	no
NCPPB 488	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel	This isolate is also in the collections; ICPB XR101, ATCC 11767, LMG 7441, ICMP 248 The source of this isolate was ex M.K. Patel	no	no
NCPPB 490	present_in_both	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.	The donor reference is 18 This isolate is also in the collections; ATCC 11637, ICMP 5740, LMG 941, CFBP 1716 This isolate was isolated by M.K. Patel The source of this isolate was ex ICPB PM114 ex M.K. Patel	The donor reference is 18 This isolate is also in the collections; ATCC 11637, ICMP 5740, LMG 941, CFBP 1716 This isolate was isolated by M.K. Patel The source of this isolate was ex ICPB PM114 ex M.K. Patel	no	no
NCPPB 509	present_in_both	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	The donor reference is 391 This isolate is also in the collections; LMG 919 This isolate was isolated by ex A. Rothwell	The donor reference is 391 This isolate is also in the collections; LMG 919 This isolate was isolated by ex A. Rothwell	no	no
NCPPB 510	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans (Ashby 1929) Dowson 1943	The donor reference is 392 This isolate was isolated by ex G. Orian	The donor reference is 392 This isolate was isolated by ex G. Orian	no	no
NCPPB 526	present_in_both	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans (Ashby 1929) Dowson 1943	The donor reference is 412 This isolate was isolated by ex J.A. Spence XAS/L	The donor reference is 412 This isolate was isolated by ex J.A. Spence XAS/L	no	no
NCPPB 528	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate is also in the collections; ICMP 13, ATCC 33913, LMG 568, CIP 100069 This isolate was isolated by E. Billing P25	This isolate is also in the collections; ICMP 13, ATCC 33913, LMG 568, CIP 100069 This isolate was isolated by E. Billing P25	no	no
NCPPB 529	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by E. Billing P33/1	This isolate was isolated by E. Billing P33/1	no	no
NCPPB 535	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	This isolate was isolated by K.A. Sabet Ric 3	This isolate was isolated by K.A. Sabet Ric 3	no	no
NCPPB 536	present_in_both	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	Xanthomonas axonopodis pv. khayae (Sabet 1959) Vauterin et al. 1995	This isolate is also in the collections; ICMP 671, LMG 753 This isolate was isolated by K.A. Sabet Khl	This isolate is also in the collections; ICMP 671, LMG 753 This isolate was isolated by K.A. Sabet Khl	no	no
NCPPB 554	present_in_both	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. glycines (Nakano 1919) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; ICMP 5732, LMG 712, CFBP 2526. ATCC 43911 This isolate was isolated by K.A. Sabet Soy 1	This isolate is also in the collections; ICMP 5732, LMG 712, CFBP 2526. ATCC 43911 This isolate was isolated by K.A. Sabet Soy 1	no	no
NCPPB 555	present_in_both	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	This isolate was isolated by K.A. Sabet Vig 5	This isolate was isolated by K.A. Sabet Vig 5	no	no
NCPPB 556	present_in_both	Xanthomonas axonopodis Starr & Garcés 1950	Xanthomonas axonopodis Starr & Garcés 1950	This isolate was isolated by K.A. Sabet Dol S	This isolate was isolated by K.A. Sabet Dol S	no	no
NCPPB 557	present_in_both	Xanthomonas axonopodis (Smith 1897) Vauterin et al.1995	Xanthomonas axonopodis (Smith 1897) Vauterin et al.1995	This isolate was isolated by K.A. Sabet Dol W	This isolate was isolated by K.A. Sabet Dol W	no	no
NCPPB 570	present_in_both	Xanthomonas campestris pv. amaranthicola (Patel et al. 1952) Dye 1978	Xanthomonas campestris pv. amaranthicola (Patel et al. 1952) Dye 1978	This isolate is also in the collections; ATCC 11645, ICMP 441, LMG 498 The source of this isolate was ex M.K. Patel 16	This isolate is also in the collections; ATCC 11645, ICMP 441, LMG 498 The source of this isolate was ex M.K. Patel 16	no	no
NCPPB 571	present_in_both	Xanthomonas campestris pv. badrii (Patel et al.1950) Dye 1978	Xanthomonas campestris pv. badrii (Patel et al.1950) Dye 1978	This isolate is also in the collections; ATCC 11672, ICMP 571, LMG 546 This isolate was isolated by M.K. Patel 4	This isolate is also in the collections; ATCC 11672, ICMP 571, LMG 546 This isolate was isolated by M.K. Patel 4	no	no
NCPPB 573	present_in_both	Xanthomonas axonopodis pv. cajani (Kulkarni et al. 1950) Vauterin et al. 1995	Xanthomonas axonopodis pv. cajani (Kulkarni et al. 1950) Vauterin et al. 1995	This isolate is also in the collections; ATCC 11639, ICMP 444, LMG 558 The source of this isolate was ex M.K. Patel 5	This isolate is also in the collections; ATCC 11639, ICMP 444, LMG 558 The source of this isolate was ex M.K. Patel 5	no	no
NCPPB 575	present_in_both	Xanthomonas euvesicatoria pv. clerodendri (Patel et al. 1952) Harrison et al. 2023	Xanthomonas euvesicatoria pv. clerodendri (Patel et al. 1952) Harrison et al. 2023	This isolate is also in the collections; ATCC 11676, ICMP 445, CIP 106789, LMG 684, DSMZ 13067, CCUG 43811 The source of this isolate was ex M.K. Patel 10	This isolate is also in the collections; ATCC 11676, ICMP 445, CIP 106789, LMG 684, DSMZ 13067, CCUG 43811 The source of this isolate was ex M.K. Patel 10	no	no
NCPPB 577	present_in_both	Xanthomonas axonopodis pv. desmodiigangetici (Patel & Moniz 1948) Vauterin et al. 1995	Xanthomonas axonopodis pv. desmodiigangetici (Patel & Moniz 1948) Vauterin et al. 1995	This isolate is also in the collections; ATCC 11671, ICMP 577, LMG 693 The source of this isolate was ex M.K. Patel 3	This isolate is also in the collections; ATCC 11671, ICMP 577, LMG 693 The source of this isolate was ex M.K. Patel 3	no	no
NCPPB 578	present_in_both	Xanthomonas euvesicatoria pv. erythrinae (Patel et al. 1952) Constantin et al. 2016 comb. nov.	Xanthomonas euvesicatoria pv. erythrinae (Patel et al. 1952) Constantin et al. 2016 comb. nov.	This isolate is also in the collections; ATCC 11679, ICMP 446, LMG 698 The source of this isolate was ex M.K. Patel 17	This isolate is also in the collections; ATCC 11679, ICMP 446, LMG 698 The source of this isolate was ex M.K. Patel 17	no	no
NCPPB 579	present_in_both	Xanthomonas euvesicatoria pv. lawsoniae (Patel et al. 1951) Harrison et al. 2023	Xanthomonas euvesicatoria pv. lawsoniae (Patel et al. 1951) Harrison et al. 2023	This isolate is also in the collections; ATCC 11674, ICMP 319, LMG 756 The source of this isolate was ex M.K. Patel 8	This isolate is also in the collections; ATCC 11674, ICMP 319, LMG 756 The source of this isolate was ex M.K. Patel 8	no	no
