ncppb_number	clause_order	clause_type	raw_clause	raw_value	text_start	text_end	html_start	html_end	parse_status	risk_level	review_reason	source_snapshot_sha256
NCPPB 4402	2	collection_list	This isolate is also in the collections; PD 772, LMG 8237	PD 772, LMG 8237	32	89	2501053	2501111	parsed	low		
NCPPB 4402	3	isolated_by	This isolate was isolated by P.D.Jaanse	P.D.Jaanse	90	129	2501115	2501155	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4402	4	source_of_isolate	The source of this isolate was LMG	LMG	130	164	2501159	2501194	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4403	1	donor_reference	The donor reference is ICMP 217-62	ICMP 217-62	0	34	2503855	2503918	parsed	medium		
NCPPB 4403	2	collection_list	This isolate is also in the collections; ICMP 217, ATCC 9924	ICMP 217, ATCC 9924	35	95	2503922	2503983	parsed	low		
NCPPB 4403	3	isolated_by	This isolate was isolated by R. Weindling	R. Weindling	96	137	2503987	2504029	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4403	4	source_of_isolate	The source of this isolate was ICMP	ICMP	138	173	2504033	2504069	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4404	1	donor_reference	The donor reference is LMG 9057	LMG 9057	0	31	2507160	2507220	parsed	medium		
NCPPB 4404	2	collection_list	This isolate is also in the collections; ICMP 7466; ITCC P33, LMG 9057	ICMP 7466; ITCC P33, LMG 9057	32	102	2507224	2507295	parsed	low		
NCPPB 4404	3	isolated_by	This isolate was isolated by Y.Kulkani	Y.Kulkani	103	141	2507299	2507338	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4404	4	source_of_isolate	The source of this isolate was LMG	LMG	142	176	2507342	2507377	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4405	1	donor_reference	The donor reference is LMG 8273	LMG 8273	0	31	2509991	2510051	parsed	medium		
NCPPB 4405	2	collection_list	This isolate is also in the collections; ICMP 6482, Latch PRGRQ	ICMP 6482, Latch PRGRQ	32	95	2510055	2510119	parsed	low		
NCPPB 4405	3	isolated_by	This isolate was isolated by G.Latch	G.Latch	96	132	2510123	2510160	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4405	4	source_of_isolate	The source of this isolate was LMG	LMG	133	167	2510164	2510199	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4407	1	donor_reference	The donor reference is LMG 476	LMG 476	0	30	2512821	2512880	parsed	medium		
NCPPB 4407	2	collection_list	This isolate is also in the collections; Beramis 6, VdM9	Beramis 6, VdM9	31	87	2512884	2512941	parsed	low		
NCPPB 4407	3	source_of_isolate	The source of this isolate was LMG	LMG	88	122	2512945	2512980	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4409	1	donor_reference	The donor reference is LMG 19145	LMG 19145	0	32	2515645	2515706	parsed	medium		
NCPPB 4409	2	collection_list	This isolate is also in the collections; LMG 19145, ISPAVE-B-641, PD 2780,SWINGS R-5214	LMG 19145, ISPAVE-B-641, PD 2780,SWINGS R-5214	33	120	2515710	2515798	parsed	low		
NCPPB 4409	3	source_of_isolate	The source of this isolate was LMG	LMG	121	155	2515802	2515837	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4410	1	donor_reference	The donor reference is 8356	8356	0	27	2518604	2518660	parsed	medium		
NCPPB 4410	2	source_of_isolate	The source of this isolate was S.J.Roberts	S.J.Roberts	28	70	2518664	2518707	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4411	1	donor_reference	The donor reference is 8394	8394	0	27	2521468	2521524	parsed	medium		
NCPPB 4411	2	source_of_isolate	The source of this isolate was S.J.Roberts	S.J.Roberts	28	70	2521528	2521571	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4412	1	donor_reference	The donor reference is LMG 495	LMG 495	0	30	2524267	2524326	parsed	medium		
NCPPB 4412	2	collection_list	This isolate is also in the collections; LMG 495, ATCC 11765, CFBP 7686	LMG 495, ATCC 11765, CFBP 7686	31	102	2524330	2524402	parsed	low		
NCPPB 4412	3	isolated_by	This isolate was isolated by MK Patel	MK Patel	103	140	2524406	2524444	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4413	1	isolated_by	This isolate was isolated by h.stanford	h.stanford	0	39	2527069	2527137	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4413	2	source_of_isolate	The source of this isolate was Diagnosis	Diagnosis	40	80	2527141	2527182	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4414	1	donor_reference	The donor reference is Protect 1599	Protect 1599	0	35	2529598	2529662	parsed	medium		
NCPPB 4414	2	collection_list	This isolate is also in the collections; B950367	B950367	36	84	2529666	2529715	parsed	low		
NCPPB 4414	3	source_of_isolate	The source of this isolate was Protect	Protect	85	123	2529719	2529758	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4415	1	donor_reference	The donor reference is Protect 766	Protect 766	0	34	2532174	2532237	parsed	medium		
NCPPB 4415	2	collection_list	This isolate is also in the collections; A4833/B	A4833/B	35	83	2532241	2532290	parsed	low		
NCPPB 4415	3	source_of_isolate	The source of this isolate was Protect	Protect	84	122	2532294	2532333	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4433	1	donor_reference	The donor reference is 20709953	20709953	0	31	2537498	2537558	parsed	medium		
NCPPB 4433	2	collection_list	This isolate is also in the collections; Cabi 395428	Cabi 395428	32	84	2537562	2537615	parsed	low		
NCPPB 4433	3	isolated_by	This isolate was isolated by Cabi	Cabi	85	118	2537619	2537653	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4433	4	source_of_isolate	The source of this isolate was Cabi	Cabi	119	154	2537657	2537693	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4434	1	donor_reference	The donor reference is 20702295	20702295	0	31	2540641	2540701	parsed	medium		
NCPPB 4434	2	collection_list	This isolate is also in the collections; BXWK1	BXWK1	32	78	2540705	2540752	parsed	low		
NCPPB 4435	1	donor_reference	The donor reference is 20722939	20722939	0	31	2543365	2543425	parsed	medium		
NCPPB 4446	1	donor_reference	The donor reference is ICMP 12167	ICMP 12167	0	33	2546038	2546100	parsed	medium		
NCPPB 4446	2	collection_list	This isolate is also in the collections; ICMP 12167, CFBP 7245	ICMP 12167, CFBP 7245	34	96	2546104	2546167	parsed	low		
NCPPB 4446	3	source_of_isolate	The source of this isolate was ICMP	ICMP	97	132	2546171	2546207	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4448	1	donor_reference	The donor reference is CS283	CS283	0	28	2549111	2549168	parsed	medium		
NCPPB 4448	2	collection_list	This isolate is also in the collections; ICMP 16316	ICMP 16316	29	80	2549172	2549224	parsed	low		
NCPPB 4449	1	donor_reference	The donor reference is CS284	CS284	0	28	2552098	2552155	parsed	medium		
NCPPB 4449	2	collection_list	This isolate is also in the collections; ICMP 16317	ICMP 16317	29	80	2552159	2552211	parsed	low		
NCPPB 4450	1	donor_reference	The donor reference is A4832/1	A4832/1	0	30	2555111	2555170	parsed	medium		
NCPPB 4450	2	collection_list	This isolate is also in the collections; Protect 763	Protect 763	31	83	2555174	2555227	parsed	low		
NCPPB 4450	3	source_of_isolate	The source of this isolate was CSL	CSL	84	118	2555231	2555266	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4451	1	donor_reference	The donor reference is A4832/1	A4832/1	0	30	2557913	2557972	parsed	medium		
NCPPB 4451	2	collection_list	This isolate is also in the collections; Protect 764	Protect 764	31	83	2557976	2558029	parsed	low		
NCPPB 4451	3	source_of_isolate	The source of this isolate was CSL	CSL	84	118	2558033	2558068	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4466	1	donor_reference	The donor reference is 64A	64A	0	26	2560931	2560986	parsed	medium		
NCPPB 4466	2	collection_list	This isolate is also in the collections; WHRI 64A	WHRI 64A	27	76	2560990	2561040	parsed	low		
NCPPB 4466	3	isolated_by	This isolate was isolated by John D. Taylor	John D. Taylor	77	120	2561044	2561088	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4468	1	donor_reference	The donor reference is CSL972199	CSL972199	0	32	2563698	2563759	parsed	medium		
NCPPB 4468	2	collection_list	This isolate is also in the collections; P2431	P2431	33	79	2563763	2563810	parsed	low		
NCPPB 4468	3	isolated_by	This isolate was isolated by A. Aspin	A. Aspin	80	117	2563814	2563852	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4584	1	donor_reference	The donor reference is NCPPB 2699	NCPPB 2699	0	33	2566905	2566967	parsed	medium		
NCPPB 4584	2	collection_list	This isolate is also in the collections; LMG 588, 7384, ATCC 29090	LMG 588, 7384, ATCC 29090	34	100	2566971	2567038	parsed	low		
NCPPB 4584	3	isolated_by	This isolate was isolated by Dr Thomas Egli - 705	Dr Thomas Egli - 705	101	150	2567042	2567092	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4590	1	donor_reference	The donor reference is CFBP 3369	CFBP 3369	0	32	2569760	2569821	parsed	medium		
NCPPB 4590	2	collection_list	This isolate is also in the collections; CFBP 3369, LMG 9322, ICMP 15804, ATCC 49118, ICPB 10518	CFBP 3369, LMG 9322, ICMP 15804, ATCC 49118, ICPB 10518	33	129	2569825	2569922	parsed	low		
NCPPB 4590	3	isolated_by	This isolate was isolated by Gabriel D. 3213	Gabriel D. 3213	130	174	2569926	2569971	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4590	4	source_of_isolate	The source of this isolate was CFBP	CFBP	175	210	2569975	2570011	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4594	1	donor_reference	The donor reference is NYAGA S	NYAGA S	0	30	2572073	2572132	parsed	high	digit_free_donor_reference_requires_review_before_search	
NCPPB 4594	2	isolated_by	This isolate was isolated by Fred Kato	Fred Kato	31	69	2572136	2572175	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 4600	1	donor_reference	The donor reference is WHRI 8853	WHRI 8853	0	32	2575126	2575187	parsed	medium		
NCPPB 4600	2	isolated_by	This isolate was isolated by Joana M. G. N. Vicente	Joana M. G. N. Vicente	33	84	2575191	2575243	parsed	medium	person_or_source_text_not_automatically_an_identifier	
