ncppb_number	clause_order	clause_type	raw_clause	raw_value	text_start	text_end	html_start	html_end	parse_status	risk_level	review_reason	source_snapshot_sha256
NCPPB 2896	1	donor_reference	The donor reference is 164/7	164/7	0	28	1514992	1515049	parsed	medium		
NCPPB 2898	1	collection_list	This isolate is also in the collections; ICMP 7080	ICMP 7080	0	50	1518208	1518287	parsed	low		
NCPPB 2898	2	isolated_by	This isolate was isolated by P. Roberts A724A	P. Roberts A724A	51	96	1518291	1518337	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2904	1	isolated_by	This isolate was isolated by P. Roberts A736	P. Roberts A736	0	44	1521524	1521597	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2910	1	donor_reference	The donor reference is B5271	B5271	0	28	1524807	1524864	parsed	medium		
NCPPB 2910	2	isolated_by	This isolate was isolated by ex R.W. Schneider 1186	ex R.W. Schneider 1186	29	80	1524868	1524920	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2914	1	donor_reference	The donor reference is B5300	B5300	0	28	1528146	1528203	parsed	medium		
NCPPB 2914	2	source_of_isolate	The source of this isolate was ex D. Norse 507	ex D. Norse 507	29	75	1528207	1528254	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2918	1	donor_reference	The donor reference is BS469	BS469	0	28	1531395	1531452	parsed	medium		
NCPPB 2918	2	isolated_by	This isolate was isolated by J.F. Bradbury BS469	J.F. Bradbury BS469	29	77	1531456	1531505	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2919	1	donor_reference	The donor reference is B5530	B5530	0	28	1534713	1534770	parsed	medium		
NCPPB 2919	2	isolated_by	This isolate was isolated by ex R.J. Williams CBZII 5972	ex R.J. Williams CBZII 5972	29	85	1534774	1534831	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2920	1	isolated_by	This isolate was isolated by J.F. Bradbury B5562	J.F. Bradbury B5562	0	48	1538036	1538113	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2921	1	donor_reference	The donor reference is B5566	B5566	0	28	1541284	1541341	parsed	medium		
NCPPB 2921	2	isolated_by	This isolate was isolated by ex P.S.W. Lin PP1312/60	ex P.S.W. Lin PP1312/60	29	81	1541345	1541398	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2922	1	donor_reference	The donor reference is B5577	B5577	0	28	1544002	1544059	parsed	medium		
NCPPB 2922	2	isolated_by	This isolate was isolated by J.F. Bradbury	J.F. Bradbury	29	71	1544063	1544106	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2925	1	donor_reference	The donor reference is B5582	B5582	0	28	1547448	1547505	parsed	medium		
NCPPB 2925	2	isolated_by	This isolate was isolated by ex C. Nwigwe YI	ex C. Nwigwe YI	29	73	1547509	1547554	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2927	1	isolated_by	This isolate was isolated by J.F. Bradbury B5632	J.F. Bradbury B5632	0	48	1550944	1551021	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2928	1	donor_reference	The donor reference is B5643	B5643	0	28	1553417	1553474	parsed	medium		
NCPPB 2928	2	isolated_by	This isolate was isolated by ex B.P.Chakravarti N318	ex B.P.Chakravarti N318	29	81	1553478	1553531	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2930	1	donor_reference	The donor reference is B5806	B5806	0	28	1557029	1557086	parsed	medium		
NCPPB 2930	2	isolated_by	This isolate was isolated by ex G. Jackson PP223	ex G. Jackson PP223	29	77	1557090	1557139	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2931	1	isolated_by	This isolate was isolated by J.F. Bradbury B5830	J.F. Bradbury B5830	0	48	1560289	1560366	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2932	1	donor_reference	The donor reference is B5480	B5480	0	28	1562779	1562836	parsed	medium		
NCPPB 2932	2	isolated_by	This isolate was isolated by ex B.S. Siradhana	ex B.S. Siradhana	29	75	1562840	1562887	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2933	1	donor_reference	The donor reference is B6132	B6132	0	28	1566157	1566214	parsed	medium		
NCPPB 2933	2	isolated_by	This isolate was isolated by J.F. Bradbury B6132	J.F. Bradbury B6132	29	77	1566218	1566267	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2934	1	donor_reference	The donor reference is B6141	B6141	0	28	1569424	1569481	parsed	medium		
NCPPB 2934	2	isolated_by	This isolate was isolated by ex P.S. Shekhawat XWl	ex P.S. Shekhawat XWl	29	79	1569485	1569536	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2935	1	donor_reference	The donor reference is B6144	B6144	0	28	1571953	1572010	parsed	medium		
NCPPB 2935	2	isolated_by	This isolate was isolated by ex P.S. Shekhawat D42	ex P.S. Shekhawat D42	29	79	1572014	1572065	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2936	1	donor_reference	The donor reference is B 6149	B 6149	0	29	1574491	1574549	parsed	medium		
NCPPB 2936	2	isolated_by	This isolate was isolated by ex P.S. Shekhawat XA1	ex P.S. Shekhawat XA1	30	80	1574553	1574604	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2938	1	donor_reference	The donor reference is B6617	B6617	0	28	1577758	1577815	parsed	medium		
NCPPB 2938	2	isolated_by	This isolate was isolated by ex Hasanuddin	ex Hasanuddin	29	71	1577819	1577862	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2949	1	donor_reference	The donor reference is DAR 26146	DAR 26146	0	32	1580877	1580938	parsed	medium		
NCPPB 2949	2	isolated_by	This isolate was isolated by ex J. McGeghan	ex J. McGeghan	33	76	1580942	1580986	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2949	3	source_of_isolate	The source of this isolate was ex N.S.W. Dept. of Agri.	ex N.S.W. Dept. of Agri.	77	132	1580990	1581046	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2953	1	donor_reference	The donor reference is Tri lb	Tri lb	0	29	1584184	1584242	parsed	high	digit_free_donor_reference_requires_review_before_search	
NCPPB 2953	2	collection_list	This isolate is also in the collections; ICPB XP228	ICPB XP228	30	81	1584246	1584298	parsed	low		
NCPPB 2955	1	donor_reference	The donor reference is Bt3	Bt3	0	26	1587452	1587507	parsed	medium		
NCPPB 2955	2	collection_list	This isolate is also in the collections; ICPB XP230	ICPB XP230	27	78	1587511	1587563	parsed	low		
NCPPB 2959	1	donor_reference	The donor reference is Reg	Reg	0	26	1590717	1590772	parsed	high	digit_free_donor_reference_requires_review_before_search	
NCPPB 2959	2	collection_list	This isolate is also in the collections; ICMP 5816, ICPB XP231, ATCC 51165, CFBP 1817, LMG 5743	ICMP 5816, ICPB XP231, ATCC 51165, CFBP 1817, LMG 5743	27	122	1590776	1590872	parsed	low		
NCPPB 2960	1	donor_reference	The donor reference is BII	BII	0	26	1594277	1594332	parsed	high	digit_free_donor_reference_requires_review_before_search	
NCPPB 2960	2	collection_list	This isolate is also in the collections; ICPB XP232	ICPB XP232	27	78	1594336	1594388	parsed	low		
NCPPB 2963	1	donor_reference	The donor reference is S62b	S62b	0	27	1597778	1597834	parsed	medium		
NCPPB 2963	2	collection_list	This isolate is also in the collections; ICPB XP235	ICPB XP235	28	79	1597838	1597890	parsed	low		
NCPPB 2965	1	donor_reference	The donor reference is IBBF-105	IBBF-105	0	31	1601099	1601159	parsed	medium		
NCPPB 2965	2	isolated_by	This isolate was isolated by ex J.R. Neto	ex J.R. Neto	32	73	1601163	1601205	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2967	1	donor_reference	The donor reference is IBBF-165	IBBF-165	0	31	1604414	1604474	parsed	medium		
NCPPB 2967	2	isolated_by	This isolate was isolated by ex A.G. Zagatto	ex A.G. Zagatto	32	76	1604478	1604523	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2968	1	collection_list	This isolate is also in the collections; ATCC 11633, DSM 19128, CFBP 6864, LMG 27970	ATCC 11633, DSM 19128, CFBP 6864, LMG 27970	0	84	1607230	1607343	parsed	low		
NCPPB 2968	2	isolated_by	This isolate was isolated by ex W.H. Burkholder XV25	ex W.H. Burkholder XV25	85	137	1607347	1607400	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2968	3	source_of_isolate	The source of this isolate was ex D.W. Dye X12	ex D.W. Dye X12	138	184	1607404	1607451	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2969	1	collection_list	This isolate is also in the collections; ATCC 33915, CFBP 2523, ICMP 196, LMG 494, DSMZ 3583	ATCC 33915, CFBP 2523, ICMP 196, LMG 494, DSMZ 3583	0	92	1610078	1610199	parsed	low		
NCPPB 2969	2	isolated_by	This isolate was isolated by ex D.W. Dye ZA6	ex D.W. Dye ZA6	93	137	1610203	1610248	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2970	1	collection_list	This isolate is also in the collections; ATCC 14179, ICMP 220, LMG 809	ATCC 14179, ICMP 220, LMG 809	0	70	1612647	1612746	parsed	low		
NCPPB 2970	2	isolated_by	This isolate was isolated by ex M.K. Bryan 47	ex M.K. Bryan 47	71	116	1612750	1612796	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2970	3	source_of_isolate	The source of this isolate was ex D.W. Dye ZI 2 ex ICPB XP5	ex D.W. Dye ZI 2 ex ICPB XP5	117	176	1612800	1612860	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2973	1	collection_list	This isolate is also in the collections; ATCC 11638, ICPB XC112, M.K. Patel 6, ICMP 358, LMG 675, CFBP 2973	ATCC 11638, ICPB XC112, M.K. Patel 6, ICMP 358, LMG 675, CFBP 2973	0	107	1616042	1616178	parsed	low		
NCPPB 2973	2	isolated_by	This isolate was isolated by M.K. Patel	M.K. Patel	108	147	1616182	1616222	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2973	3	source_of_isolate	The source of this isolate was ex D.W. Dye YD2 ex W.H. Burkholder XC18	ex D.W. Dye YD2 ex W.H. Burkholder XC18	148	218	1616226	1616297	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2977	1	collection_list	This isolate is also in the collections; ATCC 23577, LMG 872, ICMP 5852	ATCC 23577, LMG 872, ICMP 5852	0	71	1619027	1619127	parsed	low		
NCPPB 2977	2	isolated_by	This isolate was isolated by M.K. Patel	M.K. Patel	72	111	1619131	1619171	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2977	3	source_of_isolate	The source of this isolate was ex D.W. Dye WK2 ex M.J. Thirumalachar	ex D.W. Dye WK2 ex M.J. Thirumalachar	112	180	1619175	1619244	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2978	1	collection_list	This isolate is also in the collections; ICMP 2372, LMG 9059	ICMP 2372, LMG 9059	0	60	1621973	1622062	parsed	low		
NCPPB 2978	2	source_of_isolate	The source of this isolate was ex D.W. Dye VNI ex J.J. Joubert Arum 3	ex D.W. Dye VNI ex J.J. Joubert Arum 3	61	130	1622066	1622136	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2982	1	collection_list	This isolate is also in the collections; ICMP 8561, LMG 2167, ATCC 33616, CFBP 2432	ICMP 8561, LMG 2167, ATCC 33616, CFBP 2432	0	83	1625688	1625800	parsed	low		
NCPPB 2982	2	isolated_by	This isolate was isolated by ex M. Goto PC1	ex M. Goto PC1	84	127	1625804	1625848	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2983	1	collection_list	This isolate is also in the collections; ICMP 4294, LMG 702	ICMP 4294, LMG 702	0	59	1628538	1628626	parsed	low		
NCPPB 2983	2	isolated_by	This isolate was isolated by ex M. Goto XPl	ex M. Goto XPl	60	103	1628630	1628674	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2985	1	collection_list	This isolate is also in the collections; CFBP 2533, ICMP 4321, LMG 7314	CFBP 2533, ICMP 4321, LMG 7314	0	71	1631857	1631957	parsed	low		
NCPPB 2985	2	source_of_isolate	The source of this isolate was ex D.W. Dye ZJ12 ex W.J. Kemp 41	ex D.W. Dye ZJ12 ex W.J. Kemp 41	72	135	1631961	1632025	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2986	1	collection_list	This isolate is also in the collections; ICMP 4805, LMG 9037	ICMP 4805, LMG 9037	0	60	1634962	1635051	parsed	low		
NCPPB 2986	2	isolated_by	This isolate was isolated by ex M.L. Moffett 0406	ex M.L. Moffett 0406	61	110	1635055	1635105	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2987	1	collection_list	This isolate is also in the collections; ICPB XP 237	ICPB XP 237	0	52	1638249	1638330	parsed	low		
NCPPB 2987	2	isolated_by	This isolate was isolated by ex D.A. Burdekin	ex D.A. Burdekin	53	98	1638334	1638380	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2997	1	isolated_by	This isolate was isolated by ex R.G. Orellana 14	ex R.G. Orellana 14	0	48	1641603	1641680	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 2998	1	isolated_by	This isolate was isolated by ex R.G. Orellana 19	ex R.G. Orellana 19	0	48	1644903	1644980	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3002	1	collection_list	This isolate is also in the collections; ATCC 35933, ICMP 3125, LMG 5047, CFBP 2532	ATCC 35933, ICMP 3125, LMG 5047, CFBP 2532	0	83	1648163	1648275	parsed	low		
NCPPB 3002	2	isolated_by	This isolate was isolated by ex Y.P. Rao	ex Y.P. Rao	84	124	1648279	1648320	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3003	1	collection_list	This isolate is also in the collections; ICPB XB110, NZRCC 10031, CFBP 2524, ICMP 194, ATCC 49082, LMG 7303	ICPB XB110, NZRCC 10031, CFBP 2524, ICMP 194, ATCC 49082, LMG 7303	0	107	1651521	1651657	parsed	low		
NCPPB 3003	2	isolated_by	This isolate was isolated by ex D.W. Dye Z4	ex D.W. Dye Z4	108	151	1651661	1651705	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3005	1	isolated_by	This isolate was isolated by ex C.F. Robbs IBSP XM1	ex C.F. Robbs IBSP XM1	0	51	1654384	1654464	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3020	1	donor_reference	The donor reference is 426 & 427	426 & 427	0	32	1657649	1657710	parsed	medium		
NCPPB 3022	1	isolated_by	This isolate was isolated by J.C. Lozano CIAT 1185	J.C. Lozano CIAT 1185	0	50	1660894	1660973	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3024	1	isolated_by	This isolate was isolated by D.L. Strider NC334	D.L. Strider NC334	0	47	1663359	1663435	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3026	1	isolated_by	This isolate was isolated by S. Grasso 3	S. Grasso 3	0	40	1666285	1666354	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3027	1	isolated_by	This isolate was isolated by S. Grasso 6	S. Grasso 6	0	40	1669204	1669273	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3028	1	isolated_by	This isolate was isolated by J.R. Neto X-84	J.R. Neto X-84	0	43	1672281	1672353	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3035	1	collection_list	This isolate is also in the collections; CFBP 2534, ICMP 5834, ATCC 9563,	CFBP 2534, ICMP 5834, ATCC 9563,	0	73	1675555	1675657	parsed	low		
NCPPB 3035	2	source_of_isolate	The source of this isolate was ex ATCC 9563 ex W.H. Burkholder XP20	ex ATCC 9563 ex W.H. Burkholder XP20	74	141	1675661	1675729	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3040	1	isolated_by	This isolate was isolated by J.E. Sellwood A895	J.E. Sellwood A895	0	47	1678923	1678999	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3041	1	isolated_by	This isolate was isolated by P. Roberts A905	P. Roberts A905	0	44	1682177	1682250	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3059	1	isolated_by	This isolate was isolated by H. Maraite Z291	H. Maraite Z291	0	44	1688730	1688803	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3060	1	isolated_by	This isolate was isolated by H. Maraite N578	H. Maraite N578	0	44	1692033	1692106	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3061	1	collection_list	This isolate is also in the collections; ICMP 8816, LMG 671	ICMP 8816, LMG 671	0	59	1695289	1695377	parsed	low		
NCPPB 3061	2	isolated_by	This isolate was isolated by M. Maraite R662	M. Maraite R662	60	104	1695381	1695426	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3062	1	collection_list	This isolate is also in the collections; LMG 672	LMG 672	0	48	1698609	1698686	parsed	low		
NCPPB 3062	2	isolated_by	This isolate was isolated by M. Maraite R704	M. Maraite R704	49	93	1698690	1698735	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3066	1	isolated_by	This isolate was isolated by J.E. Sellwood A960	J.E. Sellwood A960	0	47	1701931	1702007	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3078	1	donor_reference	The donor reference is ENA503	ENA503	0	29	1704684	1704742	parsed	medium		
NCPPB 3078	2	isolated_by	This isolate was isolated by ex A. Frenhani	ex A. Frenhani	30	73	1704746	1704790	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3079	1	collection_list	This isolate is also in the collections; ICMP 8919, LMG 9053	ICMP 8919, LMG 9053	0	60	1707212	1707301	parsed	low		
NCPPB 3079	2	isolated_by	This isolate was isolated by C.F. Robbs ENA 2154	C.F. Robbs ENA 2154	61	109	1707305	1707354	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3082	1	isolated_by	This isolate was isolated by C.F. Robbs ENA 2564	C.F. Robbs ENA 2564	0	48	1709775	1709852	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3086	1	collection_list	This isolate is also in the collections; ICMP 6502, LMG 9046	ICMP 6502, LMG 9046	0	60	1713071	1713160	parsed	low		
NCPPB 3086	2	source_of_isolate	The source of this isolate was ex ITCC 29 ex N.M. Pant	ex ITCC 29 ex N.M. Pant	61	115	1713164	1713219	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3092	1	donor_reference	The donor reference is B7090	B7090	0	28	1716423	1716480	parsed	medium		
NCPPB 3092	2	collection_list	This isolate is also in the collections; ICMP 6574, LMG 9045	ICMP 6574, LMG 9045	29	89	1716484	1716545	parsed	low		
NCPPB 3092	3	isolated_by	This isolate was isolated by ex Y.S. Kulkarni	ex Y.S. Kulkarni	90	135	1716549	1716595	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3110	1	isolated_by	This isolate was isolated by C.F. Robbs ENA 2530	C.F. Robbs ENA 2530	0	48	1719009	1719086	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3114	1	collection_list	This isolate is also in the collections; ICMP 6747, LMG 9051	ICMP 6747, LMG 9051	0	60	1721491	1721580	parsed	low		
NCPPB 3114	2	isolated_by	This isolate was isolated by ex N.M. Pant P30	ex N.M. Pant P30	61	106	1721584	1721630	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3114	3	source_of_isolate	The source of this isolate was ex ITCC	ex ITCC	107	145	1721634	1721673	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3119	1	isolated_by	This isolate was isolated by ex J. Mahillon	ex J. Mahillon	0	43	1724894	1724966	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3125	1	isolated_by	This isolate was isolated by M.L. Moffett 0839	M.L. Moffett 0839	0	46	1727669	1727744	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3136	1	isolated_by	This isolate was isolated by J.R. Neto 246	J.R. Neto 246	0	42	1734135	1734206	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3140	1	donor_reference	The donor reference is 120	120	0	26	1736370	1736425	parsed	medium		
NCPPB 3155	1	isolated_by	This isolate was isolated by C. Bazzi 1192-IPV-BO	C. Bazzi 1192-IPV-BO	0	49	1739583	1739661	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3156	1	isolated_by	This isolate was isolated by U. Mazzucchi 1236 IPV-BO	U. Mazzucchi 1236 IPV-BO	0	53	1742818	1742900	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3161	1	donor_reference	The donor reference is B6812	B6812	0	28	1746131	1746188	parsed	medium		
NCPPB 3161	2	isolated_by	This isolate was isolated by ex G. Persley C6	ex G. Persley C6	29	74	1746192	1746238	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3162	1	isolated_by	This isolate was isolated by J.F. Bradbury B6892b	J.F. Bradbury B6892b	0	49	1749655	1749733	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3168	1	donor_reference	The donor reference is B7147	B7147	0	28	1752890	1752947	parsed	medium		
NCPPB 3169	1	collection_list	This isolate is also in the collections; CFBP 7114	CFBP 7114	0	50	1756164	1756243	parsed	low		
NCPPB 3169	2	isolated_by	This isolate was isolated by J.F. Bradbury B 7166	J.F. Bradbury B 7166	51	100	1756247	1756297	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3170	1	isolated_by	This isolate was isolated by J.F. Bradbury B7205	J.F. Bradbury B7205	0	48	1759760	1759837	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3172	1	donor_reference	The donor reference is B7299	B7299	0	28	1762828	1762885	parsed	medium		
NCPPB 3172	2	isolated_by	This isolate was isolated by ex G. Persley 1	ex G. Persley 1	29	73	1762889	1762934	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3173	1	isolated_by	This isolate was isolated by J.F. Bradbury B7343	J.F. Bradbury B7343	0	48	1766166	1766243	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3174	1	donor_reference	The donor reference is B7344b	B7344b	0	29	1768842	1768900	parsed	medium		
NCPPB 3174	2	isolated_by	This isolate was isolated by J.f. Bradbury	J.f. Bradbury	30	72	1768904	1768947	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3176	1	isolated_by	This isolate was isolated by J.F. Bradbury B7380	J.F. Bradbury B7380	0	48	1772167	1772244	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3177	1	donor_reference	The donor reference is B7385	B7385	0	28	1775425	1775482	parsed	medium		
NCPPB 3177	2	isolated_by	This isolate was isolated by ex N.M. Kalyni No3	ex N.M. Kalyni No3	29	76	1775486	1775534	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3178	1	isolated_by	This isolate was isolated by J.F. Bradbury B7440a	J.F. Bradbury B7440a	0	49	1778221	1778299	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3182	1	isolated_by	This isolate was isolated by J.F. Bradbury B 7567	J.F. Bradbury B 7567	0	49	1780693	1780771	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3187	1	collection_list	This isolate is also in the collections; CFBP 7115	CFBP 7115	0	50	1783986	1784065	parsed	low		
NCPPB 3187	2	isolated_by	This isolate was isolated by J.F. Bradbury B 7613a	J.F. Bradbury B 7613a	51	101	1784069	1784120	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3191	1	donor_reference	The donor reference is B7790	B7790	0	28	1787349	1787406	parsed	medium		
NCPPB 3191	2	isolated_by	This isolate was isolated by ex A.L.G. Pereira BM12	ex A.L.G. Pereira BM12	29	80	1787410	1787462	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3191	3	source_of_isolate	The source of this isolate was ex H. Maraite	ex H. Maraite	81	125	1787466	1787511	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3192	1	donor_reference	The donor reference is B7791	B7791	0	28	1790693	1790750	parsed	medium		
NCPPB 3192	2	collection_list	This isolate is also in the collections; NCPPB 3061	NCPPB 3061	29	80	1790754	1790806	parsed	low		
NCPPB 3192	3	isolated_by	This isolate was isolated by ex M. Maraite R662	ex M. Maraite R662	81	128	1790810	1790858	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3194	1	isolated_by	This isolate was isolated by J.F. Bradbury B7797	J.F. Bradbury B7797	0	48	1794086	1794163	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3200	1	donor_reference	The donor reference is B8059	B8059	0	28	1797124	1797181	parsed	medium		
NCPPB 3200	2	isolated_by	This isolate was isolated by J.F. Bradbury	J.F. Bradbury	29	71	1797185	1797228	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3204	1	donor_reference	The donor reference is B8327	B8327	0	28	1800453	1800510	parsed	medium		
NCPPB 3204	2	isolated_by	This isolate was isolated by ex R. Billington	ex R. Billington	29	74	1800514	1800560	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3207	1	isolated_by	This isolate was isolated by J.F. Bradbury B8511	J.F. Bradbury B8511	0	48	1803270	1803347	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3212	1	isolated_by	This isolate was isolated by J.F. Bradbury B 8597	J.F. Bradbury B 8597	0	49	1806519	1806597	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3213	1	donor_reference	The donor reference is B 8600	B 8600	0	29	1809242	1809300	parsed	medium		
NCPPB 3213	2	collection_list	This isolate is also in the collections; ICMP 8918	ICMP 8918	30	80	1809304	1809355	parsed	low		
NCPPB 3213	3	isolated_by	This isolate was isolated by ex B.P. Chakravarti BlP	ex B.P. Chakravarti BlP	81	133	1809359	1809412	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3215	1	donor_reference	The donor reference is B8613	B8613	0	28	1812635	1812692	parsed	medium		
NCPPB 3215	2	isolated_by	This isolate was isolated by ex R. Raemakers 4	ex R. Raemakers 4	29	75	1812696	1812743	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3218	1	donor_reference	The donor reference is B8718	B8718	0	28	1815668	1815725	parsed	medium		
NCPPB 3218	2	isolated_by	This isolate was isolated by C.P. Bennett Y3	C.P. Bennett Y3	29	73	1815729	1815775	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3229	1	donor_reference	The donor reference is Xg 719	Xg 719	0	29	1818969	1819027	parsed	medium		
NCPPB 3229	2	collection_list	This isolate is also in the collections; ICMP 7727, LMG 727, CFBP 2056, ATCC 33803	ICMP 7727, LMG 727, CFBP 2056, ATCC 33803	30	112	1819031	1819114	parsed	low		
NCPPB 3229	3	isolated_by	This isolate was isolated by ex J. Herzog Xg 102	ex J. Herzog Xg 102	113	161	1819118	1819167	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3230	1	donor_reference	The donor reference is 724	724	0	26	1822643	1822698	parsed	medium		
NCPPB 3230	2	collection_list	This isolate is also in the collections; ICMP 7726, LMG 728, CFBP 2057, ATCC 33804	ICMP 7726, LMG 728, CFBP 2057, ATCC 33804	27	109	1822702	1822785	parsed	low		
NCPPB 3230	3	isolated_by	This isolate was isolated by ex J. Herzog Xg 122	ex J. Herzog Xg 122	110	158	1822789	1822838	parsed	medium	person_or_source_text_not_automatically_an_identifier	
NCPPB 3231	1	donor_reference	The donor reference is Xg 729	Xg 729	0	29	1826317	1826375	parsed	medium		
