review_priority	ncppb_number	ncppb_current_name	current_accepted_biosamples	review_candidate_biosamples	candidate_organisms	matched_identifiers	matched_identifier_types	matched_fields	evidence_classes	taxonomy_statuses	review_reasons	discovery_tracks	biosample_urls	review_question	reviewer_decision	reviewer_notes
P2	NCPPB 1758	Xanthomonas euvesicatoria pv. coriandri (Srinivasan et al. 1961) Harrison et al. 2023	SAMN19988974	SAMN19988974	Xanthomonas campestris pv. coriandri	NCPPB 1758	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988974	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1759	Xanthomonas campestris pv. bilvae Chakravarti et al. 1984	SAMN49561544; SAMEA114332028	SAMN49561544; SAMEA114332028	Xanthomonas citri pv. bilvae; Xanthomonas citri	NCPPB 1759	ncppb_number	strain; isolate	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN49561544; https://www.ncbi.nlm.nih.gov/biosample/SAMEA114332028	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1760	Xanthomonas euvesicatoria pv. spermacoces (Srinivasan & Patel 1956) Harrison et al. 2023	SAMN19988975	SAMN19988975	Xanthomonas campestris pv. spermacoces	NCPPB 1760	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988975	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1787	Xanthomonas euvesicatoria pv. vernoniae (Patel et al. 1968) Harrison et al. 2023	SAMN19988976	SAMN19988976	Xanthomonas campestris pv. veroniae	NCPPB 1787	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988976	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1828	Xanthomonas euvesicatoria pv. euphorbiae (Sabet et al.1969) Harrison et al. 2023	SAMN19988977	SAMN19988977	Xanthomonas campestris pv. euphorbiae	NCPPB 1828	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988977	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1932	Xanthomonas campestris pv. guizotiae (Yirgou 1964) Dye 1978	SAMN56511365	SAMN56511365	Xanthomonas arboricola pv. guizotiae	NCPPB 1932	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511365	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1933	Xanthomonas campestris pv. guizotiae (Yirgou 1964) Dye 1978	SAMN56511366	SAMN56511366	Xanthomonas arboricola pv. guizotiae	NCPPB 1933	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN56511366	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 1934	Xanthomonas campestris pv. incanae (Kendrick & Baker 1942) Dye 1978		SAMN36318705	Xanthomonas campestris pv. incanae	NCPPB 1934	ncppb_number	title	unstructured_exact_identifier	same_name	exact_identifier_only_in_title	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN36318705	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 1938	Xanthomonas campestris pv. plantaginis (Thornberry & Anderson 1937) Dye 1978		SAMN36318706	Xanthomonas campestris pv. plantaginis	NCPPB 1938	ncppb_number	title	unstructured_exact_identifier	same_name	exact_identifier_only_in_title	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN36318706	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 1946	Xanthomonas campestris pv. raphani (White 1930) Dye 1978	SAMN36368324; SAMN22552835; SAMN17385960	SAMN36315929	Xanthomonas campestris pv. raphani	NCPPB 1946	ncppb_number	title	unstructured_exact_identifier	same_name	exact_identifier_only_in_title	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN36315929	Is the title-only exact identifier sufficient when structured identity fields are incomplete?		
P2	NCPPB 2057	Xanthomonas euvesicatoria pv. heliotropii (Sabet et al.1969) Harrison et al. 2023	SAMN19988978	SAMN19988978	Xanthomonas campestris pv. heliotropii	NCPPB 2057	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988978	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2346	Xanthomonas phaseoli pv. passiflorae (Pereira 1969) Harrison et al. 2023	SAMN19988995	SAMN19988995	Xanthomonas campestris pv. passiflorae	NCPPB 2346	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988995	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2372	Xanthomonas euvesicatoria pv. fici (Cavara 1905) Harrison et al. 2023	SAMN42175581; SAMN19988979	SAMN42175581; SAMN19988979	Xanthomonas campestris pv. fici	NCPPB 2372	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN42175581; https://www.ncbi.nlm.nih.gov/biosample/SAMN19988979	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2373	Xanthomonas euvesicatoria pv. carissae (Moniz et al. 1964) Harrison et al. 2023	SAMN19988980	SAMN19988980	Xanthomonas campestris pv. carissae	NCPPB 2373	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988980	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2475	Xanthomonas campestris pv. viticola (Nayudu 1972) Dye 1978	SAMN26688428; SAMEA3139044	SAMN26688428; SAMEA3139044	Xanthomonas citri pv. viticola	LMG 965	collection_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN26688428; https://www.ncbi.nlm.nih.gov/biosample/SAMEA3139044	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2498	Xanthomonas euvesicatoria pv. convolvuli (Nagarkoti et al.1973) Harrison et al. 2023	SAMN19988981	SAMN19988981	Xanthomonas campestris pv. convolvuli	NCPPB 2498	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988981	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2827	Xanthomonas cerealis pv. cerealis Tambong et al. 2024		SAMN39911788	Xanthomonas hortorum pv. hederae	5690	donor_reference	strain	structured_exact_identifier	same_genus_different_species	medium_identifier_requires_corroboration; same_genus_different_species	other_references	https://www.ncbi.nlm.nih.gov/biosample/SAMN39911788	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 2877	Xanthomonas campestris pv. cannabis Severin 1978	SAMN03164131	SAMN03164131	Xanthomonas cannabis pv. cannabis	NCPPB 2877	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN03164131	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 2922	Xanthomonas sp. Dowson 1939	SAMN43286070; SAMN42485110	SAMN42485110	Xanthomonas	NCPPB 2922	ncppb_number	strain	structured_exact_identifier	taxonomy_unresolved	taxonomy_unresolved	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN42485110	Does the structured evidence support retaining this BioSample as a strain-level match?		
P2	NCPPB 2932	Xanthomonas euvesicatoria pv. daturae (Jain, Dange & Siradhana 1975) Harrison et al. 2023	SAMN19988982	SAMN19988982	Xanthomonas campestris pv. daturae	NCPPB 2932	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN19988982	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
P2	NCPPB 3005	Xanthomonas marantae Zagatto & Pereira 1963	SAMN41997674	SAMN41997674	Xanthomonas sp. NCPPB 3005	NCPPB 3005	ncppb_number	strain	structured_exact_identifier	same_genus_different_species	same_genus_different_species	ncppb_number	https://www.ncbi.nlm.nih.gov/biosample/SAMN41997674	Can the NCPPB and NCBI species names be reconciled as historical/current names for the same strain?		
