ncppb_number	ncppb_current_name	snapshot_status	all_searchable_identifiers	confirmed_biosample_accessions	provisional_biosample_accessions	ncppb_track_biosample_accessions	other_references_track_biosample_accessions	historical_v1_recheck_biosample_accessions	assembly_accessions	assembly_levels	sra_run_accessions	bioproject_accessions	provisional_assembly_accessions	provisional_sra_run_accessions	provisional_bioproject_accessions	sequence_availability_category	identity_match_status	taxonomy_consistency_status	taxonomy_review_required	manual_review_required	review_reason	accepted_candidate_count	review_candidate_count	rejected_candidate_count
NCPPB 1629	Xanthomonas axonopodis pv. bauhiniae (Padhya et al. 1965) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1629	SAMN42283062		SAMN42283062					SRR29695112	PRJNA1131443				raw_reads_only	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1630	Xanthomonas arboricola pv. celebensis (Gaumann 1923) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1630; ZZ24	SAMN02854337		SAMN02854337			GCF_000724915.1	Scaffold	SRR1515237	PRJNA252657				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1632	Xanthomonas oryzae pv. oryzicola (Fang et al. 1957) Swings et al. 1990	present_in_v2_snapshot	NCPPB 1632													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1633	Xanthomonas citri pv. vignicola (Burkholder 1944) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1633; CFBP 7111	SAMN07252112			SAMN07252112		GCF_002218245.1	Complete Genome		PRJNA390891				complete_genome_available	confirmed_exact_collection_identifier	same_name	no	no		1	0	0
NCPPB 1638	Xanthomonas sp. Dowson 1939	present_in_v2_snapshot	NCPPB 1638; B2290	SAMN42161501		SAMN42161501			GCF_041475635.1	Complete Genome	SRR29644175; SRR30040123	PRJNA1129555				complete_genome_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1645	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	present_in_v2_snapshot	NCPPB 1645; B2340; SAL/163/B	SAMN36368322		SAMN36368322			GCA_035023525.1	Contig	SRR25205307	PRJNA988133				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1646	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1646; B2324A		SAMN03175008								GCF_000785925.1	SRR2052876	PRJNA266873	ambiguous_needs_review	conflicting_exact_identifier	same_name	no	yes	conflicting_ncppb_identifier	0	1	0
NCPPB 1648	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	present_in_v2_snapshot	NCPPB 1648; B2305													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
NCPPB 1654	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	present_in_v2_snapshot	NCPPB 1654; B2330; LMG 837	SAMN03142402		SAMN03142402			GCF_000775185.1	Contig	SRR2052433	PRJNA264775				draft_assembly_available	confirmed_exact_ncppb_identifier	same_name	no	no		1	0	0
NCPPB 1659	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	present_in_v2_snapshot	NCPPB 1659; B2404													no_confirmed_public_data	no_confirmed_identity_match	not_assessed_no_confirmed_match	no	no		0	0	0
