ncppb_number	current_name	name_as_received	other_references	other_collection_numbers	identifier_candidates	current_search_identifiers	high_confidence_identifiers	manual_only_identifiers	has_confirmed_biosample	accepted_biosample_count	accepted_biosample_accessions	accepted_biosample_organisms	accepted_biosample_titles	matched_identifiers	matched_identifier_types	review_candidate_count	non_xanthomonas_review_rows	no_hit_rows	conflict_rows	conflicting_accessions	taxon_only_rows	taxon_only_accessions	rescue_candidate_count	rescue_candidate_accessions	accepted_needs_review_count	accepted_needs_review_accessions	top_reject_reasons	search_result_review_status	review_priority	review_note
NCPPB 186	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939							no	0						1	1	0	0		0		0		0		non_xanthomonas_organism:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 187	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas vasculorum (Cobb 1893) Dowson 1939							no	0						1	1	0	0		0		0		0		non_xanthomonas_organism:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 195	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939							no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 196	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939							no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 200	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939							no	0						1	1	0	0		0		0		0		non_xanthomonas_organism:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 205	Xanthomonas hyacinthi (Wakker 1883) Vauterin et al. 1995	Xanthomonas hyacinthi							no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 206	Xanthomonas vasicola pv. vasculorum (Cobb 1894) Lang et al. 2017	Xanthomonas vasculorum (Cobb 1893) Dowson 1939	This isolate is also in the collections; ICMP 326, LMG 8284, CFBP 7162	ICMP 326; LMG 8284; CFBP 7162	ICMP 326; LMG 8284; CFBP 7162	ICMP 326; LMG 8284; CFBP 7162	ICMP 326; LMG 8284; CFBP 7162		yes	2	SAMN36357966; SAMN00991256	Xanthomonas vasicola; Xanthomonas vasicola pv. vasculorum NCPPB 206	NCPPB 206; Xvv NCPPB206	NCPPB 206	ncppb_number	3	0	3	0		0		0		0		query_returned_no_biosample_records:3	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 208	Xanthomonas albilineans (Ashby 1929) Dowson 1943	X. albilineans var. paspali. See Orian (1962)	This isolate was isolated by G. Orian PC5		PC 5	PC 5			no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 210	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	This isolate was isolated by M.K. Patel						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 211	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson							yes	1	SAMN13783128	Xanthomonas citri pv. citri	Microbe sample from Xanthomonas citri pv. citri	NCPPB 211	ncppb_number	1	0	0	1	SAMN42161509	0		1	SAMN42161509	0		conflicting_ncppb_number:2864:1	manual_review_required	P2_conflicting_identifier_review	Rejected/review candidates include conflicting NCPPB numbers.
NCPPB 212	Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov.								no	0						2	0	0	2	SAMN42161511; SAMN42161510	0		2	SAMN42161510; SAMN42161511	0		conflicting_ncppb_number:2866:1; conflicting_ncppb_number:2865:1	manual_review_required	P2_conflicting_identifier_review	Rejected/review candidates include conflicting NCPPB numbers.
NCPPB 220	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	The source of this isolate was ex C. Elliott						yes	1	SAMN03262509	Xanthomonas phaseoli pv. phaseoli	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 220	ncppb_number	0	0	0	0		0		0		0			confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 226	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson							yes	1	SAMN13783184	Xanthomonas citri pv. citri	Microbe sample from Xanthomonas citri pv. citri	NCPPB 226	ncppb_number	0	0	0	0		0		0		0			confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 230	Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995	Xanthomonas carotae Kendrick 1934							yes	1	SAMN40354569	Xanthomonas sp. WHRI 8391	Microbe sample from Xanthomonas sp. WHRI 8391	NCPPB 230	ncppb_number	0	0	0	0		0		0		0			confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 232	Xanthomonas hortorum pv. vitians Morinière et al. 2020	X. lactucaescariolae							yes	1	SAMEA6962647	Xanthomonas hortorum pv. vitians	Xanthomonas hortorum pv. vitians CFBP 498	NCPPB 232	ncppb_number	0	0	0	0		0		0		0			confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 240	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939	This isolate was isolated by W.J. Dowson The source of this isolate was .						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 241	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas begoniae Takimoto 1934	The source of this isolate was ex W.J. Dowson						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 243	Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023								no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 273	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	The source of this isolate was ex A.C. Brown B67		B 67	B 67		B 67	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 279	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939	This isolate was isolated by P.O. Wiehe						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 290	Xanthomonas albilineans (Ashby 1929) Dowson 1943	Xanthomonas albilineans	The donor reference is 38/2		IS 38/2			IS 38/2	no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 293	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	This isolate was isolated by R.A. Lelliott						no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 301	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939							yes	1	SAMN03175018	Xanthomonas phaseoli pv. phaseoli	Microbe sample from Xanthomonas phaseoli pv. phaseoli	NCPPB 301	ncppb_number	0	0	0	0		0		0		0			confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 302	Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	The donor reference is XP 8 The source of this isolate was .		XP 8	XP 8			no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 305	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas pelargonii							no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 315	Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov.	Xanthomonas malvacearum (Smith 1901) Dowson 1939	The donor reference is XS52/5		XS 52/5	XS 52/5			no	0						17	16	1	0		0		0		0		non_xanthomonas_organism:16; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 347	Xanthomonas campestris pv. armoraciae (McCulloch 1929) Dye 1978	Pseudomonas campestris var. armoraciae (McCulloch 1929) Krasilnikov 1949	This isolate is also in the collections; ICMP 7, LMG 535 This isolate was isolated by G.B. Wallace	ICMP 7; LMG 535	ICMP 7; LMG 535	ICMP 7; LMG 535	ICMP 7; LMG 535		yes	4	SAMN22552829; SAMN17385947	Xanthomonas campestris pv. armoraciae; Xanthomonas campestris	Microbe sample from Xanthomonas campestris pv. armoraciae; MIGS Cultured Bacterial/Archaeal sample from Xanthomonas campestris	NCPPB 347	ncppb_number	4	4	0	0		0		0		0		non_xanthomonas_organism:4	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 348	Xanthomonas phaseoli pv. manihotis (Bondar 1912) Constantin et al. 2016 comb. nov.	Xanthomonas manihotis (Berthet & Bondar 1915) Starr 1946							no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 362	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis							no	0						1	0	1	0		0		0		0		query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 381	Xanthomonas citri pv. fuscans (Schaad et al. 2007) Constantin et al. 2016 comb. nov.	Xanthomonas phaseoli (Smith 1897) Dowson 1939	The donor reference is ZK4 This isolate is also in the collections; ATCC 19315, LMG 826, ICMP 239, CFBP 6165 The source of this isolate was ex W.A.F. Hagborg	ATCC 19315; LMG 826; ICMP 239; CFBP 6165	ATCC 19315; LMG 826; ICMP 239; CFBP 6165; ZK 4	ATCC 19315; LMG 826; ICMP 239; CFBP 6165; ZK 4	ATCC 19315; LMG 826; ICMP 239; CFBP 6165		yes	4	SAMN40354536; SAMN03142398; SAMN02903172; SAMN06829306	Xanthomonas citri pv. fuscans; Xanthomonas citri pv. phaseoli var. fuscans	Microbe sample from Xanthomonas citri pv. fuscans; Xanthomonas citri pv. fuscans Genome sequencing and assembly	NCPPB 381; LMG 826; CFBP 6165	ncppb_number; other_reference_identifier	32	31	1	0		0		0		0		non_xanthomonas_organism:31; query_returned_no_biosample_records:1	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 400	Xanthomonas hortorum pv. pelargonii (Brown 1923) Vauterin et al. 1995	Xanthomonas pelargonii	This isolate was isolated by E. Hellmers 69		HELLMERS 69	HELLMERS 69		HELLMERS 69	no	0						2	0	2	0		0		0		0		query_returned_no_biosample_records:2	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 403	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939	This isolate was isolated by D.W. Dye Ql						no	0						1	1	0	0		0		0		0		non_xanthomonas_organism:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 404	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris (Pammel 1895) Dowson 1939	This isolate was isolated by D.W. Dye Q2		Q 2	Q 2		Q 2	yes	1	SAMN36346971	Xanthomonas campestris pv. campestris	Genome sequencing of Xcc WHRI 6380 (NCPPB 404)	NCPPB 404	ncppb_number	100	100	0	0		0		0		0		non_xanthomonas_organism:100	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 405	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	This isolate was isolated by D.W. Dye R1		R 1	R 1		R 1	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 406	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	The donor reference is R This isolate was isolated by D.W. Dye R2		R 2	R 2		R 2	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 407	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	This isolate was isolated by D.W. Dye R3		R 3	R 3		R 3	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 408	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	This isolate was isolated by D.W. Dye R4		R 4	R 4		R 4	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 409	Xanthomonas citri (Hasse 1915) Gabriel et al. 1989	Xanthomonas citri (Hasse 1915) Dowson	This isolate is also in the collections; ICMP 24, LMG 682, CFBP 2525 This isolate was isolated by D.W. Dye R5	ICMP 24; LMG 682; CFBP 2525	ICMP 24; LMG 682; CFBP 2525; R 5	ICMP 24; LMG 682; CFBP 2525; R 5	ICMP 24; LMG 682; CFBP 2525	R 5	yes	2	SAMEA114331998; SAMN13783182	Xanthomonas citri pv. citri	Xanthomonas citri pv. citri NCPPB 409; Microbe sample from Xanthomonas citri pv. citri	NCPPB 409; CFBP 2525	ncppb_number; other_reference_identifier	118	118	0	0		0		0		0		non_xanthomonas_organism:118	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 410	Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov.	Xanthomonas citri (Hasse 1915) Dowson	This isolate was isolated by D.W. Dye R6		R 6	R 6		R 6	no	0						101	100	0	1	SAMEA6962652	0		1	SAMEA6962652	0		non_xanthomonas_organism:100; conflicting_ncppb_number:940:1	manual_review_required	P2_conflicting_identifier_review	Rejected/review candidates include conflicting NCPPB numbers.
NCPPB 411	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	The donor reference is S3 This isolate is also in the collections; ICMP 35, CFBP 2528, LMG 747, ATCC 49083	ICMP 35; CFBP 2528; LMG 747; ATCC 49083	ICMP 35; CFBP 2528; LMG 747; ATCC 49083; S 3	ICMP 35; CFBP 2528; LMG 747; ATCC 49083; S 3	ICMP 35; CFBP 2528; LMG 747; ATCC 49083	S 3	yes	2	SAMN03352151; SAMN43400626	Xanthomonas arboricola pv. juglandis	Microbe sample from Xanthomonas arboricola pv. juglandis; MIGS Cultured Bacterial/Archaeal sample from Xanthomonas arboricola pv. juglandis	CFBP 2528; ATCC 49083	other_reference_identifier	105	104	1	0		0		0		0		non_xanthomonas_organism:104; query_returned_no_biosample_records:1	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 412	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	This isolate was isolated by D.W. Dye S6		S 6	S 6		S 6	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 414	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	This isolate was isolated by D.W. Dye S10		S 10	S 10		S 10	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 415	Xanthomonas arboricola pv. juglandis (Pierce 1901) Vauterin et al. 1995	Xanthomonas juglandis	This isolate was isolated by D.W. Dye S12		S 12	S 12		S 12	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 416	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	This isolate is also in the collections; ATCC 19316, ICMP 51, LMG 852, CFBP 2535 This isolate was isolated by D.W. Dye Tl	ATCC 19316; ICMP 51; LMG 852; CFBP 2535	ATCC 19316; ICMP 51; LMG 852; CFBP 2535	ATCC 19316; ICMP 51; LMG 852; CFBP 2535	ATCC 19316; ICMP 51; LMG 852; CFBP 2535		yes	3	SAMN41996497; SAMN39942831; SAMN00188641	Xanthomonas arboricola pv. pruni	Microbe sample from Xanthomonas arboricola pv. pruni; Xanthomonas arboricola pv. pruni SSH DNA fragments	NCPPB 416; ICMP 51	ncppb_number; other_reference_identifier	9	8	1	0		0		0		0		non_xanthomonas_organism:8; query_returned_no_biosample_records:1	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 418	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	This isolate was isolated by D.W. Dye T6		T 6	T 6		T 6	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 419	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	This isolate was isolated by D.W. Dye T7		T 7	T 7		T 7	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 420	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	This isolate was isolated by D.W. Dye T8		T 8	T 8		T 8	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 421	Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995	Xanthomonas pruni	This isolate was isolated by D.W. Dye T9		T 9	T 9		T 9	no	0						101	100	1	0		0		0		0		non_xanthomonas_organism:100; query_returned_no_biosample_records:1	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 422	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	This isolate is also in the collections; ICMP 63, LMG 911, ATCC 35937 This isolate was isolated by D.W. Dye X1	ICMP 63; LMG 911; ATCC 35937	ICMP 63; LMG 911; ATCC 35937; X 1	ICMP 63; LMG 911; ATCC 35937; X 1	ICMP 63; LMG 911; ATCC 35937	X 1	yes	2	SAMN05823154; SAMN02471773	Xanthomonas vesicatoria; Xanthomonas vesicatoria ATCC 35937	Copper-resistant Xanthomonas vesicatoria LMG911; Sample from Xanthomonas vesicatoria ATCC 35937	LMG 911; ATCC 35937	other_reference_identifier	104	103	1	0		0		0		0		non_xanthomonas_organism:103; query_returned_no_biosample_records:1	confirmed_biosample_match	confirmed_current_algorithmic_match	At least one accepted BioSample match and no current high-priority review flag.
NCPPB 423	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	This isolate is also in the collections; ICMP 65, LMG 916 This isolate was isolated by D.W. Dye X3	ICMP 65; LMG 916	ICMP 65; LMG 916; X 3	ICMP 65; LMG 916; X 3	ICMP 65; LMG 916	X 3	no	0						104	102	2	0		0		0		0		non_xanthomonas_organism:102; query_returned_no_biosample_records:2	no_confirmed_match_yet	no_confirmed_biosample_match	No accepted BioSample match in the current local-evidence filter output.
NCPPB 424	Xanthomonas vesicatoria (ex Doidge 1920) Vauterin et al. 1995	Xanthomonas vesicatoria (Doidge 1920) Dowson 1939	This isolate is also in the collections; ICMP 66, LMG 917 This isolate was isolated by D.W. Dye X4	ICMP 66; LMG 917	ICMP 66; LMG 917; X 4	ICMP 66; LMG 917; X 4	ICMP 66; LMG 917	X 4	no	0						107	105	1	1	SAMEA4722874	0		1	SAMEA4722874	0		non_xanthomonas_organism:105; conflicting_ncppb_number:4675:1; query_returned_no_biosample_records:1	manual_review_required	P2_conflicting_identifier_review	Rejected/review candidates include conflicting NCPPB numbers.
