ncppb_number	other_references
NCPPB 3717	This isolate was isolated by A. Sletten 80-10
NCPPB 3718	This isolate was isolated by A. Sletten 80-18
NCPPB 3719	This isolate was isolated by A. Sletten 80-23
NCPPB 3720	This isolate was isolated by A. Sletten 87-16
NCPPB 3722	This isolate was isolated by A. Sletten 84-20
NCPPB 3742	The donor reference is IBSBF 392 The source of this isolate was ex D. Zagoty XC-8
NCPPB 3743	This isolate was isolated by J.R. Neto IBSBF 90
NCPPB 3744	This isolate is also in the collections; ICMP 7492 This isolate was isolated by J.R. Neto IBSBF 341
NCPPB 3753	This isolate is also in the collections; ICMP 9854 This isolate was isolated by Y. Takiwawa XCN 8201 (546)
NCPPB 3754	This isolate is also in the collections; ICMP 9857 This isolate was isolated by Y. Takiwawa XCN 8203 (548)
NCPPB 3758	The donor reference is IBSBF 771 The source of this isolate was ex I.M.G. Almeida
NCPPB 3759	This isolate is also in the collections; ICMP 12547 This isolate was isolated by R. Chand 1
NCPPB 3761	This isolate was isolated by R. Chand 4
NCPPB 3776	This isolate was isolated by D.E. Stead
NCPPB 3786	The donor reference is 9 This isolate was isolated by ex K.I. Beltyukova 9
NCPPB 3795	This isolate is also in the collections; ICMP 11060 This isolate was isolated by J. Duff 19207
NCPPB 3796	This isolate is also in the collections; ICMP 11059 This isolate was isolated by J. Duff 19206
NCPPB 3797	This isolate was isolated by J.E. Sellwood A5125/
NCPPB 3799	This isolate was isolated by J.E. Sellwood A5128/1
NCPPB 3800	The donor reference is 13
NCPPB 3801	The donor reference is 14
NCPPB 3829	This isolate was isolated by A. Sletten 78-38
NCPPB 3830	This isolate was isolated by A. Sletten 80-20
NCPPB 3831	This isolate was isolated by A. Sletten 80-22
NCPPB 3832	This isolate was isolated by J.E. Sellwood A6340
NCPPB 3870	This isolate was isolated by M Scortichini ISPAVE-B-018
NCPPB 3875	This isolate was isolated by M Scortichini ISPAVE-B- 016
NCPPB 3876	This isolate was isolated by M Scortichini ISPAVE-B-017
NCPPB 3877	This isolate was isolated by M Scortichini ISPAVE-B-004
NCPPB 3878	This isolate was isolated by M Scortichini ISPAVE-B-006
NCPPB 3880	The donor reference is A5922
NCPPB 3883	This isolate was isolated by J.D. Mihail 90-101 The source of this isolate was ex C.N. Hodge
NCPPB 3884	This isolate was isolated by J.D. Mihail 90-101 The source of this isolate was ex C.N. Hodge
NCPPB 3885	This isolate was isolated by R. Chand BHV RCI
NCPPB 3886	This isolate was isolated by R. Chand RC2A
NCPPB 3887	This isolate was isolated by R. Chand RC2B
NCPPB 3888	This isolate is also in the collections; ICMP 12476 This isolate was isolated by R. Chand RC4B
NCPPB 3890	This isolate was isolated by A. Aspin A6220
NCPPB 3925	The donor reference is RCCP
NCPPB 3926	The donor reference is RCIPO
NCPPB 3927	The donor reference is IBSBF 1080 This isolate was isolated by ex V.A. Malarotta Jr. The source of this isolate was ex IBSBF
NCPPB 3931	This isolate was isolated by J.E. Sellwood & J.K. Wilson A6520/1
NCPPB 3932	This isolate was isolated by J.E. Sellwood & J.K. Wilson A5420/2
NCPPB 3942	This isolate was isolated by L. O'Garro W4
NCPPB 3943	This isolate was isolated by L. O'Garro G6
NCPPB 3944	This isolate was isolated by L. O'Garro Fr 58B
NCPPB 3947	The donor reference is IMI B9313 This isolate was isolated by J.Bradbury
NCPPB 3948	The donor reference is IMI B9336 This isolate was isolated by J.Bradbury
NCPPB 3949	The donor reference is IMI B11542 This isolate was isolated by J.Bradbury
NCPPB 3950	The donor reference is IMI B11688 This isolate was isolated by J.Bradbury
NCPPB 3951	The donor reference is IMI B9658 This isolate was isolated by J.Bradbury
NCPPB 3953	The donor reference is IMI B9124 This isolate was isolated by J.Bradbury
NCPPB 3954	The donor reference is IMI B11393 This isolate was isolated by J.Bradbury
NCPPB 3955	The donor reference is IMI B11426 This isolate was isolated by J.Bradbury
NCPPB 3956	The donor reference is IMI B11680b This isolate was isolated by J. Bradbury
NCPPB 3957	The donor reference is IMI B11059 This isolate was isolated by J.Bradbury
NCPPB 3959	The donor reference is IMI B102166 This isolate was isolated by J.Bradbury
NCPPB 3960	This isolate was isolated by A. Aspin CSL962462
NCPPB 4013	The donor reference is 6 This isolate is also in the collections; ICMP 10007
NCPPB 4014	The donor reference is SB-K
NCPPB 4015	The donor reference is M-9
NCPPB 4031	The donor reference is 972200 This isolate was isolated by A. Aspin The source of this isolate was ADAS 97001669
NCPPB 4032	The donor reference is 972270 This isolate was isolated by A. Aspin
NCPPB 4033	The donor reference is 700a This isolate was isolated by ex. F. Sahin
NCPPB 4034	The donor reference is 701a This isolate was isolated by ex. F. Sahin
NCPPB 4037	The donor reference is 981703 This isolate was isolated by A Aspin
NCPPB 4058	The donor reference is 985855 This isolate was isolated by H. Stanford
NCPPB 4181	The donor reference is 463
NCPPB 4183	The donor reference is PD2806 This isolate is also in the collections; 17065 This isolate was isolated by JD Janse
NCPPB 4210	This isolate was isolated by Helena Stanford
NCPPB 4231	The donor reference is 2011627 This isolate was isolated by H. Stanford
NCPPB 4232	The donor reference is 2011626 This isolate was isolated by H. Stanford
NCPPB 4321	The donor reference is XV938 This isolate is also in the collections; DSM 18975
NCPPB 4322	The donor reference is XV1220
NCPPB 4323	The donor reference is XV444
NCPPB 4324	The donor reference is XV448
NCPPB 4326	The donor reference is Xcz A5
NCPPB 4340	The donor reference is UN-20506424 This isolate was isolated by Helena Stanford The source of this isolate was Diagnosis lab. Ex Zinnia material
NCPPB 4341	The donor reference is VdM4 This isolate is also in the collections; LMG 471 This isolate was isolated by M.Beramis The source of this isolate was LMG
NCPPB 4342	The donor reference is Dsk 129 This isolate is also in the collections; ICMP 8923, LMG 12141 This isolate was isolated by M. de Kam The source of this isolate was ICMP
NCPPB 4343	The donor reference is 1601-1 This isolate is also in the collections; ICMP 12545, CFBP 1976,Samson 1601.1, LMG 947 This isolate was isolated by R.Sampson The source of this isolate was ICMP
NCPPB 4344	The donor reference is 03-29991 This isolate is also in the collections; ICMP 9991 This isolate was isolated by K.Luo The source of this isolate was ICMP
NCPPB 4345	The donor reference is 1 This isolate is also in the collections; ICMP 8306. LMG 9043 This isolate was isolated by R. Easwaramurthy The source of this isolate was ICMP
NCPPB 4346	The donor reference is G2 This isolate is also in the collections; ICMP 8788 This isolate was isolated by Z. Fang The source of this isolate was ICMP
NCPPB 4347	The donor reference is Ma 2 This isolate is also in the collections; ICMP 11536, ATCC 51262 This isolate was isolated by M. Goto The source of this isolate was ICMP
NCPPB 4348	This isolate is also in the collections; ICMP 8949, ITCC This isolate was isolated by Durgapal. J.C. The source of this isolate was ICMP
NCPPB 4349	The donor reference is B6 This isolate is also in the collections; ICMP 9627, ATCC 49152 This isolate was isolated by L.E.Claflin The source of this isolate was ICMP
NCPPB 4350	The donor reference is X259 (87-56A) This isolate is also in the collections; LMG 8678, ICMP 9513, ATCC 700187 This isolate was isolated by A.R. Chase The source of this isolate was ICMP
NCPPB 4351	The donor reference is FC1 This isolate is also in the collections; ICMP 9261, IBSF 575 This isolate was isolated by J.R.Neto The source of this isolate was ICMP
NCPPB 4352	The donor reference is Zo2 This isolate is also in the collections; ICMP 8787, LMG 9060 This isolate was isolated by X.Z.Ren The source of this isolate was ICMP
NCPPB 4353	The donor reference is TC1 This isolate is also in the collections; ICMP 6774, LMG 8684, NZRCC 10488 This isolate was isolated by K.Uehara The source of this isolate was ICMP
NCPPB 4355	The donor reference is CFBP 6369 This isolate is also in the collections; CFBP 6369 The source of this isolate was CFBP
NCPPB 4356	The donor reference is CFBP 4188 This isolate is also in the collections; CFBP 4188, ICMP 16775 The source of this isolate was CFBP
NCPPB 4363	The donor reference is ICMP 2415 This isolate is also in the collections; ICMP 2415, CFBP 7260 This isolate was isolated by J.YOUNG
NCPPB 4364	The donor reference is ICMP 6465 This isolate is also in the collections; ICMP 6465, CFBP 7262 This isolate was isolated by J.YOUNG
NCPPB 4367	The donor reference is ICMP 16473 This isolate is also in the collections; ICMP 16473 This isolate was isolated by J.YOUNG
NCPPB 4372	The donor reference is 618 This isolate is also in the collections; IBSBF 618 This isolate was isolated by J.Neto The source of this isolate was IBSBF
NCPPB 4373	The donor reference is 1472 This isolate is also in the collections; IBSBF 1472 This isolate was isolated by V.A.Malavolta The source of this isolate was IBSBF
NCPPB 4374	The donor reference is 1497 This isolate is also in the collections; IBSBF 1497 This isolate was isolated by J.Neto The source of this isolate was IBSBF
NCPPB 4375	The donor reference is 1594 This isolate is also in the collections; IBSBF 1594, FDC 012 This isolate was isolated by R.P.Leite Jr. The source of this isolate was IBSBF
NCPPB 4376	The donor reference is 1925 This isolate is also in the collections; IBSBF 1925, LMG 9325 This isolate was isolated by D.W.Gabriel The source of this isolate was IBSBF
NCPPB 4377	The donor reference is 1583 This isolate is also in the collections; IBSBF 1583, Xc 90-78-4-3 This isolate was isolated by B.I.Canteros The source of this isolate was IBSBF
NCPPB 4378	The donor reference is 034/LRA/05 This isolate is also in the collections; CFBP 7166 The source of this isolate was Valentine Aritua
NCPPB 4379	The donor reference is KY44 The source of this isolate was Valentine Aritua
NCPPB 4380	The donor reference is 038/KBA/05 The source of this isolate was Valentine Aritua
NCPPB 4381	The donor reference is 014/LUW/05 The source of this isolate was Valentine Aritua
NCPPB 4383	The donor reference is 071/WSK/05 The source of this isolate was Valentine Aritua
NCPPB 4384	The donor reference is 041/NSG/05 The source of this isolate was Valentine Aritua
NCPPB 4385	The donor reference is 031/KIB/05 The source of this isolate was Valentine Aritua
NCPPB 4386	The donor reference is 005/WKS/05 This isolate is also in the collections; CFBP 7167 The source of this isolate was Valentine Aritua
NCPPB 4387	The donor reference is IMI 392223 This isolate is also in the collections; CFBP 7168 The source of this isolate was Valentine Aritua
NCPPB 4388	The donor reference is IMI 392224 This isolate is also in the collections; CFBP 7169 The source of this isolate was Valentine Aritua
NCPPB 4389	The donor reference is IMI 393640 This isolate is also in the collections; CFBP 7170 The source of this isolate was Valentine Aritua
NCPPB 4390	The donor reference is IMI 393641 This isolate is also in the collections; CFBP 7171 The source of this isolate was Valentine Aritua
NCPPB 4391	The donor reference is IMI 393646 This isolate is also in the collections; CFBP 7172 The source of this isolate was Valentine Aritua
NCPPB 4392	The donor reference is 394051 This isolate is also in the collections; CFBP 7173 The source of this isolate was Valentine Aritua
NCPPB 4393	The donor reference is 394052 This isolate is also in the collections; CFBP 7174 The source of this isolate was Valentine Aritua
NCPPB 4394	The donor reference is 354053 This isolate is also in the collections; CFBP 7175 The source of this isolate was Valentine Aritua
NCPPB 4395	This isolate is also in the collections; CFBP 7176 The source of this isolate was Valentine Aritua
NCPPB 4397	The donor reference is ISBF 594 This isolate is also in the collections; ICMP 9278 This isolate was isolated by R.Neto The source of this isolate was ISBF
NCPPB 4398	The donor reference is ISBF 595 This isolate is also in the collections; ICMP 9279 This isolate was isolated by R.Neto The source of this isolate was ISBF
NCPPB 4399	The donor reference is ICMP 15863 This isolate is also in the collections; ICMP 15863 This isolate was isolated by I.Harvey The source of this isolate was ICMP
NCPPB 4402	The donor reference is LMG 8237 This isolate is also in the collections; PD 772, LMG 8237 This isolate was isolated by P.D.Jaanse The source of this isolate was LMG
NCPPB 4403	The donor reference is ICMP 217-62 This isolate is also in the collections; ICMP 217, ATCC 9924 This isolate was isolated by R. Weindling The source of this isolate was ICMP
NCPPB 4404	The donor reference is LMG 9057 This isolate is also in the collections; ICMP 7466; ITCC P33, LMG 9057 This isolate was isolated by Y.Kulkani The source of this isolate was LMG
NCPPB 4405	The donor reference is LMG 8273 This isolate is also in the collections; ICMP 6482, Latch PRGRQ This isolate was isolated by G.Latch The source of this isolate was LMG
NCPPB 4407	The donor reference is LMG 476 This isolate is also in the collections; Beramis 6, VdM9 The source of this isolate was LMG
NCPPB 4409	The donor reference is LMG 19145 This isolate is also in the collections; LMG 19145, ISPAVE-B-641, PD 2780,SWINGS R-5214 The source of this isolate was LMG
NCPPB 4410	The donor reference is 8356 The source of this isolate was S.J.Roberts
NCPPB 4411	The donor reference is 8394 The source of this isolate was S.J.Roberts
NCPPB 4412	The donor reference is LMG 495 This isolate is also in the collections; LMG 495, ATCC 11765, CFBP 7686 This isolate was isolated by MK Patel
NCPPB 4413	This isolate was isolated by h.stanford The source of this isolate was Diagnosis
NCPPB 4414	The donor reference is Protect 1599 This isolate is also in the collections; B950367 The source of this isolate was Protect
NCPPB 4415	The donor reference is Protect 766 This isolate is also in the collections; A4833/B The source of this isolate was Protect
NCPPB 4416	The donor reference is Protect 765 This isolate is also in the collections; A4833/A The source of this isolate was Protect
NCPPB 4418	
NCPPB 4433	The donor reference is 20709953 This isolate is also in the collections; Cabi 395428 This isolate was isolated by Cabi The source of this isolate was Cabi
NCPPB 4434	The donor reference is 20702295 This isolate is also in the collections; BXWK1
NCPPB 4435	The donor reference is 20722939
NCPPB 4446	The donor reference is ICMP 12167 This isolate is also in the collections; ICMP 12167, CFBP 7245 The source of this isolate was ICMP
NCPPB 4448	The donor reference is CS283 This isolate is also in the collections; ICMP 16316
NCPPB 4449	The donor reference is CS284 This isolate is also in the collections; ICMP 16317
NCPPB 4450	The donor reference is A4832/1 This isolate is also in the collections; Protect 763 The source of this isolate was CSL
NCPPB 4451	The donor reference is A4832/1 This isolate is also in the collections; Protect 764 The source of this isolate was CSL
NCPPB 4466	The donor reference is 64A This isolate is also in the collections; WHRI 64A This isolate was isolated by John D. Taylor
NCPPB 4468	The donor reference is CSL972199 This isolate is also in the collections; P2431 This isolate was isolated by A. Aspin
NCPPB 4584	The donor reference is NCPPB 2699 This isolate is also in the collections; LMG 588, 7384, ATCC 29090 This isolate was isolated by Dr Thomas Egli - 705
NCPPB 4590	The donor reference is CFBP 3369 This isolate is also in the collections; CFBP 3369, LMG 9322, ICMP 15804, ATCC 49118, ICPB 10518 This isolate was isolated by Gabriel D. 3213 The source of this isolate was CFBP
NCPPB 4594	The donor reference is NYAGA S This isolate was isolated by Fred Kato
NCPPB 4600	The donor reference is WHRI 8853 This isolate was isolated by Joana M. G. N. Vicente
NCPPB 4601	The donor reference is WHRI 8848 This isolate was isolated by Joana M. G. N. Vicente
NCPPB 4613	The donor reference is NE744 This isolate was isolated by Jillian M. Lang
NCPPB 4614	The donor reference is SAM119 This isolate was isolated by Jillian M. Lang
NCPPB 4615	The donor reference is B100 This isolate is also in the collections; CFBP 7306, ATCC 29497, DSMZ 1526 This isolate was isolated by Unknown
NCPPB 4618	The donor reference is LMG 29033 This isolate is also in the collections; LMG 29033, ATCC 49119 This isolate was isolated by A. Vidaver
NCPPB 4622	The donor reference is Protect 13 E6 This isolate was isolated by A. Aspin (21723449)
NCPPB 4623	The donor reference is Protect OB Box 3 A6 This isolate was isolated by A. Aspin (21616370)
NCPPB 4625	The donor reference is WHRI 8481, CSL 20313511 This isolate was isolated by H. Standford
NCPPB 4629	The donor reference is ICMP 1921 This isolate is also in the collections; ICMP 1921,CFBP 7268, NZRCC 10647, PDDCC 1921 This isolate was isolated by Douglas W. Dye The source of this isolate was ICMP
NCPPB 4630	The donor reference is ICMP 2374 This isolate is also in the collections; CFBP 7269, ICMP 2374, PDDCC 2374 This isolate was isolated by Douglas W. Dye ZZ22 The source of this isolate was ICMP
NCPPB 4631	The donor reference is WHRI 8482, CSL 20313251 This isolate is also in the collections; WHRI 8482 This isolate was isolated by H. Stanford
NCPPB 4632	The donor reference is ICMP 6041 This isolate is also in the collections; ICMP 6041, CFBP 7261 This isolate was isolated by D.R.W. Watson The source of this isolate was ICMP
NCPPB 4633	The donor reference is ICMP 6759 This isolate is also in the collections; ICMP 6759, CFPB 7263 NZRCC 10646 PDDCC 6759 This isolate was isolated by J.M. Young The source of this isolate was ICMP
NCPPB 4634	The donor reference is ICMP 13401 This isolate is also in the collections; ICMP 13401, CFBP 7271 This isolate was isolated by Robert K. Taylor The source of this isolate was ICMP
NCPPB 4635	The donor reference is ICMP 4292 This isolate is also in the collections; ICMP 4292 This isolate was isolated by M. Goto (XT3)
NCPPB 4660	The donor reference is WHRI 8891A This isolate was isolated by J G Vicente
NCPPB 4661	The donor reference is WHRI 3811
NCPPB 4662	The donor reference is WHRI 8909A This isolate was isolated by J G Vicente
NCPPB 4663	The donor reference is WHRI 8960 This isolate was isolated by J G Vicente
NCPPB 4664	The donor reference is WHRI 8959A This isolate was isolated by J G Vicente
NCPPB 4665	The donor reference is WHRI 8964 This isolate was isolated by J G Vicente
NCPPB 4666	The donor reference is WHRI 8984 This isolate was isolated by J G Vicente
NCPPB 4668	The donor reference is WHRI 6181 This isolate was isolated by J G Vicente The source of this isolate was FERA
NCPPB 4669	The donor reference is WHRI 8450A This isolate was isolated by B D Jensen The source of this isolate was FERA
NCPPB 4670	The donor reference is WHRI 3849A This isolate was isolated by C I Kado The source of this isolate was FERA
NCPPB 4671	The donor reference is WHRI 1279A This isolate was isolated by J D Taylor The source of this isolate was FERA
NCPPB 4675	The donor reference is CPBF 424 This isolate is also in the collections; CPBF 424, LMG 31037, CCOS 1891 This isolate was isolated by C.Fernandes
NCPPB 4676	The donor reference is CPBF 1521 This isolate is also in the collections; CBPF 1521, LMG 31040, CCOS 1894 This isolate was isolated by C.Fernandes
NCPPB 4678	The donor reference is Xc6 This isolate was isolated by Tatjana Popović
NCPPB 4679	The donor reference is Xc9 This isolate was isolated by Tatjana Popović
NCPPB 4680	The donor reference is Xc23 This isolate was isolated by Tatjana Popović
NCPPB 4681	The donor reference is Xc27 This isolate was isolated by Tatjana Popović
NCPPB 4682	The donor reference is Xc318 This isolate was isolated by Tatjana Popović
NCPPB 4692	The donor reference is GBBC 2123 This isolate is also in the collections; LMG 31884, CCOS 1956 This isolate was isolated by Johan Van Vaerenbergh
NCPPB 4693	The donor reference is GBBC 2199 This isolate is also in the collections; LMG 31886, CCOS 1957 This isolate was isolated by Johan Van Vaerenbergh
NCPPB 4698	The donor reference is 1294-6 This isolate was isolated by Steven T. Koike
NCPPB 4699	The donor reference is 0894-4 This isolate was isolated by Hamid Azad
NCPPB 4700	The donor reference is 1294-9 This isolate was isolated by Steven T. Koike
NCPPB 4701	This isolate is also in the collections; CFBP 5686-20
NCPPB 4702	This isolate is also in the collections; CFBP 1371-04 This isolate was isolated by Bonnet P.
NCPPB 4703	This isolate is also in the collections; CFBP 1606-13 This isolate was isolated by Paulin J.P.
NCPPB 4704	The donor reference is Co-126-2
NCPPB 4705	The donor reference is Arg-1A
NCPPB 4706	The donor reference is CO-8
NCPPB 4707	The donor reference is ARG-3A
NCPPB 4708	The donor reference is IL02(1)YDC
NCPPB 4709	The donor reference is NE-18 Xvh
NCPPB 4710	The donor reference is Arg-2B
NCPPB 4711	The donor reference is NE-7
NCPPB 4712	The donor reference is ARG-6B
NCPPB 4713	The donor reference is IL-1(1)YDC
NCPPB 4714	The donor reference is ARG 4B
NCPPB 4715	The donor reference is IAO2
NCPPB 4716	The donor reference is NE-16
NCPPB 4717	The donor reference is 10197-90 This isolate is also in the collections; ICMP 10197 This isolate was isolated by P. Heise The source of this isolate was ICMP
NCPPB 4718	The donor reference is 10194-90 This isolate is also in the collections; ICMP 10194 This isolate was isolated by P. Heise The source of this isolate was ICMP
NCPPB 4719	The donor reference is ICMP 10195 This isolate was isolated by P. Heise The source of this isolate was ICMP
NCPPB 4720	The donor reference is ICMP 8410-83 This isolate is also in the collections; ICMP 8410 This isolate was isolated by R. Easwaramurthy The source of this isolate was ICMP
NCPPB 4721	The donor reference is 13093-96 This isolate is also in the collections; ICMP 13093 This isolate was isolated by J.R. Neto The source of this isolate was ICMP
NCPPB 4722	The donor reference is 9262-87 This isolate is also in the collections; ICMP 9262 This isolate was isolated by J.R. Neto The source of this isolate was ICMP
NCPPB 4727	The donor reference is ICMP 8883 This isolate is also in the collections; ICMP 8883 The source of this isolate was ICMP
NCPPB 4728	The donor reference is ICMP 8884 This isolate is also in the collections; ICMP 8884 The source of this isolate was ICMP
NCPPB 4729	The donor reference is ICMP 13091 This isolate was isolated by J.R. Neto The source of this isolate was ICMP
NCPPB 4730	The donor reference is ICMP 11134 This isolate is also in the collections; ICMP 11134 The source of this isolate was ICMP
NCPPB 4731	The donor reference is ICMP 12321 This isolate is also in the collections; ICMP 12321 The source of this isolate was ICMP
NCPPB 4732	The donor reference is ICMP 8789 This isolate is also in the collections; ICMP 8789, PDDCC 8789 This isolate was isolated by Z. Fang The source of this isolate was ICMP
NCPPB 4733	The donor reference is ICMP 8412 This isolate is also in the collections; ICMP 8412, PDDCC 8412 This isolate was isolated by R. Easwaramurthy The source of this isolate was ICMP
NCPPB 4753	The donor reference is CFBP 8353 This isolate is also in the collections; CFBP 8353, CECT 9404, IVIA 3287.1 This isolate was isolated by Lopez et al The source of this isolate was CFBP
NCPPB 4754	The donor reference is CFBP 8354 This isolate is also in the collections; CFBP 8354, CECT 9405, IVIA 3287.2 This isolate was isolated by Maria M. Lopez The source of this isolate was CFBP
NCPPB 4755	The donor reference is CFBP 8355 This isolate is also in the collections; CFBP 8355, CECT 9406, IVIA 3287.3 This isolate was isolated by Maria M. Lopez The source of this isolate was CFBP
NCPPB 4763	The donor reference is NBC5720 This isolate is also in the collections; LMG 33367 This isolate was isolated by Harrie Koenraadt The source of this isolate was University of Florida, North Florida Research and Education Center Plant Disease
NCPPB 4770	The donor reference is 2023024626 This isolate was isolated by Sam Oxspring The source of this isolate was FERA
NCPPB 4771	The donor reference is 2023027163 This isolate was isolated by Sarah Carroll, Sam Oxspring The source of this isolate was FERA
NCPPB 4772	The donor reference is 2023027127 This isolate was isolated by Sarah Carroll The source of this isolate was FERA
