ncppb_number,term_type,search_term
NCPPB 210,received_name_plus_number,"""Xanthomonas malvacearum (Smith 1901) Dowson 1939"" ""NCPPB 210"""
NCPPB 210,alternative_name_plus_number,"""Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978"" ""NCPPB 210"""
NCPPB 211,ncppb_number,NCPPB 211
NCPPB 211,ncppb_number_compact,NCPPB211
NCPPB 211,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 211"
NCPPB 211,current_name_plus_number,"""Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov."" ""NCPPB 211"""
NCPPB 211,received_name_plus_number,"""Xanthomonas citri (Hasse 1915) Dowson"" ""NCPPB 211"""
NCPPB 211,alternative_name_plus_number,"""Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979"" ""NCPPB 211"""
NCPPB 212,ncppb_number,NCPPB 212
NCPPB 212,ncppb_number_compact,NCPPB212
NCPPB 212,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 212"
NCPPB 212,current_name_plus_number,"""Xanthomonas citri pv. mangiferaeindicae (Patel et al. 1948) Constantin et al. 2016 comb. nov."" ""NCPPB 212"""
NCPPB 220,ncppb_number,NCPPB 220
NCPPB 220,ncppb_number_compact,NCPPB220
NCPPB 220,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 220"
NCPPB 220,current_name_plus_number,"""Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov."" ""NCPPB 220"""
NCPPB 220,received_name_plus_number,"""Xanthomonas phaseoli (Smith 1897) Dowson 1939"" ""NCPPB 220"""
NCPPB 220,alternative_name_plus_number,"""Xanthomonas campestris pv. phaseoli (Smith 1897) Dye 1978"" ""NCPPB 220"""
NCPPB 226,ncppb_number,NCPPB 226
NCPPB 226,ncppb_number_compact,NCPPB226
NCPPB 226,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 226"
NCPPB 226,current_name_plus_number,"""Xanthomonas citri pv. citri (Hasse 1915) Constantin 2016 comb. nov."" ""NCPPB 226"""
NCPPB 226,received_name_plus_number,"""Xanthomonas citri (Hasse 1915) Dowson"" ""NCPPB 226"""
NCPPB 226,alternative_name_plus_number,"""Xanthomonas campestris pv. citri (Hasse 1915) Dye 1979"" ""NCPPB 226"""
NCPPB 230,ncppb_number,NCPPB 230
NCPPB 230,ncppb_number_compact,NCPPB230
NCPPB 230,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 230"
NCPPB 230,current_name_plus_number,"""Xanthomonas hortorum pv. carotae (Kendrick 1934) Vauterin et al. 1995"" ""NCPPB 230"""
NCPPB 230,received_name_plus_number,"""Xanthomonas carotae Kendrick 1934"" ""NCPPB 230"""
NCPPB 230,alternative_name_plus_number,"""Xanthomonas campestris pv. carotae (Kendrick 1934) Dye 1978"" ""NCPPB 230"""
NCPPB 232,ncppb_number,NCPPB 232
NCPPB 232,ncppb_number_compact,NCPPB232
NCPPB 232,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 232"
NCPPB 232,current_name_plus_number,"""Xanthomonas hortorum pv. vitians Morinière et al. 2020"" ""NCPPB 232"""
NCPPB 232,received_name_plus_number,"""X. lactucaescariolae"" ""NCPPB 232"""
NCPPB 232,alternative_name_plus_number,"""Xanthomonas campestris pv. vitians (Brown 1918) Dye 1978"" ""NCPPB 232"""
NCPPB 240,ncppb_number,NCPPB 240
NCPPB 240,ncppb_number_compact,NCPPB240
NCPPB 240,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 240"
NCPPB 240,current_name_plus_number,"""Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939"" ""NCPPB 240"""
NCPPB 240,received_name_plus_number,"""Xanthomonas campestris (Pammel 1895) Dowson 1939"" ""NCPPB 240"""
NCPPB 241,ncppb_number,NCPPB 241
NCPPB 241,ncppb_number_compact,NCPPB241
NCPPB 241,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 241"
NCPPB 241,current_name_plus_number,"""Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995"" ""NCPPB 241"""
NCPPB 241,received_name_plus_number,"""Xanthomonas begoniae Takimoto 1934"" ""NCPPB 241"""
NCPPB 241,alternative_name_plus_number,"""Xanthomonas campestris pv. begoniae (Takimoto 1934) Dye 1978"" ""NCPPB 241"""
NCPPB 243,ncppb_number,NCPPB 243
NCPPB 243,ncppb_number_compact,NCPPB243
NCPPB 243,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 243"
NCPPB 243,current_name_plus_number,"""Xanthomonas euvesicatoria pv. uppalii (Patel 1948) Harrison et al. 2023"" ""NCPPB 243"""
NCPPB 273,ncppb_number,NCPPB 273
NCPPB 273,ncppb_number_compact,NCPPB273
NCPPB 273,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 273"
NCPPB 273,current_name_plus_number,"""Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al. 1995"" ""NCPPB 273"""
NCPPB 273,received_name_plus_number,"""Xanthomonas pruni"" ""NCPPB 273"""
NCPPB 273,alternative_name_plus_number,"""Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978"" ""NCPPB 273"""
NCPPB 279,ncppb_number,NCPPB 279
NCPPB 279,ncppb_number_compact,NCPPB279
NCPPB 279,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 279"
NCPPB 279,current_name_plus_number,"""Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939"" ""NCPPB 279"""
NCPPB 279,received_name_plus_number,"""Xanthomonas campestris (Pammel 1895) Dowson 1939"" ""NCPPB 279"""
NCPPB 290,ncppb_number,NCPPB 290
NCPPB 290,ncppb_number_compact,NCPPB290
NCPPB 290,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 290"
NCPPB 290,current_name_plus_number,"""Xanthomonas albilineans (Ashby 1929) Dowson 1943"" ""NCPPB 290"""
NCPPB 290,received_name_plus_number,"""Xanthomonas albilineans"" ""NCPPB 290"""
NCPPB 293,ncppb_number,NCPPB 293
NCPPB 293,ncppb_number_compact,NCPPB293
NCPPB 293,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 293"
NCPPB 293,current_name_plus_number,"""Xanthomonas citri pv. malvacearum (Smith 1901) Constantin et al. 2016 comb. nov."" ""NCPPB 293"""
NCPPB 293,received_name_plus_number,"""Xanthomonas malvacearum (Smith 1901) Dowson 1939"" ""NCPPB 293"""
NCPPB 293,alternative_name_plus_number,"""Xanthomonas campestris pv. malvacearum (Smith 1901) Dye 1978"" ""NCPPB 293"""
NCPPB 301,ncppb_number,NCPPB 301
NCPPB 301,ncppb_number_compact,NCPPB301
NCPPB 301,collection_name_plus_number,"""National Collection of Plant Pathogenic Bacteria"" 301"
NCPPB 301,current_name_plus_number,"""Xanthomonas phaseoli pv. phaseoli (Smith 1897) Constantin et al. 2016 comb. nov."" ""NCPPB 301"""
