keyword_match_class	raw_audit_decision	audit_reason	prior_reject_reason	organism_class	rows	unique_strains	unique_accessions	prior_accepted_rows	non_target_rows	target_rows	conflict_rows	taxon_only_rows	example_ncppb_number	example_accession	example_title
query_terms_present_separately	supports_review	conflicting_ncppb_number:1695	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 186	SAMN30821936	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:4000	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 187	SAMN27356638	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:3855	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 200	SAMN30821942	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:3969	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 381	SAMN27356658	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:1966	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 416	SAMN01917903	Pathogen sample Pseudomonas aeruginosa ATCC 17831
query_terms_present_separately	supports_review	conflicting_ncppb_number:1560	conflicting_ncppb_number:1560	target_organism	1	1	1	0	0	1	1	0	NCPPB 479	SAMN42161500	Genome sequencing of Xanthomonas sp. NCPPB 1560
query_terms_present_separately	supports_review	conflicting_ncppb_number:3487	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 631	SAMN02469669	Sample from Pseudomonas avellanae BPIC 631
query_terms_present_separately	supports_review	conflicting_ncppb_number:3945	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 702	SAMD00540305	Janthinobacterium agaricidamnosum NBRC 102515
query_terms_present_separately	supports_review	conflicting_ncppb_number:3629	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 702	SAMD00538575	Rhizorhapis suberifaciens NBRC 15211
query_terms_present_separately	supports_review	conflicting_ncppb_number:980	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 702	SAMD00538062	Pseudomonas syringae NBRC 14080
query_terms_present_separately	supports_review	conflicting_ncppb_number:2995;48	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 702	SAMD00538061	Pseudomonas syringae NBRC 14079
query_terms_present_separately	supports_review	conflicting_ncppb_number:52	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 702	SAMD00538060	Pseudomonas syringae NBRC 14078
query_terms_present_separately	supports_review	conflicting_ncppb_number:1054	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 702	SAMD00538059	Pseudomonas syringae NBRC 14077
query_terms_present_separately	supports_review	conflicting_ncppb_number:225	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 702	SAMD00538058	Pseudomonas syringae NBRC 14076
query_terms_present_separately	supports_review	conflicting_ncppb_number:298	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 702	SAMD00538057	Pseudomonas syringae NBRC 14075
query_terms_present_separately	supports_review	conflicting_ncppb_number:2181	conflicting_ncppb_number:2181	target_organism	1	1	1	0	0	1	1	0	NCPPB 702	SAMD00537715	Xanthomonas translucens NBRC 13559
query_terms_present_separately	supports_review	conflicting_ncppb_number:762	conflicting_ncppb_number:762	target_organism	1	1	1	0	0	1	1	0	NCPPB 702	SAMD00537713	Xanthomonas pisi NBRC 13556
query_terms_present_separately	supports_review	conflicting_ncppb_number:942	conflicting_ncppb_number:942	target_organism	1	1	1	0	0	1	1	0	NCPPB 1939	SAMN57360824	Microbe sample from Xanthomonas campestris pv. barbareae
query_terms_present_separately	supports_review	conflicting_ncppb_number:989	conflicting_ncppb_number:989	target_organism	1	1	1	0	0	1	1	0	NCPPB 1942	SAMN03140188	Microbe sample from Xanthomonas vasicola
query_terms_present_separately	supports_review	conflicting_ncppb_number:577	conflicting_ncppb_number:577	target_organism	1	1	1	0	0	1	1	0	NCPPB 1943	SAMN42278567	Genome sequencing of Xanthomonas axonopodis pv. desmodiigangetici (Patel & Moniz 1948) Vauterin et al. 1995 NCPPB 577
query_terms_present_separately	supports_review	conflicting_ncppb_number:173	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 1945	SAMN27356574	MIGS Cultured Bacterial/Archaeal sample from Ralstonia solanacearum
query_terms_present_separately	supports_review	conflicting_ncppb_number:2352	conflicting_ncppb_number:2352	target_organism	1	1	1	0	0	1	1	0	NCPPB 1946	SAMN42284549	Genome sequencing of Xanthomonas axonopodis pv. maculifoliigardeniae (Ark & Barrett 1946) Vauterin et al. 1995 NCPPB 2352
query_terms_present_separately	supports_review	conflicting_ncppb_number:972	conflicting_ncppb_number:972	target_organism	1	1	1	0	0	1	1	0	NCPPB 1946	SAMN42284548	Genome sequencing of Xanthomonas axonopodis pv. maculifoliigardeniae (Ark & Barrett 1946) Vauterin et al. 1995 NCPPB 972
query_terms_present_separately	supports_review	conflicting_ncppb_number:971	conflicting_ncppb_number:971	target_organism	1	1	1	0	0	1	1	0	NCPPB 1946	SAMN42284547	Genome sequencing of Xanthomonas axonopodis pv. maculifoliigardeniae (Ark & Barrett 1946) Vauterin et al. 1995 NCPPB 971
query_terms_present_separately	supports_review	conflicting_ncppb_number:2877	conflicting_ncppb_number:2877	target_organism	1	1	1	0	0	1	1	0	NCPPB 1974	SAMN03164131	Xanthomonas campestris pv. cannabis str. NCPPB 2877
query_terms_present_separately	supports_review	conflicting_ncppb_number:2933	conflicting_ncppb_number:2933	target_organism	1	1	1	0	0	1	1	0	NCPPB 1974	SAMN42161512	Genome sequencing of Xanthomonas sp. NCPPB 2933
query_terms_present_separately	supports_review	conflicting_ncppb_number:2654	conflicting_ncppb_number:2654	target_organism	1	1	1	0	0	1	1	0	NCPPB 1974	SAMN42161507	Genome sequencing of Xanthomonas sp. NCPPB 2654
query_terms_present_separately	supports_review	conflicting_ncppb_number:2930;2984	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 1974	SAMN41764004	Genome sequencing of NCPPB 2984 (listed as Xanthomonas campestris pv. tardicrescens)
query_terms_present_separately	supports_review	conflicting_ncppb_number:2649	conflicting_ncppb_number:2649	target_organism	1	1	1	0	0	1	1	0	NCPPB 1974	SAMN03140274	Microbe sample from Xanthomonas vasicola pv. arecae
query_terms_present_separately	supports_review	conflicting_ncppb_number:2657	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 1974	SAMN14165561	Microbe sample from Agrobacterium salinitolerans
query_terms_present_separately	supports_review	conflicting_ncppb_number:2655	non_xanthomonas_organism	non_target_organism	1	1	1	0	1	0	1	0	NCPPB 1974	SAMN14165560	Microbe sample from Agrobacterium tumefaciens
query_terms_present_separately	supports_review	conflicting_ncppb_number:2856	conflicting_ncppb_number:2856	target_organism	1	1	1	0	0	1	1	0	NCPPB 1975	SAMN42161508	Genome sequencing of Xanthomonas sp. NCPPB 2856
query_terms_present_separately	supports_review	conflicting_ncppb_number:2949	conflicting_ncppb_number:2949	target_organism	1	1	1	0	0	1	1	0	NCPPB 1975	SAMN39942673	Microbe sample from Xanthomonas fragariae
